Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-04-06,7026.782,7009.23,6934.889,6989.426,912,-37.356,27809733237,15231377830114,1637621,12184764343378500
2026-04-02,7184.438,7161.797,7019.234,7026.782,912,-157.656,23931834622,12767448731960,1767634,12304873547124900
2026-04-01,7048.222,7207.166,7136.249,7184.438,912,136.216,30037481974,16447388922393,1989073,12649611686871200
2026-03-31,7091.67,7155.548,7031.105,7048.222,912,-43.448,25734958532,14943976212242,1721381,12422107633515200
2026-03-30,7097.057,7104.642,6945.502,7091.67,912,-5.387,23762592654,14918506800801,1646486,12510973693005400
2026-03-27,7164.091,7154.558,7070.212,7097.057,912,-67.034,18946899834,11759250045618,1379416,12516157825855600
2026-03-26,7302.121,7323.702,7152.592,7164.091,912,-138.03,29616004704,32330126660934,1702940,12594315284220800
2026-03-25,7106.839,7302.121,7057.223,7302.121,912,195.282,36356379576,25896243870133,2101196,12841891116425000
2026-03-17,7022.288,7148.251,7059.89,7106.839,912,84.551,29141503941,24515768384658,1526462,12546656415880700
2026-03-16,7137.212,7120.185,6917.322,7022.288,912,-114.924,30329778580,15962048962993,1643758,12412703253760500
2026-03-13,7362.117,7350.28,7132.211,7137.212,912,-224.905,27088070272,14027847951133,1578328,12677554794346100
2026-03-12,7389.399,7436.497,7323.742,7362.117,912,-27.282,24664238305,13356395096147,1566234,13123002554691300
2026-03-11,7440.913,7527.319,7380.808,7389.399,912,-51.514,29373464574,15680462710670,1801638,13200956258672000
2026-03-10,7337.369,7499.824,7372.823,7440.913,912,103.544,33465045584,19119541572933,1984986,13311058730319100
2026-03-09,7585.687,7403.733,7156.683,7337.369,912,-248.318,43158596096,23827000287038,2424125,13163466835813500
2026-03-06,7710.537,7700.318,7500.085,7585.687,912,-124.85,31258306949,17734536759287,1897932,13626580633640500
2026-03-05,7577.064,7765.613,7678.533,7710.537,912,133.473,31567211791,17883525722475,2015476,13726048998867000
2026-03-04,7939.767,7897.812,7486.321,7577.064,912,-362.703,50395011585,29646074054813,3241837,13521883809957100
2026-03-03,8016.833,8098.392,7932.52,7939.767,912,-77.066,44403272678,29801805283346,2903714,14176053885107300
2026-03-02,8235.485,8133.692,8016.833,8016.833,912,-218.652,54084026602,29772969083379,3605738,14342102457341300
2026-02-27,8235.262,8246.954,8093.749,8235.485,912,0.223,45846033026,38208841864173,2498981,14787436906475300
2026-02-26,8322.229,8358.957,8139.824,8235.262,912,-86.967,54177437738,28082558681069,3102026,14743701306647200
2026-02-25,8280.833,8373.483,8259.747,8322.229,912,41.396,50308301201,29843873131430,2796607,14911061997540000
2026-02-24,8396.082,8437.089,8259.478,8280.833,912,-115.249,58063821994,29514108912402,3359864,14895794849111000
2026-02-23,8271.767,8397.065,8327.569,8396.082,912,124.315,46685418131,24109169608542,2987597,15145976302453800
2026-02-20,8274.081,8328.421,8236.753,8271.767,912,-2.314,43123174021,20322014227790,2839333,14941422039550100
2026-02-19,8310.227,8376.199,8251.812,8274.081,912,-36.146,49508548278,26124019145727,3240299,14969535273749900
2026-02-18,8212.271,8310.227,8227.452,8310.227,912,97.956,48358105214,25238968600665,3109349,15047356214980200
2026-02-13,8265.352,8251.989,8170.587,8212.271,912,-53.081,46076774819,24337217153576,2788290,14889401363004100
2026-02-12,8290.966,8334.022,8220.15,8265.352,912,-25.614,40204380548,23771487194035,2961479,14997916799781100
2026-02-11,8131.738,8290.966,8118.163,8290.966,912,159.228,58243958446,29707295219151,3318006,15065287476504800
2026-02-10,8031.874,8140.862,8011.13,8131.738,912,99.864,43402674445,20339068827248,2390743,14749542454198500
2026-02-09,7935.26,8031.874,7863.006,8031.874,912,96.614,38294267702,17819762153446,2216294,14538221725825500
2026-02-06,8103.879,8025.14,7861.685,7935.26,912,-168.619,33133875641,19654446676056,2207023,14340505842202400
2026-02-05,8146.717,8214.461,8102.786,8103.879,912,-42.838,33624433868,20000996552177,2494034,14645011494351100
2026-02-04,8122.597,8194.684,8050.396,8146.717,912,24.12,42778163260,25668672619481,2821899,14705660860424900
2026-02-03,7922.731,8122.597,7712.348,8122.597,912,199.866,58383429503,29286426032779,3208382,14639969148382900
2026-02-02,8329.606,8313.058,7820.225,7922.731,912,-406.875,48094145270,29123227554196,2892756,14239805172197900
2026-01-30,8232.203,8408.3,8167.156,8329.606,912,97.403,55241869569,41611444556389,3320677,15046416050758500
