Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2021-04-30,1374.869,1377.219,1359.379,1361.215,94,-13.654,2319002877,2905099465345,231243,2587005743844320
2021-04-29,1364.246,1380.047,1368.678,1374.869,94,10.623,2830657695,2427775398470,283527,2612953931432060
2021-04-28,1366.657,1374.152,1363.534,1364.246,94,-2.411,1474815756,2661551898813,154897,2592765116718040
2021-04-27,1357.362,1375.828,1363.896,1366.657,94,9.295,1785457705,2905742461370,165834,2597348459477620
2021-04-26,1382.916,1383.825,1357.362,1357.362,94,-25.554,1298371550,2604317367716,171104,2579683190033320
2021-04-23,1372.268,1385.985,1366.805,1382.916,94,10.648,1395435186,2405048064391,155145,2628247990916840
2021-04-22,1372.104,1381.228,1369.918,1372.268,94,0.164,1921942276,2205410449853,180033,2608010986374260
2021-04-21,1385.402,1382.317,1372.104,1372.104,94,-13.298,1527331859,1658362250436,142707,2607700458382000
2021-04-20,1398.115,1390.582,1372.712,1385.402,94,-12.713,1427616501,2115705114671,162504,2632972927568320
2021-04-19,1401.482,1403.687,1390.033,1398.115,94,-3.367,1653870682,2202423795951,188901,2657133514890680
2021-04-16,1405.711,1419.086,1396.84,1401.482,94,-4.229,1961836376,2332218387240,207467,2663533191972940
2021-04-15,1401.42,1411.227,1389.208,1405.711,94,4.291,3025394756,3567323507542,254599,2671545422432510
2021-04-14,1359.652,1403.133,1372.6,1401.42,94,41.768,1902825936,3439801369407,234768,2663388854073100
2021-04-13,1368.524,1370.509,1348.681,1359.652,94,-8.872,1604764996,2969426948421,208717,2584010406311630
2021-04-12,1392.193,1401.749,1367.073,1368.524,94,-23.669,2838141155,3103579400720,268692,2600871284768210
2021-04-09,1381.785,1402.74,1389.687,1392.193,94,10.408,4516066892,4392801702665,357419,2645851778144840
2021-04-08,1373.066,1385.587,1368.527,1381.785,94,8.719,4883502875,3779835407393,355929,2626071749970800
2021-04-07,1363.087,1374.84,1355.423,1373.066,94,9.979,3643483530,2822991705270,276475,2609417387084240
2021-04-06,1359.937,1365.78,1346.908,1363.087,94,3.15,1760614308,2359824641491,164495,2590377586270540
2021-04-05,1372.896,1382.035,1358.19,1359.937,94,-12.959,2103682430,3084837894580,199882,2584391742295050
2021-04-01,1372.51,1380.304,1360.774,1372.896,94,0.386,1878536420,3421475486943,228601,2609019044963580
2021-03-31,1404.543,1401.879,1351.138,1372.51,94,-32.033,2341248114,4641557914653,274785,2608284818426100
2021-03-30,1426.248,1428.454,1397.86,1404.543,94,-21.705,2707731531,3230062743573,294443,2669159230842670
2021-03-29,1436.837,1445.943,1426.248,1426.248,94,-10.589,1709655930,3458099638439,181066,2710407199519170
2021-03-26,1419.344,1437.224,1411.53,1436.837,94,17.493,2380311957,3502515317295,215726,2730529810485280
2021-03-25,1439.019,1440.673,1411.385,1419.344,94,-19.675,2040234387,2809785213689,255427,2697287280838450
2021-03-24,1461.341,1459.208,1437.065,1439.019,94,-22.322,3412550263,3873215516634,271315,2727728565580590
2021-03-23,1473.719,1489.163,1458.434,1461.341,94,-12.378,3326194812,3580955289615,256310,2769644137744450
2021-03-22,1496.789,1493.471,1472.508,1473.719,94,-23.07,1970879508,2360774075286,195790,2790196634109160
2021-03-19,1500.928,1504.217,1481.368,1496.789,94,-4.139,2443682468,3908452023278,206029,2822094401684740
2021-03-18,1478.175,1503.708,1482.36,1500.928,94,22.753,2740398553,3167674152203,271531,2830357456314130
2021-03-17,1492.332,1493.938,1473.894,1478.175,94,-14.157,2888424292,3013494672516,305328,2764830075260510
2021-03-16,1498.191,1508.123,1489.065,1492.332,94,-5.859,2589651887,3300458163628,250013,2787927373865390
2021-03-15,1510.788,1517.294,1497.864,1498.191,94,-12.597,5234459938,3455335485131,245918,2788389641797410
2021-03-12,1497.782,1516.838,1499.276,1510.788,94,13.006,3610913083,3800471254770,290301,2807943431321910
2021-03-10,1478.228,1500.704,1487.239,1497.782,94,19.554,2611069343,2957082090331,228641,2782928983130620
2021-03-09,1490.705,1493.283,1468.275,1478.228,94,-12.477,2783812777,3951721126960,321171,2752073020406810
2021-03-08,1497.212,1514.489,1489.661,1490.705,94,-6.507,3997088591,2710864057921,276170,2802090802541540
2021-03-05,1492.482,1512.378,1487.087,1497.212,94,4.73,3272541385,3596214538601,317587,2815010955893020
2021-03-04,1519.662,1525.011,1492.482,1492.482,94,-27.18,9950242086,5300417201920,600573,2827340432589660
2021-03-03,1502.218,1526.94,1501.445,1519.662,94,17.444,12553619357,5748637881340,637092,2878828932299810
2021-03-02,1503.061,1518.628,1498.67,1502.218,94,-0.843,5023313878,4707146188235,465318,2845784606562930
2021-03-01,1458.859,1503.061,1472.528,1503.061,94,44.202,3956654078,5206178039974,370344,2847380733520850
2021-02-26,1469.17,1489.953,1453.748,1458.859,94,-10.311,8374725036,7694621071621,627746,2763644397330990
2021-02-25,1459.157,1472.42,1464.129,1469.17,94,10.013,7772595160,5743500269414,524640,2783177408976940
2021-02-24,1452.53,1462.046,1447.61,1459.157,94,6.627,5602366636,5565908732550,444215,2764209744492200
2021-02-23,1451.018,1456.402,1442.439,1452.53,94,1.512,2938458679,3670613100817,286622,2751655762331890
2021-02-22,1444.497,1468.144,1450.435,1451.018,94,6.521,3552268284,4499223394907,355846,2748790277333440
2021-02-19,1429.569,1444.497,1422.174,1444.497,94,14.928,2565078073,3521622147762,275778,2736437702551260
2021-02-18,1435.295,1452.812,1429.569,1429.569,94,-5.726,4820048456,3940054664144,335739,2708158516551850
2021-02-17,1444.871,1454.428,1432.983,1435.295,94,-9.576,4538838151,3472686965155,343130,2719004574948940
2021-02-16,1433.031,1447.771,1434.792,1444.871,94,11.84,2306804420,3179827755195,248962,2737146031223780
2021-02-15,1425.668,1438.09,1426.223,1433.031,94,7.363,2470592343,2868570397345,254701,2714715317887740
2021-02-11,1421.183,1431.643,1418.578,1425.668,94,4.485,1446553551,2248191429820,142651,2700766135517700
2021-02-10,1418.762,1430.909,1412.178,1421.183,94,2.421,1862069004,3452682551623,196016,2692269596242150
2021-02-09,1407.786,1442.877,1413.979,1418.762,94,10.976,3808717814,6402308347703,392540,2687683187041680
2021-02-08,1391.5,1412.899,1397.008,1407.786,94,16.286,3575392565,4077184626978,325823,2666889800883370
2021-02-05,1384.152,1395.803,1377.824,1391.5,94,7.348,1657876678,2328882993645,171628,2636037330152840
2021-02-04,1373.033,1404.33,1374.006,1384.152,94,11.119,2414191522,3797236588098,259479,2622117365025510
2021-02-03,1357.214,1389.478,1368.718,1373.033,94,15.819,2484626448,4550791855873,306304,2601054125874100
2021-02-02,1368.717,1390.834,1356.317,1357.214,94,-11.503,3224826655,4623953201596,343263,2571087212304320
2021-02-01,1329.574,1375.293,1285.123,1368.717,94,39.143,4405653118,7173140447133,474880,2592878087951640
2021-01-29,1372.804,1398.84,1324.611,1329.574,93,-43.23,2480211100,5496963119628,321769,2442187639848460
2021-01-28,1394.882,1404.083,1363.698,1372.804,93,-22.078,3060417128,4893820918764,311181,2521594710533730
2021-01-27,1407.408,1415.395,1377.151,1394.882,93,-12.526,3342754883,4852754261501,281526,2562148311264770
2021-01-26,1439.877,1437.767,1403.798,1407.408,93,-32.469,3521569067,5087661293135,346513,2585155999630390
2021-01-25,1438.621,1452.825,1411.411,1439.877,93,1.256,2616588003,4278389070653,237219,2644795844956580
2021-01-22,1452.952,1462.96,1432.732,1438.621,93,-14.331,2747570682,4184041776017,280545,2642487674193190
2021-01-21,1467.452,1488.637,1451.987,1452.952,93,-14.5,2794608378,4735013157135,313624,2668811458159540
2021-01-20,1434.01,1471.4,1433.66,1467.452,93,33.442,4741212955,7511495583938,425475,2695445582269740
2021-01-19,1445.41,1452.759,1422.31,1434.01,93,-11.4,2871005951,3244601485260,198093,2633800385510780
2021-01-18,1439.454,1453.771,1420.698,1445.41,93,5.956,3254640931,4938454145230,322050,2654569061981030
2021-01-15,1460.057,1469.718,1429.762,1439.454,93,-20.603,3663251569,5700315127863,405421,2643565495621740
2021-01-14,1469.33,1476.243,1454.852,1460.057,93,-9.273,5568309062,5466585321925,408344,2681440906322730
2021-01-13,1466.792,1487.788,1466.443,1469.33,93,2.538,4278038858,5063426804479,332050,2698589917820370
2021-01-12,1452.108,1472.536,1449.904,1466.792,93,14.684,12167549216,8942655828475,551513,2693782080302640
2021-01-11,1398.154,1453.353,1406.044,1452.108,93,53.954,11638121431,7018617853005,360363,2666897747974460
2021-01-08,1380.872,1404.708,1384.452,1398.154,93,17.282,2373763358,4055863231517,267641,2649858654316240
2021-01-07,1357.334,1380.872,1362.288,1380.872,93,23.538,3791026487,4641508469085,300733,2618868671023250
2021-01-06,1375.294,1380.002,1343.533,1357.334,93,-17.96,2985306552,4450469046843,278728,2573605267099340
2021-01-05,1359.84,1375.609,1353.667,1375.294,93,15.454,1900016330,2822724119062,211877,2605558695743460
2021-01-04,1333.176,1360.574,1321.98,1359.84,93,26.664,2315954548,2757848159437,219880,2577485832441650
2020-12-30,1341.924,1348.159,1330.627,1333.176,93,-8.748,2453465844,3466445882785,171473,2528669405486160
2020-12-29,1356.48,1361.36,1339.9,1341.924,93,-14.556,3585841254,2841448432729,170604,2545620998061620
2020-12-28,1334.555,1358.923,1327.608,1356.48,93,21.925,2624897171,4713802104189,174335,2573795238354200
2020-12-23,1335.588,1357.083,1301.43,1334.555,93,-1.033,3323806266,4824210434342,251440,2535236503915640
2020-12-22,1363.996,1367.924,1333.471,1335.588,93,-28.408,5437426151,5590858553300,352591,2536104117293280
2020-12-21,1360.066,1381.278,1363.496,1363.996,93,3.93,5757017578,5637026187405,286430,2573845301725460
2020-12-18,1374.912,1374.431,1357.266,1360.066,93,-14.846,5942828923,7972564672434,302781,2567574755114490
2020-12-17,1370.45,1381.087,1364.196,1374.912,93,4.462,2683415017,4232780162737,168293,2596706891772100
2020-12-16,1351.448,1373.907,1360.615,1370.45,93,19.002,3308029691,4627997725241,218869,2590457236548000
2020-12-15,1353.965,1360.023,1334.697,1351.448,93,-2.517,2480334231,4988082248217,252015,2554987048841420
2020-12-14,1341.604,1355.267,1346.102,1353.965,93,12.361,3788789262,6365049882323,271849,2559030590265800
2020-12-11,1333.321,1352.99,1335.571,1341.604,93,8.283,4232906789,5918860118695,300331,2534922669737050
2020-12-10,1329.546,1343.273,1330.841,1333.321,93,3.775,2524365142,4870691751839,216415,2517477678012420
2020-12-08,1332.651,1333.88,1320.39,1329.546,93,-3.105,2619785079,3225825797208,161088,2509958856613650
