Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-05-11,380.551,380.036,372.569,376.009,30,-4.542,8513795947,8861582194418,641364,3895210415366320
2026-05-08,388.842,391.084,380.551,380.551,30,-8.291,12041606847,11297360669178,634753,3939923907087610
2026-05-07,380.752,389.326,383.874,388.842,30,8.09,8180647275,10549460900187,530370,4034612059660400
2026-05-06,379.389,383.441,378.966,380.752,30,1.363,8401616579,6907000697734,478949,3957847326602980
2026-05-05,376.32,382.285,373.408,379.389,30,3.069,15650304899,7885953277699,515990,3939148332970810
2026-05-04,372.795,378.851,373.793,376.32,30,3.525,31932524879,9459410006384,556967,3903467928996380
2026-04-30,379.584,380.046,370.265,372.795,30,-6.789,16526219070,11746794976158,597019,3855814478104260
2026-04-28,379.367,381.77,375.697,378.489,30,-0.878,5646793802,7490003758349,411399,3914773377472940
2026-04-27,381.934,384.841,379.213,379.367,30,-2.567,7327410116,7616713832266,472864,3923471099715210
2026-04-24,393.269,393.272,381.073,381.934,30,-11.335,10412240274,9972498661270,635079,3949486989168670
2026-04-23,401.42,403.537,392.966,393.269,30,-8.151,10129365822,7262637700576,525138,4077055800995440
2026-04-22,400.671,404.376,400.899,401.42,30,0.749,7145746505,6556283779660,420039,4154049856482580
2026-04-21,401.498,400.994,398.008,400.671,30,-0.827,9590489589,6809144282261,492331,4153511659012120
2026-04-20,403.466,406.313,400.459,401.498,30,-1.968,9537991842,6481212963747,449723,4155269101267450
2026-04-17,403.191,405.95,402.663,403.466,30,0.275,4768932034,5904729309532,364964,4181377858055170
2026-04-16,403.596,407.637,401.66,403.191,30,-0.405,6373626520,6870332544055,467610,4183308356884800
2026-04-15,406.105,412.039,403.128,403.596,30,-2.509,9330723722,8456354652772,601651,4191227452703650
2026-04-14,399.034,407.852,403.479,406.105,30,7.071,10715814591,8264833458113,537733,4221551304771830
2026-04-13,400.288,401.357,394.631,399.034,30,-1.254,8773999562,6639828200181,456430,4139195898922550
2026-04-10,392.999,401.112,394.745,400.288,30,7.289,11449663413,7083492707568,401609,4145013423259270
2026-04-09,398.784,396.916,391.426,392.999,30,-5.785,6981668445,7935702913619,517894,4066541065829170
2026-04-08,382.142,399.229,390.956,398.784,30,16.642,16110986239,10662890737159,602320,4132971362701120
2026-04-07,388.132,388.703,380.612,382.142,30,-5.99,8988466801,6634379548191,469560,3955250009753590
2026-04-06,388.637,390.363,385.618,388.132,30,-0.505,10273357522,4729981343777,406119,4005379905110220
2026-04-02,393.267,394.305,387.344,388.637,30,-4.63,7279081778,5704066121029,422368,4010945776685850
2026-04-01,388.558,397.34,391.485,393.267,30,4.709,9993119294,8247484200885,542630,4056969958584520
2026-03-31,388.656,392.841,387.444,388.558,30,-0.098,7072008032,7699291272866,488070,4012282437714760
2026-03-30,390.962,390.209,383.255,388.656,30,-2.306,8447830074,7955453677293,501927,4012082953482630
2026-03-27,398.459,397.097,390.824,390.962,30,-7.497,6319174476,6262624084504,417374,4038810371492560
2026-03-26,406.836,407.498,397.884,398.459,30,-8.377,10223067130,7522418524442,525478,4116277056901430
2026-03-25,393.046,406.836,392.672,406.836,30,13.79,18292258997,14001513263911,733914,4195926246357250
2026-03-17,387.531,394.079,390.162,393.046,30,5.515,12154362087,13459003620987,424378,4063771974115760
2026-03-16,391.857,391.16,381.024,387.531,30,-4.326,12115442804,7085746309745,499653,4000030002725500
2026-03-13,400.501,400.285,390.266,391.857,30,-8.644,9587873327,6479725498283,458590,4047093742897580
2026-03-12,398.783,403.586,396.945,400.501,30,1.718,8897260464,6724783694040,426143,4135035166400770
2026-03-11,401.306,405.383,397.159,398.783,30,-2.523,7468267108,6488829200831,442544,4114364148763750
2026-03-10,397.326,405.753,399.503,401.306,30,3.98,11497347055,8917095338186,574971,4150732234127100
2026-03-09,410.097,399.753,390.071,397.326,30,-12.771,16762872731,10853115999210,729087,4097192455512130
2026-03-06,419.034,418.428,408.578,410.097,30,-8.937,10225872485,6924078275998,435761,4227637267320920
2026-03-05,410.101,421.58,416.088,419.034,30,8.933,7417878592,7371317015827,455702,4317111777981400
2026-03-04,426.927,426.052,404.452,410.101,30,-16.826,17469404576,14058668235056,978941,4226346682692180
2026-03-03,428.996,435.511,426.448,426.927,30,-2.069,10330281564,9545239248937,704540,4403834924995800
2026-03-02,439.822,434.857,428.996,428.996,30,-10.826,12627794829,12153555392020,858704,4419800924618950
2026-02-27,443.425,442.382,436.602,439.822,30,-3.603,12987463040,12571489483888,471504,4531106610299010
2026-02-26,446.098,447.792,437.043,443.425,30,-2.673,10592556502,9262986986675,576363,4561074099118320
2026-02-25,441.593,448.11,442.05,446.098,30,4.505,10921182007,10309810160493,554647,4596511738073620
2026-02-24,444.824,446.228,439.804,441.593,30,-3.231,15454711531,12255546365119,671883,4548929143436040
2026-02-23,436.632,444.824,439.182,444.824,30,8.192,11816603753,8117014175093,542296,4591235290716070
2026-02-20,436.543,440.918,434.577,436.632,30,0.089,11263090960,7782182887585,529885,4505305884177230
2026-02-19,438.028,441.913,435.558,436.543,30,-1.485,15304462896,11334303192529,776852,4507549327004060
2026-02-18,431.884,438.278,432.235,438.028,30,6.144,17342956587,10250268659114,621007,4521093563720200
2026-02-13,435.83,434.766,430.041,431.884,30,-3.946,17442437696,11971793625693,617502,4461459060581610
2026-02-12,436.026,438.57,434.048,435.83,30,-0.196,10925534276,9489069534215,623270,4499894946325420
2026-02-11,430.901,436.026,428.834,436.026,30,5.125,21667061182,12399962824859,701009,4506101428906890
2026-02-10,426.644,431.921,425.902,430.901,30,4.257,16726260222,9237840649520,567384,4446847325292550
2026-02-09,426.238,429.496,420.992,426.644,30,0.406,9345845877,8293263925896,509641,4401605495412430
2026-02-06,432.593,430.656,422.925,426.238,30,-6.355,11771345001,10487987550864,601438,4400750865513990
2026-02-05,433.263,438.279,432.593,432.593,30,-0.67,9796769107,10078211823654,654789,4471396771458030
2026-02-04,429.887,434.829,428.866,433.263,30,3.376,14203183375,11865965190607,725640,4476111711440990
2026-02-03,420.874,429.887,413.283,429.887,30,9.013,18980938864,12136160678756,798468,4430899812409910
2026-02-02,429.753,434.325,413.924,420.874,30,-8.879,21520235121,15927671962995,977864,4336545955569380
2026-01-30,421.512,435.338,420.576,429.753,30,8.241,8255895914,16326029463776,725730,4304618156213640
2026-01-29,417.816,422.976,377.635,421.512,30,3.696,24063811903,33543903195543,1519916,4219099495220470
2026-01-28,444.173,434.513,409.438,417.816,30,-26.357,17241510530,26161508345408,1239007,4193498498264080
2026-01-27,450.56,449.418,439.58,444.173,30,-6.387,15246853890,11307925786458,643208,4462370040436060
2026-01-26,448.956,451.128,446.888,450.56,30,1.604,8282740529,11863966821815,659586,4532562904131140
2026-01-23,448.286,450.479,442.952,448.956,30,0.67,11165207420,8965186445462,485891,4519747238707980
2026-01-22,445.655,451.975,445.901,448.286,30,2.631,12045542812,11632123391388,628829,4516537952580270
2026-01-21,454.079,451.116,442.817,445.655,30,-8.424,10134274882,12399511537877,662525,4492359133518880
2026-01-20,455.141,458.413,452.024,454.079,30,-1.062,7100609135,6656344306035,430607,4579111411178000
2026-01-19,452.477,455.453,449.605,455.141,30,2.664,9785391273,9914717062314,588317,4596779792112610
2026-01-15,448.86,454.906,449.745,452.477,30,3.617,8560091671,9970344522789,551485,4571400159253360
2026-01-14,448.849,451.977,446.999,448.86,30,0.011,22233147335,9907375144091,692143,4534495784001210
2026-01-13,440.723,448.849,442.848,448.849,30,8.126,10525704466,10474854097334,618895,4540106978892580
2026-01-12,439.505,443.853,434.902,440.723,30,1.218,6189057684,8816357364885,543983,4464539587777500
2026-01-09,440.48,444.028,438.227,439.505,30,-0.975,4939296150,5711287077948,372163,4469167793572560
2026-01-08,443.669,446.344,440.48,440.48,30,-3.189,5451095890,8727152801936,546815,4468410015446300
2026-01-07,442.696,444.999,441.226,443.669,30,0.973,8145605146,11193561759865,663560,4501975920372880
2026-01-06,442.397,443.839,438.958,442.696,30,0.299,5815583293,7560470632423,521264,4490410395022140
2026-01-05,438.845,443.383,436.919,442.397,30,3.552,10885315431,6463327322699,476489,4483495772031440
2026-01-02,437.244,439.317,435.171,438.845,30,1.601,8483117304,4349849511188,358702,4450406494525560
2025-12-30,439.397,439.992,435.031,437.244,30,-2.153,4027156133,5385198390647,320655,4442956261999700
2025-12-29,436.031,440.433,437.173,439.397,30,3.366,4719072573,5496594681439,336420,4463591809600030
2025-12-24,436.666,438.543,435.274,436.031,30,-0.635,2578845223,3795281795409,271863,4425819095492080
2025-12-23,440.097,439.685,435.171,436.666,30,-3.431,3921233207,4322960472657,305150,4438877479189470
2025-12-22,438.56,440.788,437.316,440.097,30,1.537,3549390032,4991478890463,316937,4480379048865220
2025-12-19,439.448,442.77,436.804,438.56,30,-0.888,6510163964,8345355450786,336448,4463615919531560
2025-12-18,437.664,442.304,438.614,439.448,30,1.784,3958636096,5966861466564,376042,4472353532795810
2025-12-17,438.061,440.817,437.092,437.664,30,-0.397,4122869444,5347320571417,295923,4445096172735960
2025-12-16,440.088,442.568,434.552,438.061,30,-2.027,9518660502,6899573038066,338359,4452674062513150
2025-12-15,434.204,441.89,432.215,440.088,30,5.884,7081134336,7959183843586,446860,4483134715843020
2025-12-12,433.701,436.681,430.172,434.204,30,0.503,7450919430,5469166637846,323262,4415309347682180
2025-12-11,441.021,444.554,429.519,433.701,30,-7.32,5832976599,6920569161303,447218,4406926058730940
2025-12-10,437.938,441.825,437.556,441.021,30,3.083,5127543148,6555204419517,360523,4477659468262130
2025-12-09,442.133,444.483,435.317,437.938,30,-4.195,8066473958,5974228242030,402339,4444191642926630
2025-12-08,440.186,443.824,439.38,442.133,30,1.947,14892384762,6144498625323,383195,4491092717389920
2025-12-05,439.837,441.421,438.473,440.186,30,0.349,2964085935,4224726391351,240337,4481725664375400
2025-12-04,437.531,440.308,437.114,439.837,30,2.306,2482084479,4214857374255,273449,4475925313343060
2025-12-03,438.65,440.313,437.531,437.531,30,-1.119,3364138448,4739426362510,287178,4461385906369450
2025-12-02,438.865,441.711,436.785,438.65,30,-0.215,6229953282,6112739290465,370341,4472780546553290
2025-12-01,435.914,439.399,436.396,438.865,30,2.951,5879190473,5575738825578,323077,4470706672026850
2025-11-28,439.739,441.104,435.493,435.914,30,-3.825,3939400164,5723012938390,354423,4447579664725780
2025-11-27,445.674,446.519,438.3,439.739,30,-5.935,4531460475,5866190486734,381968,4482715905447160
2025-11-26,443.303,445.674,439.833,445.674,30,2.371,3596137538,6191949425176,353926,4535953306022480
2025-11-25,447.047,448.108,440.346,443.303,30,-3.744,4564366969,7115516627803,386861,4520864040452320
2025-11-24,440.24,447.047,440.111,447.047,30,6.807,16998112659,14589508508164,402689,4549278540093920
2025-11-21,442.039,441.798,436.622,440.24,30,-1.799,6854313400,5287283567733,292322,4486735899405420
2025-11-20,442.667,447.365,442.039,442.039,30,-0.628,4402007533,6293244437744,301520,4508313979849280
2025-11-19,440.239,443.585,440.277,442.667,30,2.428,5549305084,5821935291238,281707,4516950359504920
2025-11-18,444.68,446.182,438.729,440.239,30,-4.441,6079064018,6710816009664,412216,4491080215714240
2025-11-17,443.133,446.756,443.66,444.68,30,1.547,6739879708,6906048669326,385074,4550375433722180
2025-11-14,441.251,445.117,440.844,443.133,30,1.882,4354110613,5055543457789,317336,4526345568229800
2025-11-13,446.112,446.52,440.886,441.251,30,-4.861,6794374971,6090261427613,359884,4510145448583090
2025-11-12,442.145,448.249,443.008,446.112,30,3.967,8136000608,6117540005407,376984,4562419666583640
2025-11-11,443.678,447.447,440.639,442.145,30,-1.533,12739125778,7231857458118,472786,4514040862031220
2025-11-10,444.212,448.473,443.678,443.678,30,-0.534,16357207612,6392165260273,429570,4541192956804660
