Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-05-25,1644.706,1664.384,1604.956,1629.333,112,-15.373,2795045027,4027907263170,343161,1367455487845430
2026-05-22,1539.199,1647.542,1490.552,1644.706,112,105.507,5428778776,6243390138599,459545,1380247486144380
2026-05-21,1646.713,1674.605,1512.297,1539.199,112,-107.514,3426973700,4215253720755,367032,1336603737155550
2026-05-20,1727.438,1749.492,1600.774,1646.713,112,-80.725,4606723917,6010471568880,507716,1427524674395290
2026-05-19,1863.487,1873.974,1688.943,1727.438,112,-136.049,5194063856,6573145527010,509198,1520241426299960
2026-05-18,1965.144,1905.422,1770.368,1863.487,112,-101.657,3823035063,4981584260442,428859,1661057660671200
2026-05-13,2056.165,2025.891,1961.551,1965.144,112,-91.021,3710066484,4040409249298,394959,1776287642748420
2026-05-12,2018.732,2063.577,1988.469,2056.165,112,37.433,2811572667,3785969982607,356127,1903076780845870
2026-05-11,2022.604,2109.648,1945.414,2018.732,112,-3.872,4118627396,4794377450821,486064,1880001593835460
2026-05-08,2193.77,2186.982,2014.206,2022.604,112,-171.166,4219398542,6760237999629,518605,1913293448321430
2026-05-07,2229.89,2288.359,2174.654,2193.77,112,-36.12,5017053478,5788902382945,548682,2060757802513950
2026-05-06,2188.181,2247.081,2193.186,2229.89,112,41.709,3242631946,4000733837075,409976,2142758403004180
2026-05-05,2127.286,2196.676,2110.492,2188.181,112,60.895,3222881771,3666729700500,404849,2103263553913640
2026-05-04,2142.054,2211.309,2124.043,2127.286,112,-14.768,3311061309,2980454407730,332231,1988640796800630
2026-04-30,2206.037,2211.695,2102.215,2142.054,112,-63.983,4537838257,3448206999979,417207,2021168448230790
2026-04-28,2263.752,2282.231,2221.76,2230.217,112,-33.535,3429526075,2712683884090,327869,2096374610619440
2026-04-27,2230.672,2305.222,2249.445,2263.752,112,33.08,2669702854,2569960083320,278745,2143963217802880
2026-04-24,2294.02,2295.748,2217.245,2230.672,112,-63.348,3655789797,3943009714049,242985,2117800207058410
2026-04-23,2339.442,2361.184,2277.392,2294.02,112,-45.422,1944781752,2277428712578,245192,2179039366451730
2026-04-22,2355.537,2382.222,2337.172,2339.442,112,-16.095,2050181865,2361580208128,264861,2222639730177320
2026-04-21,2302.015,2378.653,2298.207,2355.537,112,53.522,2792639961,3186070206308,315321,2252164724429480
2026-04-20,2316.172,2362.279,2290.588,2302.015,112,-14.157,2149327483,2744311787378,293212,2198710650464890
2026-04-17,2310.578,2350.73,2305.323,2316.172,112,5.594,1818347381,2276443246045,215230,2218248101507380
2026-04-16,2319.702,2365.997,2287.735,2310.578,112,-9.124,2412396592,2977260074068,321595,2216898135763750
2026-04-15,2329.932,2390.646,2308.253,2319.702,112,-10.23,3136998650,3688694307667,385397,2225071348625200
2026-04-14,2250.025,2336.959,2287.104,2329.932,112,79.907,2853003266,4067354227501,363341,2254285257411450
2026-04-13,2198.231,2271.217,2154.706,2250.025,112,51.794,2848343246,3598066537897,328852,2181736954928550
2026-04-10,2155.925,2220.125,2175.705,2198.231,112,42.306,2361901001,2784486810582,250380,2124321537323890
2026-04-09,2149.877,2160.46,2098.015,2155.925,112,6.048,2595398925,2859850079535,292243,2034975411700200
2026-04-08,1976.157,2153.864,2043.03,2149.877,112,173.72,3525615141,4323940318466,384863,1994443225143430
2026-04-07,1977.808,1992.669,1944.972,1976.157,112,-1.651,4281365228,2726634486175,299451,1830650941637290
2026-04-06,1955.011,1982.36,1913.012,1977.808,112,22.797,4063296883,3598681154165,251554,1824960886050960
2026-04-02,2054.827,2038.409,1945.762,1955.011,112,-99.816,2828568217,2031784930368,297751,1806391290507230
2026-04-01,1984.296,2068.693,2025.765,2054.827,112,70.531,3288330115,2823453941438,356120,1918104410528300
2026-03-31,1975.768,2010.913,1953.933,1984.296,112,8.528,2611214940,2869540351065,296550,1871197323747740
2026-03-30,1991.627,1994.567,1940.879,1975.768,112,-15.859,1772458996,1998269022525,211994,1864184442954160
2026-03-27,1999.97,2013.281,1976.675,1991.627,112,-8.343,1357047400,1456209722248,187985,1887673558555370
2026-03-26,2046.402,2073.939,1997.441,1999.97,112,-46.432,1595844211,2065629455142,251970,1890378336965120
2026-03-25,2049.867,2064.232,1990.047,2046.402,112,-3.465,2381516898,3550909091194,337317,1956770343424850
