Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-03-27,3701.407,3740.283,3673.728,3714.328,91,12.921,4861620242,3245338036356,328616,1983526054219280
2026-03-26,3812.238,3857.511,3696.153,3701.407,91,-110.831,7391450106,4063979889454,415713,1987050668824700
2026-03-25,3625.652,3812.612,3600.27,3812.238,91,186.586,10193793976,9143150002270,568450,2029678114051250
2026-03-24,3588.006,3679.311,3604.417,3625.652,91,37.646,6291984497,4307244265420,321193,1957776490791350
2026-03-17,3588.006,3679.311,3604.417,3625.652,91,37.646,6291984497,4307244265420,321193,1957776490791350
2026-03-16,3670.104,3674.346,3523.312,3588.006,91,-82.098,8733379217,4014432975110,379132,1942213384796950
2026-03-13,3777.966,3778.667,3667.097,3670.104,91,-107.862,8762334384,4165103146185,380737,2018615763688390
2026-03-12,3799.015,3855.468,3773.982,3777.966,91,-21.049,8408751320,4734356396940,441751,2114477021430810
2026-03-11,3877.079,3942.019,3792.727,3799.015,91,-78.064,9290037393,5458131354266,539768,2125338007334030
2026-03-10,3798.662,3883.63,3780.829,3877.079,91,78.417,12611952132,6651431876095,599681,2128263435795870
2026-03-09,3970.408,3892.312,3672.143,3798.662,91,-171.746,15944000233,8825780728725,820723,2065865291063460
2026-03-06,4087.369,4101.468,3922.404,3970.408,91,-116.961,10775080852,7289811168597,643817,2151579647131360
2026-03-05,4057.689,4174.057,4068.286,4087.369,91,29.68,11614181493,6607284225254,592970,2201055098634420
2026-03-04,4254.963,4283.025,3987.204,4057.689,91,-197.274,18631696671,11650501246068,1105855,2195432214203960
2026-03-03,4244.897,4374.773,4209.208,4254.963,91,10.066,16119252135,9975408884689,1084254,2292288497369340
2026-03-02,4180.362,4267.855,4151.836,4244.897,91,64.535,17720750270,11548719097675,1199197,2291387813789010
2026-02-27,4169.346,4201.646,4035.262,4180.362,91,11.016,10970812778,17707548727942,538825,2281600267627590
2026-02-26,4260.194,4294.584,4105.908,4169.346,91,-90.848,17977537701,8444659775675,868395,2309136592205240
2026-02-25,4215.476,4279.543,4164.442,4260.194,91,44.718,18512464428,8916798357740,790876,2348092058127980
2026-02-24,4368.458,4385.96,4209.789,4215.476,91,-152.982,23033591647,10956833517451,912734,2340979813202030
2026-02-23,4296.816,4384.228,4332.149,4368.458,91,71.642,14714778916,6707755139417,797104,2407286772874810
2026-02-20,4341.161,4367.292,4274.087,4296.816,91,-44.345,10815242823,6300440000530,712042,2379766434439980
2026-02-19,4305.959,4385.583,4308.441,4341.161,91,35.202,19831965086,9101364365609,974229,2412606158606760
2026-02-18,4202.944,4309.69,4230.53,4305.959,91,103.015,20320265816,9199353619226,1015367,2415799703999480
2026-02-13,4148.046,4242.38,4102.885,4202.944,91,54.898,17912297013,8360937460312,761102,2408313157338160
2026-02-12,4159.208,4230.193,4130.246,4148.046,91,-11.162,13146221763,7724230734266,791573,2401627678546970
2026-02-11,3925.748,4159.802,3950.739,4159.208,91,233.46,26618839675,11792296999584,1114444,2427175105282430
2026-02-10,3864.523,3968.861,3844.511,3925.748,91,61.225,15830683217,6530255327017,663041,2323400662909640
2026-02-09,3754.698,3868.123,3725.198,3864.523,91,109.825,10763004055,4262125052785,497197,2297933369724650
2026-02-06,3880.999,3836.452,3713.5,3754.698,91,-126.301,11118372913,4379748848824,499204,2223007452956520
2026-02-05,3928.143,4011.56,3880.999,3880.999,91,-47.144,11414228506,4988927788390,632555,2290782779201260
2026-02-04,3974.222,4035.497,3870.383,3928.143,91,-46.079,19120900642,7164945389680,906367,2325172643117440
2026-02-03,3803.342,3986.002,3636.699,3974.222,91,170.88,30368724415,10751415558269,1153684,2332044545498000
2026-02-02,4118.785,4132.482,3760.576,3803.342,91,-315.443,18257860212,8715760353805,773802,2257869691039930
2026-01-30,4107.607,4238.981,4027.42,4118.785,91,11.178,23137694887,11670215655594,930247,2457973735575960
2026-01-29,4219.955,4201.14,3722.084,4107.607,91,-112.348,36062091060,17531176857613,1260178,2428693765032230
2026-01-28,4636.584,4337.899,4148.215,4219.955,91,-416.629,9066684424,6560321771187,660315,2477248513104270
2026-01-27,4583.993,4636.584,4550.283,4636.584,91,52.591,10877768389,7142206685038,698246,2741992315696850
2026-01-26,4696.26,4763.642,4580.132,4583.993,91,-112.267,14778377117,10613816045152,992418,2693174891160440
2026-01-23,4741.893,4748.139,4576.221,4696.26,91,-45.633,17340784147,11877987380547,882394,2691899753565990
2026-01-22,4831.536,4904.972,4741.893,4741.893,91,-89.643,19011880483,11864465299330,1047281,2720143466743140
2026-01-21,4890.568,4881.463,4815.021,4831.536,91,-59.032,15535149471,8532985939873,857851,2743045432281490
2026-01-20,4906.047,4970.081,4887.456,4890.568,91,-15.479,16489468835,9405659865834,815961,2747521616050020
2026-01-19,4859.264,4906.047,4813.281,4906.047,91,46.783,28529660239,13626840609357,697475,2831587517303440
2026-01-15,4869.332,4911.187,4835.237,4859.264,91,-10.068,8312683784,6232289375885,644380,2787650324870510
2026-01-14,4786.636,4891.643,4833.222,4869.332,91,82.696,11466226420,8209496314779,750422,2774455159418550
2026-01-13,4812.444,4868.445,4724.659,4786.636,91,-25.808,16189891566,11167115121038,1007772,2733318401531470
2026-01-12,4880.092,4946.562,4621.148,4812.444,91,-67.648,19642247952,14050334173769,1293096,2723319766063140
2026-01-09,4832.386,4921.662,4857.109,4880.092,91,47.706,16944856263,9861141402812,930037,2748934870910090
2026-01-08,4808.893,4886.448,4805.717,4832.386,91,23.493,10196696935,8249240083233,856947,2738151683947650
2026-01-07,4784.348,4848.991,4795.042,4808.893,91,24.545,18340367840,11305679841842,1247371,2716705970030670
2026-01-06,4708.151,4795.927,4662.458,4784.348,91,76.197,22949431593,13524324283293,1390212,2691837099158130
2026-01-05,4601.694,4710.897,4627.816,4708.151,91,106.457,24396014294,11958441327204,1327208,2681581796809500
2026-01-02,4453.352,4601.694,4482.83,4601.694,91,148.342,21559361358,10716646798162,1152035,2634641022738720
2025-12-30,4461.617,4476.469,4428.877,4453.352,91,-8.265,13399884103,7008325298508,905223,2595296080003750
2025-12-29,4324.731,4461.617,4353.726,4461.617,91,136.886,14977778614,8225034086620,926692,2602731736316320
2025-12-24,4374.625,4396.407,4313.211,4324.731,91,-49.894,11204145560,5724201055454,692796,2571933013032300
2025-12-23,4410.33,4448.891,4359.349,4374.625,91,-35.705,13120993905,7091372597433,684512,2598829047630120
2025-12-22,4302.928,4414.236,4326.566,4410.33,91,107.402,19214554575,8625187801593,860403,2649690520670640
2025-12-19,4299.56,4333.661,4270.465,4302.928,91,3.368,10334253738,22605714082208,586532,2611064789298450
2025-12-18,4370.673,4408.184,4294.76,4299.56,91,-71.113,12792752861,5650868200090,810024,2603634441465830
2025-12-17,4335.005,4410.466,4348.68,4370.673,91,35.668,11411780461,5798587553192,657613,2643783918070940
2025-12-16,4276.29,4342.894,4268.249,4335.005,91,58.715,13224374100,6591338665606,736764,2641301854745630
2025-12-15,4429.197,4476.972,4272.527,4276.29,91,-152.907,20868751568,10782666487894,1034088,2576727586396260
2025-12-12,4375.285,4437.65,4389.706,4429.197,91,53.912,18056106347,8641828668768,851687,2676898344964020
2025-12-11,4307.575,4433.355,4330.632,4375.285,91,67.71,31935821279,14595400740316,1290129,2687679084975180
2025-12-10,4248.637,4350.424,4273.781,4307.575,91,58.938,35774587320,13417432885240,1267830,2677767630617620
2025-12-09,4272.951,4298.413,4217.684,4248.637,91,-24.314,20798336391,9112898396143,926468,2664293632022030
2025-12-08,4159.437,4272.951,4182.05,4272.951,91,113.514,15185378773,6527116266934,760456,2686374545365980
2025-12-05,4188.528,4226.487,4157.093,4159.437,91,-29.091,11419031214,4946948241580,603871,2606496311162890
2025-12-04,4171.304,4207.177,4152.691,4188.528,91,17.224,15972296596,5693565343048,826789,2689176384384280
2025-12-03,4192.334,4225.34,4162.844,4171.304,91,-21.03,11523246938,4830726484249,550585,2666807899574220
2025-12-02,4168.945,4206.326,4173.134,4192.334,91,23.389,12140923045,5325361149140,746573,2700237520393200
2025-12-01,4113.18,4170.645,4088.482,4168.945,91,55.765,16381134589,7321194867569,734250,2671418318119920
2025-11-28,4062.589,4113.18,4038.168,4113.18,91,50.591,9816227458,4386796263392,440194,2643309334985160
2025-11-27,4072.58,4119.717,4047.065,4062.589,91,-9.991,18705663387,8923948250743,757442,2600243392358360
2025-11-26,3979.342,4072.58,3994.471,4072.58,91,93.238,23070703574,9566224281849,643406,2620511314854760
2025-11-25,3966.568,3994.951,3949.692,3979.342,91,12.774,26948634040,9257273582773,558736,2562697650914560
2025-11-24,3876.243,3966.568,3893.302,3966.568,91,90.325,7225844215,6269744482840,458139,2555160223819640
2025-11-21,3887.591,3895.696,3851.513,3876.243,91,-11.348,12873415117,4011671730953,450156,2488959289394570
2025-11-20,3870.611,3922.659,3882.199,3887.591,91,16.98,11309604932,4272671932973,475345,2489060407458910
2025-11-19,3811.992,3891.321,3815.371,3870.611,91,58.619,18242800440,6059329762668,491148,2471562360028910
2025-11-18,3898.5,3889.019,3803.515,3811.992,91,-86.508,12118912560,4803708782061,558217,2450026992508610
2025-11-17,3863.506,3920.099,3867.171,3898.5,91,34.994,12601147714,4713840136704,548482,2480827141508410
2025-11-14,3879.85,3909.355,3850.482,3863.506,91,-16.344,20528679119,6635300282564,593258,2428473768288500
2025-11-13,3818.895,3906.765,3826.138,3879.85,91,60.955,29948760936,9089044555270,683897,2407816588699680
2025-11-12,3839.027,3869.892,3803.601,3818.895,91,-20.132,22913805366,7056243768878,642782,2383060629846750
2025-11-11,3773.433,3859.723,3757.568,3839.027,91,65.594,38249483930,11334971891874,977052,2400190179603440
2025-11-10,3759.649,3817.098,3757.18,3773.433,91,13.784,7462132566,4758005400397,450581,2396073604869630
2025-11-07,3692.677,3760.323,3691.823,3759.649,91,66.972,3710162543,3723597221261,342930,2473951416366210
2025-11-06,3629.664,3703.101,3649.702,3692.677,91,63.013,4265821560,4335271110859,417196,2418153319815880
2025-11-05,3625.963,3630.816,3576.319,3629.664,91,3.701,4322077501,2859142098280,331336,2345975933680680
2025-11-04,3633.456,3672.516,3592.834,3625.963,91,-7.493,6256386832,4146794462795,478911,2369451077969000
2025-11-03,3584.727,3637.175,3585.808,3633.456,91,48.729,5037861505,3419403303271,446322,2348104619212950
2025-10-31,3594.368,3610.651,3561.37,3584.727,91,-9.641,5569996023,3582491422170,385954,2308209246593540
2025-10-30,3548.246,3594.368,3543.004,3594.368,91,46.122,5749995047,4029828318947,466660,2320035583699520
2025-10-29,3520.413,3556.966,3488.091,3548.246,91,27.833,6135569786,3886622210179,467488,2272871919086370
2025-10-28,3517.606,3549.293,3475.937,3520.413,91,2.807,7291650154,3711676262971,416788,2284062295080280
2025-10-27,3653.317,3680.542,3446.99,3517.606,91,-135.711,7270789088,7128145695053,646222,2315413293177840
2025-10-24,3665.391,3713.681,3646.961,3653.317,91,-12.074,4420395590,3932935167025,456900,2452178410036440
2025-10-23,3664.235,3705.136,3653.883,3665.391,91,1.156,5749472530,3737786060382,403711,2444037203593860
2025-10-22,3669.586,3681.008,3612.53,3664.235,91,-5.351,6055095174,4221221875533,448893,2468498852785800
2025-10-21,3615.887,3689.26,3614.53,3669.586,91,53.699,9442165969,4631434579830,582658,2480554005916580
2025-10-20,3518.73,3625.442,3510.696,3615.887,91,97.157,11706611152,4428284511600,574763,2450294827426110
2025-10-17,3704.864,3714.6,3484.189,3518.73,91,-186.134,8875183172,6101127624362,609156,2390369248563140
2025-10-16,3678.44,3738.338,3683.084,3704.864,91,26.424,4781664155,4266342386245,401909,2567921652439800
2025-10-15,3702.655,3744.74,3603.987,3678.44,91,-24.215,7578384897,6329122873679,553485,2534704816618640
2025-10-14,3830.782,3884.616,3626.132,3702.655,91,-128.127,12485927171,8470923803379,710058,2504384990565230
2025-10-13,3773.92,3859.089,3696.271,3830.782,91,56.862,8335389151,5294313117922,532468,2552942481288280
2025-10-10,3713.461,3800.548,3728.251,3773.92,91,60.459,11196318314,6700430696416,553738,2532751274076620
2025-10-09,3755.603,3814.967,3650.181,3713.461,91,-42.142,9912796576,7640589793379,799099,2492526582099760
2025-10-08,3655.348,3758.622,3576.155,3755.603,91,100.255,9969569357,10448179619216,926883,2505203806269380
2025-10-07,3562.108,3675.649,3584.44,3655.348,91,93.24,14415599818,8982305190278,803134,2466075931021320
2025-10-06,3528.606,3571.178,3521.533,3562.108,91,33.502,13489214287,6321979005628,649143,2410489927095390
2025-10-03,3486.577,3535.583,3482.755,3528.606,91,42.029,8970062111,6509074333778,530066,2402836997139640
2025-10-02,3458.681,3494.978,3442.186,3486.577,91,27.896,13678470665,4214138836807,464584,2382804239492180
2025-10-01,3436.062,3469.62,3438.158,3458.681,91,22.619,21100049771,5039532492739,572000,2380941983614790
2025-09-30,3426.462,3450.414,3418.941,3436.062,91,9.6,13237578165,4609006675974,480261,2380981925521340
2025-09-29,3434.533,3464.44,3418.98,3426.462,91,-8.071,10480926659,4139687552395,378738,2361749601531740
2025-09-26,3402.18,3440.561,3393.737,3434.533,91,32.353,10081043402,3039986668095,303156,2408346503937480
2025-09-25,3417.522,3448.814,3383.29,3402.18,91,-15.342,14620326828,4364543719075,399684,2413442801005740
2025-09-24,3396.613,3441.919,3359.934,3417.522,91,20.909,18430725255,5816973694365,462537,2429631803215840
2025-09-23,3321.236,3396.613,3318.949,3396.613,91,75.377,21509091471,5923266342332,502381,2419074341462660
2025-09-22,3280.148,3328.71,3276.833,3321.236,91,41.088,9424232846,3799666003850,382836,2394221124811760
2025-09-19,3246.143,3280.148,3237.23,3280.148,91,34.005,8288211778,40415781153350,366505,2382773772743260
2025-09-18,3221.433,3267.922,3220.822,3246.143,91,24.71,4433020826,3576936643826,326010,2339581201385520
2025-09-17,3198.412,3230.168,3193.525,3221.433,91,23.021,8056936428,3430969425267,282755,2339069215998960
2025-09-16,3184.382,3209.568,3188.06,3198.412,91,14.03,9288340428,3111814237992,350477,2321143040128640
2025-09-15,3118.543,3184.382,3128.0,3184.382,91,65.839,6372045000,2512190154091,329864,2296381485754000
2025-09-12,3070.445,3128.478,3084.215,3118.543,91,48.098,6535111763,2487613514253,326477,2251749324272220
2025-09-11,3085.826,3117.653,3060.722,3070.445,91,-15.381,4634872366,2267513716442,309706,2200535662075940
2025-09-10,3083.862,3125.958,3085.826,3085.826,91,1.964,5940584637,2322920843279,373415,2240862582581820
2025-09-09,3122.785,3146.451,3065.611,3083.862,91,-38.923,6185826923,2971489633730,399103,2235529737122160
2025-09-08,3153.138,3188.302,3122.785,3122.785,91,-30.353,6543296613,3161034056812,353897,2302207902671310
2025-09-04,3174.331,3189.293,3150.826,3153.138,91,-21.193,7768091339,3037505136057,311279,2289141954805650
2025-09-03,3097.117,3183.533,3111.675,3174.331,91,77.214,5251904853,3267082205878,332207,2317030948153500
2025-09-02,3042.185,3103.236,3059.275,3097.117,91,54.932,5771279516,2016215189234,287549,2228150455260490
2025-09-01,3082.931,3065.298,2956.618,3042.185,91,-40.746,6978392270,2857127160461,411883,2197881530310470
2025-08-29,3127.232,3116.72,3036.693,3082.931,91,-44.301,9518361678,4121730497710,521669,2224815146739140
2025-08-28,3114.472,3147.459,3119.804,3127.232,91,12.76,6607055796,3108725683085,318440,2230959659301710
2025-08-27,3120.605,3135.308,3105.879,3114.472,91,-6.133,8310453375,5472944496820,423759,2216184568329950
2025-08-26,3045.534,3120.605,3042.243,3120.605,91,75.071,9226210698,16469079204726,437802,2193802982909310
2025-08-25,3030.074,3059.852,3035.048,3045.534,91,15.46,5335400439,2854361283166,369249,2099931271907860
2025-08-22,3040.276,3057.244,3029.298,3030.074,91,-10.202,4699227880,2345183215060,251032,2086057087458350
2025-08-21,3098.229,3060.841,3014.399,3040.276,91,-57.953,5121581505,3654784173964,307387,2101512660659700
2025-08-20,3081.177,3107.961,3074.954,3098.229,91,17.052,5737364824,3383172526084,258597,2193080405599450
2025-08-19,3061.961,3102.562,3068.057,3081.177,91,19.216,4113491953,3294209912747,260971,2188503311022890
