Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-05-29,112.755,113.311,110.421,110.421,30,-2.334,12757097217,23361221181935,695814,2850837130926900
2026-05-26,113.44,114.975,112.635,112.755,30,-0.685,3210571625,6359550477905,371148,2896569084468010
2026-05-25,112.053,114.849,112.038,113.44,30,1.387,2623721277,5631296142406,303996,2914016425503480
2026-05-22,113.007,112.535,110.175,112.053,30,-0.954,2985041985,5703733476983,302685,2886509935069640
2026-05-21,115.816,116.346,112.574,113.007,30,-2.809,3066024817,5791965534345,299918,2906083551637060
2026-05-20,116.895,118.629,115.201,115.816,30,-1.079,3152061375,6747303297993,366253,2995289432613570
2026-05-19,119.527,120.337,116.687,116.895,30,-2.632,3015330220,7158485807883,338983,3044636006130910
2026-05-18,122.109,119.527,117.168,119.527,30,-2.582,3838504640,6933310812553,419863,3141933563618060
2026-05-13,125.595,124.024,121.8,122.109,30,-3.486,2971219394,4930327452802,343320,3218299862233340
2026-05-12,124.825,125.953,123.652,125.595,30,0.77,4123082138,5172470523926,359287,3333585857580440
2026-05-11,128.406,127.86,124.825,124.825,30,-3.581,3582514120,5553550258807,391848,3300354080243140
2026-05-08,130.542,131.605,128.406,128.406,30,-2.136,16881830330,18413225954672,427353,3392648713358520
2026-05-07,129.346,132.132,128.797,130.542,30,1.196,5637622914,7531288371666,381786,3458934552459260
2026-05-06,128.222,130.649,128.392,129.346,30,1.124,6689020626,5096026407708,360196,3441111983100990
2026-05-05,124.053,128.729,123.325,128.222,30,4.169,13950423030,6109551074980,387180,3402976582815680
2026-05-04,123.647,125.878,123.323,124.053,30,0.406,28798095779,7408748541817,383573,3249833200307350
2026-04-30,126.098,126.328,123.298,123.647,30,-2.451,11666809989,7673425254215,361225,2665705825078420
2026-04-28,125.349,126.312,124.234,125.57,30,0.221,4862427538,6164126836297,225271,2712734433993270
2026-04-27,126.14,126.967,125.349,125.349,30,-0.791,4436480989,4980453214411,306629,2707657377280570
2026-04-24,130.123,130.15,125.541,126.14,30,-3.983,5728169334,7079046972999,434529,2729372640591260
2026-04-23,132.698,133.373,129.958,130.123,30,-2.575,5761318366,4376459508239,315454,2828831731577800
2026-04-22,132.611,133.567,132.494,132.698,30,0.087,5497363526,4131857700431,249508,2878165973582010
2026-04-21,133.002,132.746,131.494,132.611,30,-0.391,6979034143,4127678340955,300721,2882820495404370
2026-04-20,133.374,134.493,132.452,133.002,30,-0.372,7044738553,4112141343922,249263,2899681938837340
2026-04-17,133.652,134.557,132.97,133.374,30,-0.278,3327155505,3755227640622,236116,2902819386972080
2026-04-16,133.201,134.455,133.034,133.652,30,0.451,3772507997,3848059665068,234718,2911692721899720
2026-04-15,134.545,135.781,133.157,133.201,30,-1.344,4042714165,3806024543712,290406,2908378046980300
2026-04-14,132.872,135.62,133.976,134.545,30,1.673,4079778165,3723660437933,234650,2951206802718230
2026-04-13,133.355,133.479,131.556,132.872,30,-0.483,6024404663,3262230260513,224401,2903949238066900
2026-04-10,130.555,133.517,130.998,133.355,30,2.8,7485786591,4238391005151,204272,2929575164045610
2026-04-09,132.363,132.298,130.113,130.555,30,-1.808,2781114000,4184478680849,283828,2863950553874620
2026-04-08,127.365,132.669,130.286,132.363,30,4.998,7977624506,5583714466141,286825,2921457711815830
2026-04-07,129.319,129.568,127.013,127.365,30,-1.954,4689994726,3532809789222,255139,2816346941940330
2026-04-06,130.243,130.842,128.57,129.319,30,-0.924,3851126948,2036252222760,198338,2853880999759170
2026-04-02,131.205,131.65,129.87,130.243,30,-0.962,3824459557,3034514747048,231952,2873054494895380
2026-04-01,129.892,132.812,130.71,131.205,30,1.313,5194340021,4198205723274,252644,2884513772840550
2026-03-31,130.509,132.114,129.892,129.892,30,-0.617,3517902065,4390753333845,257797,2856305554402790
2026-03-30,131.924,131.14,129.368,130.509,30,-1.415,5051591269,5220628690006,304513,2861473887463220
2026-03-27,134.746,134.482,131.924,131.924,30,-2.822,4110496683,4396484870982,252044,2909410053640480
2026-03-26,136.743,137.242,134.21,134.746,30,-1.997,6399166024,4365369652514,273444,2974028698060050
2026-03-25,133.536,136.743,131.896,136.743,30,3.207,12674530179,8738111836142,406513,3015764243876300
2026-03-17,131.376,133.553,131.99,133.536,30,2.16,6956423867,5897082207626,232064,2948931970709880
2026-03-16,132.402,132.252,129.081,131.376,30,-1.026,8360833783,3972258164417,293923,2906644374379050
2026-03-13,135.139,135.096,131.907,132.402,30,-2.737,5617691566,4677586085529,265245,2932365356880990
2026-03-12,135.03,136.326,134.403,135.139,30,0.109,4670588749,3408679659526,214611,2984851170501950
2026-03-11,134.937,136.676,134.576,135.03,30,0.093,4065147762,3347332862133,237073,2975992679195810
2026-03-10,134.007,136.789,134.363,134.937,30,0.93,5144953365,4763078513175,284973,2987062485500270
2026-03-09,138.187,134.843,132.244,134.007,30,-4.18,9265692773,5315071263888,381785,2965636607285130
2026-03-06,140.827,140.827,137.752,138.187,30,-2.64,6383373947,3576120903124,230407,3052277652606530
2026-03-05,138.105,141.618,139.821,140.827,30,2.722,3729472560,3951157469445,214812,3107232418144240
2026-03-04,143.237,142.812,136.544,138.105,30,-5.132,8263491882,6586481955437,453635,3036742309742470
2026-03-03,144.079,145.781,143.024,143.237,30,-0.842,4224725669,3376945466720,250991,3144317633694030
2026-03-02,148.315,145.997,143.852,144.079,30,-4.236,5870339470,4802458433732,364989,3158985362744810
2026-02-27,149.57,149.454,147.71,148.315,30,-1.255,7643631205,6181430064380,228489,3245617719022050
2026-02-26,150.309,150.878,147.702,149.57,30,-0.739,4509375245,4764199476739,264735,3280340319626840
2026-02-25,149.442,151.186,149.427,150.309,30,0.867,3954108260,4870579214587,220617,3294944453453580
2026-02-24,150.781,150.954,148.622,149.442,30,-1.339,5402720943,5279313112866,279860,3265786009457500
2026-02-23,148.114,150.781,148.87,150.781,30,2.667,7428682938,4350622509022,263712,3286194390061290
2026-02-20,147.299,148.602,147.23,148.114,30,0.815,7352914945,3729563319142,218824,3228781622626990
2026-02-19,148.921,149.862,147.112,147.299,30,-1.622,7786137401,4297680396708,298570,3202340169071840
2026-02-18,146.659,149.045,146.648,148.921,30,2.262,6459578625,4662533424387,276244,3246990357310570
2026-02-13,148.284,147.874,146.286,146.659,30,-1.625,6086310662,6681942737605,303247,3204406010772530
2026-02-12,148.049,148.284,146.973,148.284,30,0.235,3112303010,4692248498933,287754,3243099679232240
2026-02-11,146.983,148.049,145.996,148.049,30,1.066,8607388488,5998610894817,302133,3248106465179330
2026-02-10,145.704,147.372,145.331,146.983,30,1.279,10910932149,5104575412130,239423,3235825029919530
2026-02-09,146.518,147.289,144.18,145.704,30,-0.814,5898273839,5186534684433,252260,3215518337513030
2026-02-06,147.777,147.561,144.92,146.518,30,-1.259,5004243102,6130070316209,303979,3243328540932640
2026-02-05,147.903,149.778,147.746,147.777,30,-0.126,4901325292,5563312763434,317338,3266767665084430
2026-02-04,146.483,148.316,145.875,147.903,30,1.42,4745493718,6393502196608,336080,3266571033164680
2026-02-03,145.161,147.131,142.491,146.483,30,1.322,4399339632,5525411265807,324090,3231769037093480
2026-02-02,146.83,149.168,142.725,145.161,30,-1.669,8477772716,8500370014087,474798,3213116174730410
2026-01-30,142.17,147.924,142.637,146.83,30,4.66,7727830927,12025658381578,498333,3210879400530690
2026-01-29,141.691,142.896,127.956,142.17,30,0.479,23057490944,24643980419440,1024915,3122752233612680
2026-01-28,152.037,149.018,139.294,141.691,30,-10.346,17082896970,18002117947648,860599,3103053978341800
2026-01-27,151.997,152.337,150.46,152.037,30,0.04,14728928120,6590614012345,361831,3321829381957100
2026-01-26,152.345,152.41,151.111,151.997,30,-0.348,7158942373,5653635519716,365499,3344754760503130
2026-01-23,152.096,152.656,150.456,152.345,30,0.249,11144631499,5270470944066,295934,3349752619325890
2026-01-22,151.781,153.828,151.71,152.096,30,0.315,12075008218,6918454793524,387021,3340160163025380
2026-01-21,153.262,153.497,150.745,151.781,30,-1.481,10265749882,6250234520632,417598,3329068715644950
2026-01-20,153.465,154.912,152.421,153.262,30,-0.203,7259025716,3928692106915,294627,3380184599634360
2026-01-19,153.874,154.353,151.944,153.465,30,-0.409,9326905834,6562937091498,378611,3388787170571940
2026-01-15,151.746,154.658,151.669,153.874,30,2.128,8150973129,6690850817325,366454,3389785274238180
2026-01-14,150.821,152.259,150.82,151.746,30,0.925,21509888443,5579437744489,351288,3348653165736070
2026-01-13,149.581,151.441,149.857,150.821,30,1.24,8782882424,4841781465428,332448,3343133696449320
2026-01-12,150.177,151.447,148.347,149.581,30,-0.596,7901438614,5261245288226,497378,3316208579336820
2026-01-09,150.807,151.88,149.747,150.177,30,-0.63,6254590379,3896937407842,292219,3328777842098040
2026-01-08,151.327,152.828,150.807,150.807,30,-0.52,5669327858,4751464263268,305736,3335434937470890
2026-01-07,151.247,151.972,150.577,151.327,30,0.08,7640773822,5720325200708,324392,3346440182885200
2026-01-06,151.419,151.815,150.221,151.247,30,-0.172,5968972320,4595303841418,329248,3348425131068610
2026-01-05,151.277,152.448,150.089,151.419,30,0.142,10520267593,3912957266397,293499,3347937032438820
2026-01-02,150.954,151.806,149.901,151.277,30,0.323,8136905662,2790503167703,239534,3338065168607370
2025-12-30,151.251,151.96,150.202,150.954,30,-0.297,4015133352,3591852657943,214726,3347220754243460
2025-12-29,150.618,151.888,150.626,151.251,30,0.633,4213693253,3075914211660,207341,3352763480485070
