Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-04-27,89.066,89.791,88.566,88.752,17,-0.314,469149379,977918347180,87727,694622573456200
2026-04-24,90.445,90.769,88.271,89.066,17,-1.379,661927130,1435457100582,120830,695017413394887
2026-04-23,92.086,92.69,90.443,90.445,17,-1.641,623463405,1159665425619,118864,708387353004891
2026-04-22,91.232,92.537,91.145,92.086,17,0.854,454190596,1139797088790,86082,725883467205815
2026-04-21,91.669,91.589,90.748,91.232,17,-0.437,391781479,808166901410,106858,723172323928052
2026-04-20,92.42,92.946,91.238,91.669,17,-0.751,393473129,956555968508,92203,733123863310285
2026-04-17,92.542,92.869,92.095,92.42,17,-0.122,358688404,820982208980,59666,737412849306152
2026-04-16,91.663,93.049,91.714,92.542,17,0.879,342279821,967449199710,97536,740653528123805
2026-04-15,91.314,92.57,91.322,91.663,17,0.349,476338613,1090386206817,98436,735353356934146
2026-04-14,90.581,91.583,90.636,91.314,17,0.733,430280768,1070936423414,105853,737341980470667
2026-04-13,90.197,90.581,89.585,90.581,17,0.384,397456165,930146192380,71782,737764450686779
2026-04-10,89.813,90.72,89.826,90.197,17,0.384,275827563,696009521064,62111,736993258026070
2026-04-09,89.972,89.997,89.031,89.813,17,-0.159,417432498,1080405016100,78977,734423487008952
2026-04-08,87.363,89.994,88.253,89.972,17,2.609,656453324,1432371011200,108245,731936692938894
2026-04-07,89.292,89.279,87.116,87.363,17,-1.929,438061744,993518366042,85634,714263968248643
2026-04-06,89.18,89.78,88.388,89.292,17,0.112,243949398,485985871260,66599,726731815716880
2026-04-02,90.662,90.686,89.18,89.18,17,-1.482,327270105,745684264220,84798,724855850834887
2026-04-01,89.65,91.272,90.043,90.662,17,1.012,478310675,1155702430069,112642,734844492085797
2026-03-31,89.936,90.925,88.843,89.65,17,-0.286,454136668,1087463000100,95031,721613574245979
2026-03-30,89.386,90.428,88.557,89.936,17,0.55,476139692,1028534231130,93237,721821929402340
2026-03-27,90.232,90.252,89.139,89.386,17,-0.846,370633030,860518522770,74425,719598972653434
2026-03-26,92.897,93.129,89.754,90.232,17,-2.665,671724474,1487728930913,121948,730456297630390
2026-03-25,90.952,92.929,90.612,92.897,17,1.945,882665861,2021928692254,160781,752253317271332
2026-03-17,88.922,91.086,89.486,90.952,17,2.03,567946864,1423501523480,78294,723493806271288
2026-03-16,90.079,89.664,87.17,88.922,17,-1.157,465666416,1012137891330,102863,707399323337016
2026-03-13,92.323,92.123,89.714,90.079,17,-2.244,467921261,901367286200,93599,714155498404717
2026-03-12,92.021,93.237,90.965,92.323,17,0.302,507961432,1116976522464,93452,729928478187620
2026-03-11,92.71,93.576,91.704,92.021,17,-0.689,622226947,1320007763575,107054,728719781132884
2026-03-10,92.64,93.694,91.178,92.71,17,0.07,988422356,2117618227120,162845,728255703636502
2026-03-09,98.1,95.855,91.86,92.64,17,-5.46,999475764,2014114941020,182229,735739012965528
2026-03-06,99.283,99.68,97.191,98.1,17,-1.183,694156813,1290412399330,118573,765825627198268
2026-03-05,96.866,99.57,98.272,99.283,17,2.417,829957819,1584372664413,119854,776602338651162
2026-03-04,102.151,101.589,95.256,96.866,17,-5.285,1293063634,2926629227974,244505,759200831901726
2026-03-03,103.996,105.204,101.682,102.151,17,-1.845,1094106108,2401346073760,229034,803173640464288
2026-03-02,102.795,104.072,102.128,103.996,17,1.201,1400198632,2558590134620,260084,815795731044790
2026-02-27,102.577,103.136,101.47,102.795,17,0.218,492958423,1324252286720,75608,819024619757960
2026-02-26,103.811,104.122,101.316,102.577,17,-1.234,632246677,1523157015428,109077,827929361244778
2026-02-25,102.701,104.544,102.764,103.811,17,1.11,967883009,1378075719243,97867,830963384679954
2026-02-24,103.387,104.002,102.152,102.701,17,-0.686,730369268,1614669246708,143494,823597341177658
2026-02-23,100.774,103.387,101.511,103.387,17,2.613,545082063,1360310127062,126791,825989086487824
2026-02-20,100.431,101.43,100.086,100.774,17,0.343,445310721,1161495671920,100921,808645976677688
2026-02-19,99.643,100.993,99.637,100.431,17,0.788,562274582,1428080664838,128914,808758070772084
2026-02-18,98.907,99.724,98.557,99.643,17,0.736,469992912,988243376745,96883,807855852038786
2026-02-13,101.283,100.643,98.772,98.907,17,-2.376,572229282,1364114739980,131002,801330719512038
2026-02-12,99.434,101.719,99.059,101.283,17,1.849,674345374,1804242311201,143056,819866420041116
2026-02-11,98.088,99.446,97.541,99.434,17,1.346,637678099,1573709989066,120887,811065310782564
2026-02-10,96.889,98.206,96.763,98.088,17,1.199,625162864,1430203136965,115156,795524684144254
2026-02-09,95.836,96.977,95.501,96.889,17,1.053,495611455,1295065307668,101530,785524404808850
2026-02-06,96.144,96.296,93.983,95.836,17,-0.308,672015667,1571956439563,137751,782052534248624
2026-02-05,97.138,97.665,96.142,96.144,17,-0.994,854725747,1972675783366,180874,777940594409250
2026-02-04,96.237,98.026,96.129,97.138,17,0.901,918481244,2432010514634,178387,785303447493284
2026-02-03,95.997,98.128,95.191,96.237,17,0.24,768669824,1852065764721,144996,785183740720736
2026-02-02,97.986,98.06,93.773,95.997,17,-1.989,1132849904,2870776054015,243778,789165075511746
2026-01-30,96.46,99.074,95.47,97.986,17,1.526,1229662202,2970597921954,189858,805961561067948
2026-01-29,98.247,98.772,87.398,96.46,17,-1.787,2353695786,6575404392098,400195,781303858771678
2026-01-28,103.994,103.044,96.026,98.247,17,-5.747,1714578760,5003082845214,294670,792871873705506
2026-01-27,105.512,105.508,102.415,103.994,17,-1.518,905113023,2362739998016,171115,860921131657958
2026-01-26,101.922,106.481,102.717,105.512,17,3.59,1255034399,3482588946191,241616,859613956881588
2026-01-23,100.323,102.51,100.209,101.922,17,1.599,728174818,1996619165560,117066,837707238819920
2026-01-22,98.978,101.001,98.846,100.323,17,1.345,860900664,1982056686880,143208,830253339789318
2026-01-21,98.445,99.359,97.947,98.978,17,0.533,765893964,2162691497870,147449,814088265250244
2026-01-20,97.771,98.645,96.873,98.445,17,0.674,550581627,1343738661964,110184,814177443932412
2026-01-19,98.192,98.818,96.751,97.771,17,-0.421,630968708,1657287544005,132129,814965282874740
2026-01-15,97.904,98.578,97.283,98.192,17,0.288,613131036,1506936941599,127737,821481324890882
2026-01-14,95.559,98.044,96.614,97.904,17,2.345,934059189,2298937022180,164137,816607824304608
2026-01-13,94.379,95.781,94.797,95.559,17,1.18,803344354,1763463704063,139831,800102085909938
2026-01-12,92.826,95.493,92.55,94.379,17,1.553,1051476259,2513419449700,174101,785999625291678
2026-01-09,92.301,93.214,92.08,92.826,17,0.525,816139957,1606433983172,124176,772589792534486
2026-01-08,94.966,95.134,92.301,92.301,17,-2.665,874160230,2003755129774,176769,778423149611482
2026-01-07,91.827,95.373,92.028,94.966,17,3.139,1047018410,2954342043674,182599,793358071762130
2026-01-06,92.344,92.732,91.255,91.827,17,-0.517,641521331,1425113675930,128190,778936171354412
2026-01-05,90.421,92.364,90.559,92.344,17,1.923,659755091,1297112044726,121044,785932701358908
2026-01-02,90.362,90.941,90.089,90.421,17,0.059,404364187,660894130180,77264,768576785845962
2025-12-30,90.825,90.717,89.758,90.362,17,-0.463,736494927,1247666561878,99202,773354762004796
2025-12-29,89.715,91.44,90.042,90.825,17,1.11,785716412,1448572687940,117018,774576841269404
2025-12-24,89.275,90.52,89.254,89.715,17,0.44,893929186,1230897814857,107555,765144743311308
2025-12-23,89.433,89.859,88.706,89.275,17,-0.158,420995800,883106524526,71777,764567896258714
2025-12-22,88.012,89.669,88.472,89.433,17,1.421,847102094,1480469838245,100459,763361164000088
2025-12-19,88.465,89.631,87.986,88.012,17,-0.453,773090631,1968288195868,105675,753569446257802
2025-12-18,88.662,89.362,88.159,88.465,17,-0.197,497102160,1135210440250,85909,761534050788206
2025-12-17,88.167,89.43,88.455,88.662,17,0.495,484279132,1133139174160,76361,765260107962678
2025-12-16,88.349,89.06,87.539,88.167,17,-0.182,671726446,1020191093132,93321,765563664390144
2025-12-15,88.533,89.174,87.731,88.349,17,-0.184,749023020,1449617004600,109434,763550106452554
2025-12-12,87.997,88.878,87.621,88.533,17,0.536,582788290,1428214085653,102984,766264722785016
2025-12-11,89.201,89.836,87.252,87.997,17,-1.204,519272818,958838033590,92704,767427603687764
2025-12-10,88.587,89.553,88.672,89.201,17,0.614,470553635,792043117180,69872,779875793347254
2025-12-09,89.809,90.23,88.211,88.587,17,-1.222,428291025,770535771040,87568,771533531704770
2025-12-08,89.856,90.426,89.531,89.809,17,-0.047,324844687,622036206242,74058,784841842791464
2025-12-05,89.164,90.043,89.148,89.856,17,0.692,508500842,856353225406,64891,791083528561742
2025-12-04,89.356,90.058,88.712,89.164,17,-0.192,417518903,545417663160,72274,781578011143518
2025-12-03,89.15,89.93,89.029,89.356,17,0.206,451098341,746917901289,72618,777635722897238
2025-12-02,89.944,90.097,88.805,89.15,17,-0.794,351759684,763764130657,79157,776173212813264
2025-12-01,88.467,89.944,88.869,89.944,17,1.477,463497530,1037188210815,75741,785182732372896
2025-11-28,88.936,89.387,88.186,88.467,17,-0.469,701494414,1168796220380,101031,789368523122538
2025-11-27,90.307,90.521,88.798,88.936,17,-1.371,451443258,1025868930005,87120,798169853447950
2025-11-26,88.501,90.307,88.352,90.307,17,1.806,752163958,1871315333380,114407,816039512311238
2025-11-25,88.129,88.801,87.613,88.501,17,0.372,526495158,1235539345978,102060,803757318960054
2025-11-24,87.135,88.129,87.05,88.129,17,0.994,561559608,1461466784434,93066,805214013624638
2025-11-21,88.556,88.324,86.787,87.135,17,-1.421,362844708,855105868142,86207,785931680648748
2025-11-20,88.758,89.284,88.427,88.556,17,-0.202,588366363,823949293058,76566,803181437841848
2025-11-19,88.005,89.078,88.086,88.758,17,0.753,664493444,1000631029872,86863,804071942755202
2025-11-18,88.899,88.953,87.765,88.005,17,-0.894,504906758,1266356081800,103287,799298176668826
2025-11-17,88.198,89.296,88.033,88.899,17,0.701,632482988,1464942318730,124535,802181630882788
2025-11-14,87.193,88.409,86.969,88.198,17,1.005,696881819,1712173224889,139407,794325475243716
2025-11-13,87.655,88.476,87.001,87.193,17,-0.462,717220207,1330959956350,127785,785841130931432
2025-11-12,87.593,88.025,87.118,87.655,17,0.062,561571698,1144223104300,123552,793404528647070
2025-11-11,87.554,88.525,87.125,87.593,17,0.039,369657674,905521257655,93707,791457804833258
2025-11-10,87.847,88.595,87.554,87.554,17,-0.293,638902617,1552577871860,136486,785504772884428
2025-11-07,87.594,87.992,87.277,87.847,17,0.253,518046757,1354312349940,100047,789199753172734
2025-11-06,88.01,88.064,87.425,87.594,17,-0.416,571881384,1423584940580,130138,788266583408854
2025-11-05,87.027,88.237,86.614,88.01,17,0.983,826734096,1959979782190,157529,795330386715186
2025-11-04,87.67,88.35,87.027,87.027,17,-0.643,923301919,1959963130907,180941,787500750781212
2025-11-03,87.016,88.123,87.034,87.67,17,0.654,463966129,991372353815,99155,780939106241956
2025-10-31,87.557,87.818,86.446,87.016,17,-0.541,601323687,1413977761010,109956,768354902573736
2025-10-30,88.245,88.59,87.305,87.557,17,-0.688,451948012,1020379029490,103020,774126249163258
2025-10-29,87.903,88.478,87.578,88.245,17,0.342,420649805,981314880290,81394,782838499248596
2025-10-28,87.474,88.384,86.727,87.903,17,0.429,487859827,1099568463420,96588,789579379348846
2025-10-27,87.687,89.029,86.457,87.474,17,-0.213,551323375,1090201456066,100306,781728552195370
2025-10-24,89.01,89.614,87.687,87.687,17,-1.323,463697918,997666501730,94086,781499211359284
2025-10-23,86.713,89.357,86.919,89.01,17,2.297,834249497,1730808781289,119682,794201005320496
2025-10-22,88.895,88.198,86.608,86.713,17,-2.182,999154180,1446862028117,140622,766832453867650
2025-10-21,86.075,89.035,86.909,88.895,17,2.82,604714757,1546090863953,113048,788176474074788
2025-10-20,85.324,86.573,85.09,86.075,17,0.751,468931580,1125846124579,102999,747186685052226
2025-10-17,85.982,86.424,84.507,85.324,17,-0.658,597774381,1337502189540,97823,735382437768224
2025-10-16,86.562,87.207,85.626,85.982,17,-0.58,531323016,1451501693306,111415,745335743462036
2025-10-15,86.444,87.491,85.506,86.562,17,0.118,604859842,1369868202600,101198,756292440942524
2025-10-14,87.615,88.805,85.697,86.444,17,-1.171,660410310,1609924582940,131132,750405676652002
2025-10-13,87.986,88.266,86.8,87.615,17,-0.371,456019425,1083466620740,100818,763264345260902
2025-10-10,87.44,88.441,87.339,87.986,17,0.546,493578127,1056547647425,89405,768136820729512
2025-10-09,86.765,87.658,86.148,87.44,17,0.675,1119751563,2196639390166,187783,765446710012128
2025-10-08,85.753,86.881,84.695,86.765,17,1.012,1026728138,2593053688309,188485,758066667654426
2025-10-07,85.806,86.992,85.565,85.753,17,-0.053,882793691,1875533305468,164595,756110150139296
2025-10-06,85.974,86.955,85.45,85.806,17,-0.168,648613413,1223542593140,122345,756785949016920
2025-10-03,84.739,86.035,84.787,85.974,17,1.235,805707197,1762868570374,128897,760960683985404
2025-10-02,85.527,86.192,84.538,84.739,17,-0.788,626844786,1395897709498,117069,757727768571801
2025-10-01,84.839,86.295,84.473,85.527,17,0.688,1057618535,1851853705771,156158,755970463014122
2025-09-30,85.824,86.652,84.731,84.839,17,-0.985,878635770,1906205783840,121950,752280692237715
2025-09-29,85.161,85.935,85.141,85.824,17,0.663,741602617,1493148982406,125612,758256553902616
2025-09-26,85.044,85.683,84.551,85.161,17,0.117,538570342,1305223656475,92107,758308468525834
