Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-03-25,703.132,719.383,703.356,719.383,123,16.251,1698459871,1104357430363,173616,1050809136436870
2026-03-24,695.674,703.63,696.179,703.132,123,7.458,4196825794,4505541582150,177291,1032007720988540
2026-03-17,695.674,703.63,696.179,703.132,123,7.458,4196825794,4505541582150,177291,1032007720988540
2026-03-16,696.763,699.145,679.412,695.674,123,-1.089,1717419304,1046563877766,151755,1019430748655400
2026-03-13,712.288,712.9,694.277,696.763,123,-15.525,1353229324,663171080590,135540,1024302762969540
2026-03-12,712.774,718.969,704.931,712.288,123,-0.486,1534111173,798262920703,149340,1047917751134090
2026-03-11,710.871,720.74,709.007,712.774,123,1.903,2802136598,1061956393894,122345,1051157654574050
2026-03-10,704.068,718.53,704.115,710.871,123,6.803,1677034557,1011384665220,139576,1050792932782040
2026-03-09,729.576,713.043,691.956,704.068,123,-25.508,2157731223,1179455445727,194282,1035747461488060
2026-03-06,734.548,735.247,719.235,729.576,123,-4.972,2000534013,949754257283,174694,1074740089448620
2026-03-05,723.024,740.179,730.169,734.548,123,11.524,1924864858,869755518771,179977,1085938911651930
2026-03-04,754.19,753.861,717.886,723.024,123,-31.166,3458529780,1469634696513,235298,1067613908012500
2026-03-03,754.89,764.422,754.19,754.19,123,-0.7,2834498134,5864907222926,227402,1114342173510430
2026-03-02,782.941,770.609,754.89,754.89,123,-28.051,4064909232,1752118083415,292523,1118685702067780
2026-02-27,783.481,787.117,771.852,782.941,123,-0.54,6564279044,3711490219419,334257,1161695913849780
2026-02-26,794.026,798.836,777.271,783.481,123,-10.545,3415887770,1226311527415,252049,1157800704020540
2026-02-25,793.048,797.988,789.132,794.026,123,0.978,5622523644,1920063113525,247834,1173903253736160
2026-02-24,804.374,808.101,790.737,793.048,123,-11.326,5498367925,1759580434515,332625,1172365055823530
2026-02-23,796.254,806.775,798.776,804.374,123,8.12,2098097451,1200304691005,207942,1190531651080820
2026-02-20,808.66,811.818,793.322,796.254,123,-12.406,2363757360,1191995889380,231106,1175268865478130
2026-02-19,808.206,814.946,807.286,808.66,123,0.454,4158543736,1408118638310,308854,1191042477574940
2026-02-18,794.593,808.206,799.514,808.206,123,13.613,2523134254,1048647700957,210418,1195103487581920
2026-02-13,799.102,800.65,793.197,794.593,123,-4.509,1411852998,841118694648,158938,1173236994981480
2026-02-12,803.954,807.797,797.146,799.102,123,-4.852,1769550129,787718405203,161836,1180247136488730
2026-02-11,803.815,807.325,799.626,803.954,123,0.139,1645505424,1037576253010,171446,1186621397916040
2026-02-10,798.94,807.065,794.243,803.815,123,4.875,1288692265,888364190998,188136,1185806790874260
2026-02-09,786.899,798.94,781.99,798.94,123,12.041,1125313961,719091188359,135566,1174686886980970
2026-02-06,796.958,794.339,781.164,786.899,123,-10.059,1528521006,898967152660,161555,1156079802641820
2026-02-05,790.686,804.525,791.174,796.958,123,6.272,2090603925,1186479814304,212364,1167027059197340
2026-02-04,803.781,804.843,788.984,790.686,123,-13.095,2369128008,1218256136856,227957,1154777162506420
2026-02-03,792.958,803.781,779.654,803.781,123,10.823,2247665817,1419260607030,223035,1165477851822400
2026-02-02,806.891,814.711,781.872,792.958,123,-13.933,2334094796,1233794224644,204515,1143709829554230
2026-01-30,791.289,808.873,787.907,806.891,123,15.602,2590563641,1435211472882,219171,1166210081590630
2026-01-29,821.076,807.162,744.074,791.289,123,-29.787,3905465959,2157907878045,315408,1136860567537200
2026-01-28,854.917,846.041,809.912,821.076,123,-33.841,4546747859,1958968284788,313419,1174682079643130
2026-01-27,855.244,857.028,846.643,854.917,123,-0.327,3766978583,1389721522294,239081,1225834867369200
2026-01-26,851.753,860.14,849.584,855.244,123,3.491,3678160122,1689729951415,253101,1233313545756520
2026-01-23,853.414,859.851,838.581,851.753,123,-1.661,4024251539,2296381693105,224000,1231139055431790
2026-01-22,841.024,858.189,845.81,853.414,123,12.39,5636849895,1739891801285,351318,1243037354360030
2026-01-21,836.168,841.11,829.957,841.024,123,4.856,3389079616,1425531238385,265030,1217018449892720
2026-01-20,827.163,840.706,828.856,836.168,123,9.005,7545500694,1943559184570,499624,1204868889421510
2026-01-19,821.259,829.142,819.925,827.163,123,5.904,8418351516,2034453467636,505396,1196816926347080
2026-01-15,819.634,823.013,817.932,821.259,123,1.625,3243011772,1562356837645,261768,1186980499967190
2026-01-14,818.781,823.775,814.477,819.634,123,0.853,2737414216,1108532615815,247591,1186683542320720
2026-01-13,812.715,820.695,813.749,818.781,123,6.066,2597836778,1149774536556,227007,1183601194356420
2026-01-12,817.42,822.236,806.514,812.715,123,-4.705,3193635748,1585759574215,310891,1181375637288750
2026-01-09,815.033,820.721,816.41,817.42,123,2.387,2443599696,927447115643,176864,1192258357587750
2026-01-08,810.196,823.424,810.836,815.033,123,4.837,2541990832,1509067598545,318279,1190381449110140
2026-01-07,817.833,819.635,807.767,810.196,123,-7.637,5475204694,1529355305857,307984,1185068370333010
2026-01-06,811.867,821.415,813.543,817.833,123,5.966,6103218522,1342639267102,306107,1191742878163750
2026-01-05,805.296,812.251,801.542,811.867,123,6.571,6009975894,1177995131768,234791,1180752940547040
2026-01-02,799.782,807.696,801.18,805.296,123,5.514,1869677603,705895606169,169155,1175197661205490
2025-12-30,795.75,804.09,795.911,799.782,123,4.032,3036275025,1087417233696,151964,1168741862964980
2025-12-29,792.065,798.384,790.512,795.75,123,3.685,1823375200,788778938575,215613,1163350363027080
2025-12-24,790.497,793.49,789.508,792.065,123,1.568,1528421788,543935939932,163994,1158414027128300
2025-12-23,794.069,795.998,789.137,790.497,123,-3.572,1652429931,828194500205,121564,1158196775049300
2025-12-22,796.006,796.738,792.314,794.069,123,-1.937,2113425149,868230240380,176574,1166259906909150
2025-12-19,794.547,796.913,788.222,796.006,123,1.459,2176138133,1258584724050,188783,1169076893158240
2025-12-18,793.27,797.681,792.611,794.547,123,1.277,2204366617,931708594140,223495,1166472289960260
2025-12-17,792.177,797.246,792.288,793.27,123,1.093,2804860239,1068300297141,250140,1165296478462130
2025-12-16,789.487,795.777,790.426,792.177,123,2.69,2371651237,1401793619197,198286,1165651570732790
