Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-03-24,424.305,431.166,426.412,428.521,452,4.216,9941464930,5119375666992,618050,3301287051588090
2026-03-17,424.305,431.166,426.412,428.521,452,4.216,9941464930,5119375666992,618050,3301287051588090
2026-03-16,426.133,425.965,414.769,424.305,452,-1.828,12303215839,5357626464412,708894,3274221193318890
2026-03-13,436.665,435.57,425.335,426.133,452,-10.532,10783397090,4242722290790,670922,3287850643266070
2026-03-12,442.559,444.037,436.665,436.665,452,-5.894,9553289487,4666399656144,691051,3353048266246130
2026-03-11,446.365,451.047,441.084,442.559,452,-3.806,15488888762,7489808097856,912103,3384130905845200
2026-03-10,437.206,446.365,438.824,446.365,452,9.159,15969762422,7757918716653,967299,3404309336464510
2026-03-09,455.273,443.734,428.068,437.206,452,-18.067,19781632130,10352735035197,1217699,3345991241220220
2026-03-06,464.817,465.043,450.579,455.273,452,-9.544,15125733387,8504202532101,1010256,3469928897174300
2026-03-05,455.599,468.386,462.946,464.817,452,9.218,17152407614,8408584409929,1083399,3524250517919450
2026-03-04,477.385,476.035,450.562,455.599,452,-21.786,23762686991,12945918363426,1588309,3466494396853730
2026-03-03,479.498,486.119,474.393,477.385,452,-2.113,26408780351,17280136559398,1622913,3614065640280510
2026-03-02,491.21,485.798,477.03,479.498,452,-11.712,29613539802,15446424387362,2037444,3629630843460950
2026-02-27,485.399,491.653,476.323,491.21,452,5.811,19357467503,9618558482998,1213423,3711289885858920
2026-02-26,495.037,497.549,481.828,485.399,452,-9.638,28291288237,12761607007593,1514306,3672657968469290
2026-02-25,488.697,496.873,487.946,495.037,452,6.34,25219786439,11619072387441,1398861,3739901350578950
2026-02-24,496.431,501.123,488.341,488.697,452,-7.734,28041431784,13000154825083,1603328,3701475445012940
2026-02-23,486.824,496.934,490.531,496.431,452,9.607,23038096123,9445128389492,1495872,3755697172351860
2026-02-20,487.951,490.929,484.753,486.824,452,-1.127,14945284659,7714392887758,1181942,3704431404030920
2026-02-19,485.755,489.821,484.61,487.951,452,2.196,23499154773,10443532522522,1615315,3710240044139060
2026-02-18,477.078,485.755,479.391,485.755,452,8.677,22042860527,10171680954568,1660824,3696257924829810
2026-02-13,475.871,480.935,472.258,477.078,452,1.207,15456146108,7890983023415,1239672,3641986526154540
2026-02-12,475.717,479.256,472.589,475.871,452,0.154,19067038771,9075890591459,1493934,3640028836487490
2026-02-11,462.206,475.995,463.847,475.717,452,13.511,26343012166,11190081513178,1665206,3640951694873200
2026-02-10,453.888,462.206,453.086,462.206,452,8.318,17919038409,7466891173417,1049264,3563766122152130
2026-02-09,447.919,454.589,443.978,453.888,452,5.969,19070350427,6289002551393,1011092,3510164838032410
2026-02-06,459.735,454.071,443.7,447.919,452,-11.816,14677026920,6282260376679,972322,3472502382190910
2026-02-05,460.647,466.988,459.735,459.735,452,-0.912,16998291248,6492675508998,1173782,3536998008216560
2026-02-04,466.086,468.954,458.546,460.647,452,-5.439,19984312902,9426172619589,1320166,3543814485706500
2026-02-03,453.926,466.086,437.531,466.086,398,12.16,38912782746,15308462472390,1669289,4564979069228940
2026-02-02,485.969,481.808,449.978,453.926,398,-32.043,27153365362,12484692391827,1324671,4457687251680720
2026-01-30,485.569,496.316,480.64,485.969,398,0.4,28760812071,14671711054629,1580265,4760007135851310
2026-01-29,506.829,492.438,455.812,485.569,398,-21.26,54270741244,26539106916026,2168280,4777205105101980
2026-01-28,545.107,521.222,499.902,506.829,398,-38.278,24383826509,13329689577701,1572633,4945653864651470
2026-01-27,539.818,545.107,535.525,545.107,398,5.289,21353908454,11401125706670,1339408,5317456271592430
2026-01-26,546.502,553.388,538.626,539.818,398,-6.684,27119277889,18355624656644,1796619,5288704626190730
2026-01-23,548.125,550.321,536.19,546.502,398,-1.623,32354766195,17917133437381,1591335,5327777311561590
2026-01-22,550.322,558.419,547.803,548.125,398,-2.197,35110880305,17949627623297,1942563,5328859324011460
