Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-04-02,7689.603,7593.845,7465.319,7530.706,40,-158.897,2973531100,266570712248,46582,739404823691024
2026-04-01,7578.822,7720.854,7616.446,7689.603,40,110.781,4191978662,384126109974,74949,763016493955529
2026-03-31,7679.172,7705.585,7556.534,7578.822,40,-100.35,2126851442,206324865944,33361,760059263517145
2026-03-30,7571.435,7710.211,7475.719,7679.172,40,107.737,3547284786,283239462208,47204,765168415544184
2026-03-27,7645.63,7666.4,7557.941,7571.435,40,-74.195,3132104899,281753723591,46338,741567187000104
2026-03-26,7738.528,7780.712,7529.359,7645.63,40,-92.898,5175487170,440659223088,71032,744519378251404
2026-03-25,7636.861,7738.528,7453.493,7738.528,40,101.667,10611251367,744929779567,76044,758798205422847
2026-03-24,7422.384,7636.861,7440.419,7636.861,40,214.477,4994832479,377691348590,49355,763004047228952
2026-03-17,7422.384,7636.861,7440.419,7636.861,40,214.477,4994832479,377691348590,49355,763004047228952
2026-03-16,7600.105,7679.508,7395.275,7422.384,40,-177.721,7423325881,478365062643,64557,730194571687098
2026-03-13,7868.33,7908.264,7498.509,7600.105,40,-268.225,4429175185,355889229712,56800,745290543791995
2026-03-12,7797.026,7868.33,7644.256,7868.33,40,71.304,3838371058,360603851149,45672,792210869598425
2026-03-11,7729.929,7899.419,7718.764,7797.026,40,67.097,3090591350,384018045040,52918,762566733397547
2026-03-10,7733.289,7882.573,7698.866,7729.929,40,-3.36,3898949047,374788718847,56788,763754349162398
2026-03-09,7857.052,7819.575,7501.767,7733.289,40,-123.763,7899875757,687852138882,81662,775221724796731
2026-03-06,7890.557,7951.131,7772.408,7857.052,40,-33.505,4893410952,433488923782,53503,773804682084901
2026-03-05,7838.366,7965.484,7823.875,7890.557,40,52.191,2486597059,281155738797,55148,767047947348674
2026-03-04,8186.998,8169.345,7741.721,7838.366,40,-348.632,6798824402,615058295530,88475,759153173209730
2026-03-03,8242.195,8320.358,8138.582,8186.998,40,-55.197,3441435519,401160600954,61177,804426426656989
2026-03-02,8565.01,8449.618,8204.796,8242.195,40,-322.815,5034163614,582612570056,98919,809196590339078
2026-02-27,8532.659,8587.768,8425.387,8565.01,40,32.351,6145320917,558573840145,72315,828092971994886
2026-02-26,8658.964,8730.383,8518.499,8532.659,40,-126.305,3938769431,592155579675,126802,827532143504964
2026-02-25,8676.885,8757.556,8611.369,8658.964,40,-17.921,3156018617,533530231546,111396,838258784099791
2026-02-24,8833.4,8899.001,8630.802,8676.885,40,-156.515,6697351080,813053005624,205443,840145529764316
2026-02-23,8751.41,8923.709,8769.035,8833.4,40,81.99,7554778429,762788969090,130012,848477142049222
2026-02-20,8751.736,8842.083,8701.975,8751.41,40,-0.326,6899803742,678984042284,72129,846488477670531
2026-02-19,8854.681,8961.66,8690.765,8751.736,40,-102.945,7409907721,1139387620350,111926,841056618660592
2026-02-18,8736.947,8932.878,8720.787,8854.681,40,117.734,5779512307,659611364337,104250,871062084090222
2026-02-13,8790.652,8840.601,8712.352,8736.947,40,-53.705,4588189077,412836774019,63371,866450604668482
2026-02-12,8800.851,8825.729,8739.779,8790.652,40,-10.199,2757567218,628610495704,131035,870023640130466
2026-02-11,8703.329,8855.973,8546.45,8800.851,40,97.522,4836891561,594737399185,103892,871451934268656
2026-02-10,8594.961,8755.432,8563.868,8703.329,40,108.368,9572312981,1110777965220,87327,868671394434304
2026-02-09,8525.989,8647.099,8433.638,8594.961,40,68.972,5209812792,729766450822,92207,859358264717909
2026-02-06,8683.888,8638.729,8291.643,8525.989,40,-157.899,3985547515,457957328443,113251,844329229940887
2026-02-05,8788.348,8843.752,8683.888,8683.888,40,-104.46,3435915802,359391148279,72341,856644104972103
2026-02-04,8786.013,8849.444,8697.849,8788.348,40,2.335,2767965523,399878934992,73059,861280703497256
2026-02-03,8374.695,8884.488,8310.336,8786.013,40,411.318,3014827657,525240378328,97332,863305771929938
2026-02-02,8912.686,8889.183,8335.481,8374.695,40,-537.991,6509893349,766297404162,111098,799355755146637
2026-01-30,8763.458,8920.397,8659.621,8912.686,40,149.228,5661724954,686316288213,130165,837192945594124
2026-01-29,8848.029,8836.776,7960.234,8763.458,40,-84.571,18213922810,1913326408470,191815,836125907474812
2026-01-28,9571.071,9259.271,8761.519,8848.029,40,-723.042,13035131322,1489031378141,179002,858777948447036
2026-01-27,9370.588,9586.261,9302.372,9571.071,40,200.483,14272480649,1189570662898,167892,923689552749161
2026-01-26,9424.273,9511.185,9321.359,9370.588,40,-53.685,6539809161,734969638454,157068,920949906510697
2026-01-23,9481.362,9515.366,9241.109,9424.273,40,-57.089,9822577334,951434629023,120078,920573304734493
2026-01-22,9645.534,9725.269,9476.587,9481.362,40,-164.172,11096968450,1246821154493,196080,915323365212119
2026-01-21,9786.13,9799.395,9612.571,9645.534,40,-140.596,11558773864,1387633312382,274542,929384142769884
2026-01-20,9734.85,9907.594,9733.174,9786.13,40,51.28,9323274105,1121361664169,263365,940244927595526
2026-01-19,9761.857,9804.367,9620.224,9734.85,40,-27.007,8818581060,1181027757731,183419,933488989585291
2026-01-15,9705.084,9827.345,9627.874,9761.857,40,56.773,6551826089,873681594066,101161,928099749670452
2026-01-14,9656.532,9833.168,9615.499,9705.084,40,48.552,19886830693,1730851799726,163144,910359137593530
2026-01-13,9727.38,9813.8,9597.661,9656.532,40,-70.848,7027615146,904382432850,103875,924577466510685
2026-01-12,9893.843,9935.184,9646.011,9727.38,40,-166.463,4593867499,920304331129,141013,929394488084294
2026-01-09,9936.924,10033.125,9855.762,9893.843,40,-43.081,4419571137,527036001606,74161,939740779089076
2026-01-08,10047.169,10115.362,9936.924,9936.924,40,-110.245,3440259919,555224879891,88848,944463526013942
2026-01-07,10103.655,10191.375,9995.767,10047.169,40,-56.486,6201373265,1021493532138,132802,956182552753966
2026-01-06,9947.614,10171.766,9904.17,10103.655,40,156.041,4798084342,876961908602,139033,963454393584497
2026-01-05,9955.012,10152.043,9742.165,9947.614,40,-7.398,10625947189,1543537001139,171690,949009125004782
2026-01-02,9528.777,9955.012,9535.383,9955.012,40,426.235,7896578759,919169147472,98073,941856562066106
2025-12-30,9623.007,9702.038,9457.477,9528.777,40,-94.23,3239591701,525348794294,88322,888169428222418
2025-12-29,9736.79,9754.426,9590.772,9623.007,40,-113.783,3707430845,523268307572,93249,914436055949929
2025-12-24,9812.152,9850.791,9678.952,9736.79,40,-75.362,2113490101,563456807703,96374,946859816564043
2025-12-23,9769.786,9853.453,9712.715,9812.152,40,42.366,3981411750,2353597869606,130783,965052450924618
2025-12-22,10060.878,10122.722,9764.688,9769.786,40,-291.092,3220617558,707695515075,115583,960511995797177
2025-12-19,10113.7,10187.637,9987.1,10060.878,40,-52.822,6326110799,1212481101321,108335,995177263809200
2025-12-18,10325.866,10411.826,10091.288,10113.7,40,-212.166,4120250154,1321013713342,115376,999743328976143
2025-12-17,10625.69,10686.551,10318.077,10325.866,40,-299.824,3939027080,1062362051874,159827,1012871451023450
2025-12-16,10299.838,10632.601,10318.685,10625.69,40,325.852,8893154721,1338279919849,120628,1028512631596100
2025-12-15,10397.349,10451.579,10226.727,10299.838,40,-97.511,5957124834,1046666004551,124567,1011000152798520
2025-12-12,10631.723,10734.149,10371.081,10397.349,40,-234.374,7443477329,2497878852168,178285,1020614637715330
2025-12-11,10800.915,10968.212,10588.34,10631.723,40,-169.192,5831400221,1583570530851,170975,1031923707326080
2025-12-10,10716.866,10828.866,10666.418,10800.915,40,84.049,6450027118,2352054469832,297542,1039318088055070
2025-12-09,10555.552,10857.516,10609.189,10716.866,40,161.314,9012456118,1994045013585,222447,1035123170912420
2025-12-08,10283.902,10615.836,10350.121,10555.552,40,271.65,15792618817,1908415832246,235647,1020623341533250
2025-12-05,10355.984,10452.439,10283.902,10283.902,40,-72.082,5003349523,1114823291572,204222,1014365498974620
2025-12-04,10355.496,10442.131,10330.933,10355.984,40,0.488,2737422988,588452661024,110970,1046004626767060
2025-12-03,10198.118,10441.67,10167.228,10355.496,40,157.378,3313336510,744845589390,116778,1045891713637800
2025-12-02,10235.181,10317.119,10115.063,10198.118,40,-37.063,6154238138,908731920558,133017,998335013895026
2025-12-01,10125.717,10251.178,10093.575,10235.181,40,109.464,5669380266,745492066590,113597,1001057938062030
2025-11-28,10396.272,10458.036,10116.38,10125.717,40,-270.555,3483254579,693300971136,106320,1002093408905660
2025-11-27,10424.228,10567.994,10263.199,10396.272,40,-27.956,3763850632,1077638826264,104403,1045074093638420
2025-11-26,10355.063,10429.122,10274.033,10424.228,40,69.165,2473795627,777472673322,82185,1059278696087630
2025-11-25,10402.784,10543.458,10301.482,10355.063,40,-47.721,3504396998,1236636137350,133596,1053642161949910
2025-11-24,10314.528,10560.067,10334.007,10402.784,40,88.256,13839351010,2262643061743,180667,1057482175269230
2025-11-21,10041.89,10317.157,10036.887,10314.528,40,272.638,6902295216,1245710335733,143544,1058039833921630
2025-11-20,10052.212,10160.298,10023.807,10041.89,40,-10.322,4446283052,1099627502944,156265,1050095102147410
2025-11-19,10144.918,10175.638,9979.608,10052.212,40,-92.706,5070964760,605814318442,97334,1056123035704480
2025-11-18,10211.557,10233.585,10063.296,10144.918,40,-66.639,5740165074,655516014096,157837,1060700210307150
