Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2021-04-30,1031.573,1043.5,1032.381,1036.515,79,4.942,2561326551,1445492839092,108422,735758783518106
2021-04-29,1021.553,1033.344,1020.379,1031.573,79,10.02,1624134116,1257053591750,90857,732222459705870
2021-04-28,1016.18,1023.756,1013.11,1021.553,79,5.373,2708013249,1353359305425,114018,725099676327196
2021-04-27,1026.203,1029.145,1013.691,1016.18,79,-10.023,2004477716,1550934244390,116236,721306323213765
2021-04-26,1039.692,1041.055,1024.594,1026.203,79,-13.489,2154926751,2134266400045,103094,728425383349088
2021-04-23,1044.368,1043.283,1035.049,1039.692,79,-4.676,3124992142,974031074745,107786,738006295013048
2021-04-22,1039.373,1051.743,1040.745,1044.368,79,4.995,2773690149,1073312239898,107715,741298525418983
2021-04-21,1048.704,1048.587,1037.72,1039.373,79,-9.331,2269209251,1016017145465,118540,737753703627361
2021-04-20,1048.422,1050.186,1040.359,1048.704,79,0.282,2266252875,1087078679520,109048,744376705447073
2021-04-19,1055.633,1060.154,1046.305,1048.422,79,-7.211,4457382779,1178846684105,138996,744176414376094
2021-04-16,1052.597,1064.319,1049.115,1055.633,79,3.036,5271546922,1501818923029,160403,749295025810778
2021-04-15,1048.796,1056.268,1045.171,1052.597,79,3.801,3012045254,1290402693579,137098,747139501682304
2021-04-14,1035.142,1050.981,1036.691,1048.796,79,13.654,4086081089,1487586871585,157540,744441888439877
2021-04-13,1024.313,1037.601,1019.675,1035.142,79,10.829,2332786886,1412590233836,143482,734749960652868
2021-04-12,1044.804,1044.349,1021.326,1024.313,79,-20.491,3408670580,1457738176773,124951,727063586548437
2021-04-09,1047.13,1048.382,1041.105,1044.804,79,-2.326,1970057770,992193687915,94134,738332234393781
2021-04-08,1051.179,1053.812,1043.376,1047.13,79,-4.049,3972645596,936079436414,105789,739975763115548
2021-04-07,1041.788,1055.638,1043.026,1051.179,79,9.391,1759440104,1023618454790,98457,742837444884022
2021-04-06,1033.171,1046.752,1031.982,1041.788,79,8.617,1852412918,954541931735,104921,736201075616625
2021-04-05,1039.819,1048.628,1032.005,1033.171,79,-6.648,1795285524,701486738505,74488,730111842859802
2021-04-01,1039.605,1046.982,1033.213,1039.819,79,0.214,1497996091,745642410416,73315,734809500391029
2021-03-31,1036.675,1043.981,1016.582,1039.605,79,2.93,1846930182,1236783794863,101207,734658137359479
2021-03-30,1052.324,1056.531,1030.717,1036.675,79,-15.649,2094788782,924591652900,114316,732582692623490
2021-03-29,1067.073,1071.873,1050.782,1052.324,79,-14.749,2318639169,1039735882910,114690,743640316304060
2021-03-26,1052.121,1068.656,1047.417,1067.073,79,14.952,1948133861,1058484740910,108172,754063293757168
2021-03-25,1040.307,1054.811,1037.259,1052.121,79,11.814,2756486402,1366813620442,105726,743496788218903
2021-03-24,1049.06,1050.384,1036.694,1040.307,79,-8.753,2175484992,1110503904820,119773,735147813208871
2021-03-23,1059.638,1066.096,1044.889,1049.06,79,-10.578,2228052597,1025341239750,119216,741333147242826
2021-03-22,1076.956,1076.418,1058.603,1059.638,79,-17.318,2107172302,1015026683696,123864,748808838311307
2021-03-19,1080.825,1077.018,1064.23,1076.956,79,-3.869,3070787713,1885837339636,172382,761046727737107
2021-03-18,1063.747,1090.01,1071.695,1080.825,79,17.078,3749001985,1624506194025,150380,763780310471368
2021-03-17,1061.311,1073.549,1058.079,1063.747,79,2.436,3061468413,1274191989375,150739,751711680091107
2021-03-16,1062.684,1071.578,1060.186,1061.311,79,-1.373,3902715965,1767618785544,181732,749990599539407
2021-03-15,1074.004,1078.008,1061.696,1062.684,79,-11.32,2948545867,1267593149656,164919,750959359507908
2021-03-12,1056.826,1080.853,1063.951,1074.004,79,17.178,3054140495,1303571734595,116669,758958597962738
2021-03-10,1032.16,1060.914,1036.769,1056.826,79,24.666,4637283904,1596059512737,140421,746819180808792
2021-03-09,1044.704,1052.942,1029.218,1032.16,79,-12.544,6741695804,1621393064262,152194,729389218158413
2021-03-08,1037.175,1054.812,1039.722,1044.704,79,7.529,2587069894,1288271127920,115665,738212684503429
2021-03-05,1051.598,1048.782,1036.716,1037.175,79,-14.423,2759192506,1416283426890,118119,732892369168615
2021-03-04,1069.918,1069.281,1043.986,1051.598,79,-18.32,5420505899,1652540497914,131984,743084164413752
2021-03-03,1067.985,1073.31,1059.701,1069.918,79,1.933,4681136465,1487978826408,125534,756029238402121
2021-03-02,1075.087,1081.511,1064.407,1067.985,79,-7.102,4072374964,1720636633583,143430,754663386844962
2021-03-01,1070.385,1082.7,1068.617,1075.087,79,4.702,4508157698,1533269696376,135915,759681791166707
2021-02-26,1070.753,1074.242,1049.867,1070.385,79,-0.368,5315366320,2387867617416,141495,756359389300976
2021-02-25,1059.7,1078.811,1062.601,1070.753,79,11.053,9958765538,2698494438561,174816,756619402257709
2021-02-24,1061.35,1074.422,1054.396,1059.7,79,-1.65,15138582309,4164504392150,162975,748809262870936
2021-02-23,1014.119,1063.148,1016.85,1061.35,79,47.231,2588423666,2244353524170,176315,749975249833295
2021-02-22,1015.496,1025.241,1013.32,1014.119,79,-1.377,2135467460,1324109953150,122118,716600453263718
2021-02-19,1009.783,1015.496,1004.189,1015.496,79,5.713,1636048928,912467482664,103875,717573330413072
2021-02-18,1006.865,1029.97,1009.783,1009.783,79,2.918,2322384491,1438256938401,132166,713536641098367
2021-02-17,1024.777,1028.674,1004.915,1006.865,79,-17.912,3163989578,1641401909280,170622,711474332928300
2021-02-16,1022.9,1031.97,1018.735,1024.777,79,1.877,3629680420,1592878767190,179944,724131484150917
2021-02-15,1009.84,1029.851,1013.753,1022.9,79,13.06,2070802274,1477436194501,153311,722805268782236
2021-02-11,1011.216,1019.908,1005.598,1009.84,79,-1.376,2228718490,1411926587968,143576,713576572896652
2021-02-10,1002.957,1014.036,995.292,1011.216,79,8.259,1927419402,1536877019569,146067,714549160174977
2021-02-09,1022.787,1031.146,997.32,1002.957,79,-19.83,2738436957,1711953552110,192447,708713373892990
2021-02-08,1018.353,1034.315,1019.45,1022.787,79,4.434,2434412751,1341746768791,158127,722725336633852
2021-02-05,1016.118,1024.794,1010.46,1018.353,79,2.235,2146603046,1213124431101,129470,719592017896415
2021-02-04,1006.456,1029.272,1008.575,1016.118,79,9.662,2042092835,1422004915546,138099,718012835453603
2021-02-03,1013.57,1023.63,1000.817,1006.456,79,-7.114,2288347979,1734969401783,137883,711185620900335
2021-02-02,1011.894,1029.165,1005.849,1013.57,79,1.676,2762489264,1627209080881,156314,716212705729269
2021-02-01,964.052,1011.894,946.176,1011.894,79,47.842,3195133564,2032954787488,169007,715027873246895
2021-01-29,985.221,997.134,955.143,964.052,79,-21.169,3885848881,2167334735351,138082,681220285374005
2021-01-28,1025.587,1015.868,982.412,985.221,79,-40.366,3235903072,1866496002553,158424,696178735516520
2021-01-27,1007.24,1028.596,994.277,1025.587,79,18.347,3530973651,2066665675928,154458,724701928830307
2021-01-26,1034.315,1040.926,1004.828,1007.24,79,-27.075,3819396014,1954765408600,165804,711737785361572
2021-01-25,1046.978,1047.005,1016.672,1034.315,79,-12.663,3436337631,1634146906372,139119,730869646553433
2021-01-22,1077.342,1072.531,1040.947,1046.978,79,-30.364,2851393674,2119712899168,165389,739817716114360
2021-01-21,1067.131,1084.454,1067.4,1077.342,79,10.211,3882045866,2539346356330,207776,761273560931633
2021-01-20,1050.098,1068.517,1040.795,1067.131,79,17.033,3037843382,1878137920477,169654,754057767564349
2021-01-19,1056.693,1072.225,1037.576,1050.098,79,-6.595,3561438865,2428015988650,213249,742021225972330
2021-01-18,1056.764,1072.376,1048.664,1056.693,79,-0.071,3763928449,2988736005270,221207,746476786474648
2021-01-15,1058.407,1067.781,1045.492,1056.764,79,-1.643,4023967311,4036972797228,197319,746526155003483
2021-01-14,1050.711,1065.482,1048.152,1058.407,79,7.696,6063326660,3855301849206,259400,747678081461365
2021-01-13,1042.727,1054.362,1040.962,1050.711,79,7.984,5198337677,2147521220859,175384,742240749656351
2021-01-12,1056.181,1061.352,1039.954,1042.727,79,-13.454,3062821999,1920785480466,159551,736600166938167
2021-01-11,1050.6,1063.744,1050.221,1056.181,79,5.581,3741311744,2484661171765,191207,746102239682057
2021-01-08,1018.404,1060.008,1029.562,1050.6,79,32.196,3873906055,3759662546576,229491,742157699575685
2021-01-07,1009.143,1028.815,1012.635,1018.404,79,9.261,3263683990,1957177843722,182689,719413760222829
2021-01-06,1030.632,1036.37,997.927,1009.143,79,-21.489,3722252664,2263471843880,218763,712871086780813
2021-01-05,1037.362,1036.759,1023.72,1030.632,79,-6.73,3406959729,2644314006417,204289,728050230130223
2021-01-04,1001.019,1037.713,993.232,1037.362,79,36.343,3995937955,2878149207369,211156,732803173261708
2020-12-30,1026.564,1026.746,999.048,1001.019,79,-25.545,3728855646,2094076485045,190813,707129927929495
2020-12-29,1030.079,1057.072,1021.264,1026.564,79,-3.515,3350690490,2668635009589,209749,725175032698022
2020-12-28,1008.759,1033.972,999.442,1030.079,79,21.32,3665990853,2214998089185,187632,727658162027398
2020-12-23,1012.709,1033.731,981.403,1008.759,79,-3.95,4579021586,2974761004283,231769,712597025262432
2020-12-22,1053.15,1056.233,1008.889,1012.709,79,-40.441,4652071477,3359365087136,272811,715387390216836
2020-12-21,1030.378,1066.137,1034.372,1053.15,79,22.772,4607225295,3809618745900,284356,743954893398539
2020-12-18,1028.887,1032.511,1022.025,1030.378,79,1.491,4775481261,2627323726204,227455,727868377774642
2020-12-17,1043.692,1050.699,1023.324,1028.887,79,-14.805,4719845530,3002005857980,260291,726815708747598
2020-12-16,1007.766,1050.062,1015.99,1043.692,79,35.926,14014533162,5149332739325,346472,737273618294355
2020-12-15,987.519,1013.152,977.015,1007.766,79,20.247,5675530597,4118335292470,291622,711892269017093
2020-12-14,974.536,990.495,969.976,987.519,79,12.983,9116743294,3665510850521,246363,697189351250546
2020-12-11,976.542,983.245,970.453,974.536,79,-2.006,4538933545,2505926962886,179618,688023595239234
2020-12-10,983.983,987.337,972.785,976.542,79,-7.441,8425533952,2833799261002,244884,689439868183319
2020-12-08,980.616,989.564,973.344,983.983,79,3.367,11965147963,3299343013270,274636,694693309406826
2020-12-07,963.016,980.616,966.602,980.616,79,17.6,4771532971,1923426094566,174088,692316288254361
2020-12-04,968.238,966.999,954.242,963.016,79,-5.222,3119743308,1792537939829,163525,679890373060810
2020-12-03,969.573,978.43,960.474,968.238,79,-1.335,8624368203,2543876473512,165352,683576820133805
2020-12-02,949.413,969.597,950.575,969.573,79,20.16,3307979244,2277986091559,169726,684358972707741
