Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-03-26,1847.068,1850.89,1807.499,1811.472,262,-35.596,14355626564,11089006923104,981627,9612075107275510
2026-03-25,1790.12,1847.068,1781.604,1847.068,262,56.948,23817418420,22573814244354,1321001,9799006324937280
2026-03-24,1770.976,1800.784,1775.491,1790.12,262,19.144,18366180178,19305662121278,844948,9531849933663900
2026-03-17,1770.976,1800.784,1775.491,1790.12,262,19.144,18366180178,19305662121278,844948,9531849933663900
2026-03-16,1802.918,1797.612,1741.615,1770.976,262,-31.942,18663054733,11529500640015,972782,9438059593089480
2026-03-13,1859.032,1855.917,1801.479,1802.918,262,-56.114,14746689748,11325206804087,907058,9653720828869260
2026-03-12,1866.923,1877.672,1850.926,1859.032,262,-7.891,13143969598,10787298343902,876596,9989312947634570
2026-03-11,1883.51,1906.762,1866.347,1866.923,262,-16.587,14763650461,11667223651405,1011502,10070067242160000
2026-03-10,1853.317,1896.302,1864.203,1883.51,262,30.193,17512489417,14793507189208,1200970,10170255690703000
2026-03-09,1916.801,1868.939,1803.996,1853.317,262,-63.484,25544344620,18498880935703,1523618,10015195383858100
2026-03-06,1956.444,1954.043,1897.991,1916.801,262,-39.643,17609206748,13707904438920,1129049,10385581974149500
2026-03-05,1921.858,1971.349,1945.761,1956.444,262,34.586,14215924513,13087813750110,1070745,10533476420236000
2026-03-04,2011.085,2001.583,1896.364,1921.858,262,-89.227,27881218808,23589023382166,2005707,10377790419378100
2026-03-03,2032.741,2054.592,2009.862,2011.085,262,-21.656,19772753293,23231909280322,1620808,10851997023560800
2026-03-02,2081.791,2057.401,2029.403,2032.741,262,-49.05,24305790834,21809659009125,1956115,10987610868573600
2026-02-27,2083.471,2083.098,2048.009,2081.791,254,-1.68,24542103772,32252504462333,1207465,11285723941637800
2026-02-26,2100.152,2109.637,2058.708,2083.471,254,-16.681,19894467572,19152852273705,1366811,11235811215235300
2026-02-25,2091.19,2116.81,2088.722,2100.152,254,8.962,20787108508,20073981179414,1198181,11327048617767600
2026-02-24,2117.38,2127.832,2085.429,2091.19,254,-26.19,24522236338,20140189649432,1486104,11306404971855800
2026-02-23,2086.949,2117.38,2101.216,2117.38,255,30.431,18621375443,14113874317661,1235457,11500905037921400
2026-02-20,2088.483,2103.373,2081.159,2086.949,255,-1.534,17493706123,13519382024534,1163909,11363299287695100
2026-02-19,2096.595,2112.082,2083.554,2088.483,255,-8.112,26212350772,18827720125862,1530679,11391159562759000
2026-02-18,2078.867,2098.616,2082.078,2096.595,255,17.728,25753218895,17765598947687,1435355,11443094534532000
2026-02-13,2095.614,2090.044,2069.969,2078.867,255,-16.747,25286516185,18811782984894,1350026,11316337790884200
2026-02-12,2099.492,2109.633,2083.25,2095.614,256,-3.878,20287867793,18228785474489,1517452,11424253381849500
2026-02-11,2059.704,2099.492,2060.367,2099.492,256,39.788,33079075215,22226581868593,1624970,11474820544392100
2026-02-10,2037.494,2061.198,2032.337,2059.704,256,22.21,27653469000,15610295213608,1202782,11216267183033900
2026-02-09,2017.075,2037.494,1999.493,2037.494,256,20.419,17475635812,12972540250680,1018283,11093336257942500
2026-02-06,2051.237,2035.85,1997.418,2017.075,256,-34.162,17712500551,15468051355498,1154991,10957841157685600
2026-02-05,2059.75,2079.928,2050.876,2051.237,256,-8.513,15821438262,15161866491257,1271500,11179846549217500
2026-02-04,2041.892,2067.366,2032.609,2059.75,256,17.858,22690441688,18553048530181,1486623,11267827883898700
2026-02-03,1994.588,2041.892,1951.883,2041.892,256,47.304,31339430957,21158912753782,1688817,11206946178250600
2026-02-02,2081.668,2085.379,1967.146,1994.588,256,-87.08,32214183513,24773345530925,1865038,10999621304581100
2026-01-30,2045.262,2096.327,2033.409,2081.668,256,36.406,30916266679,30462367023821,1983946,11582071042173600
2026-01-29,2052.803,2062.681,1839.911,2045.262,256,-7.541,70773384202,58374636045789,3388121,11421532379981300
2026-01-28,2220.033,2125.011,2016.874,2052.803,256,-167.23,36709357141,38969120960057,2508229,11473681615829000
2026-01-27,2226.738,2228.065,2197.411,2220.033,256,-6.705,32453786018,21205019195552,1660987,12489660431611800
2026-01-26,2215.318,2242.032,2213.043,2226.738,256,11.42,29435415272,26404451009338,2071360,12474685753798600
2026-01-23,2225.926,2238.211,2191.048,2215.318,256,-10.608,37563100750,23801476819221,1756593,12396374067207200
2026-01-22,2221.752,2251.843,2224.316,2225.926,256,4.174,41172107884,26881060544950,2166323,12457314389537700
2026-01-21,2254.036,2248.56,2213.731,2221.752,256,-32.284,29729335410,25511129495719,1962390,12426830558589200
2026-01-20,2267.001,2273.566,2254.036,2254.036,257,-12.965,26364463077,19864827341898,1651625,12615813930897100
2026-01-19,2254.341,2267.001,2240.092,2267.001,257,12.66,43528488496,26675321750428,1771709,12727252958920700
2026-01-15,2243.834,2259.278,2242.437,2254.341,257,10.507,22232206784,20138612662410,1682557,12644715232690600
2026-01-14,2224.886,2248.659,2233.771,2243.834,257,18.948,38940825534,21475040061263,1922758,12597743063608300
2026-01-13,2207.223,2226.553,2199.688,2224.886,257,17.663,39577978864,26766713486181,2322638,12442415309238600
2026-01-12,2216.681,2234.338,2162.209,2207.223,258,-9.458,40577626410,28512001089361,2765828,12359191048937800
2026-01-09,2218.741,2233.327,2210.327,2216.681,258,-2.06,24805586519,18236593042009,1666452,12489700966525500
2026-01-08,2228.139,2246.5,2218.741,2218.741,258,-9.398,20953611315,20750318259920,1779660,12525894966173500
2026-01-07,2218.309,2231.705,2218.999,2228.139,258,9.83,27872660350,25788347262251,2216401,12535105014208500
2026-01-06,2204.224,2221.279,2193.945,2218.309,258,14.085,29643736270,23793668463806,2201819,12488564276831200
