Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2026-05-29,276.775,276.671,269.749,269.749,36,-7.026,9518045330,23336221939030,617321,3461072623505710
2026-05-26,282.302,282.359,276.491,276.775,36,-5.527,4855033093,7245550475687,414558,3543505145280600
2026-05-25,277.358,284.499,276.843,282.302,36,4.944,6815414099,8027761020155,479807,3617372238920020
2026-05-22,274.535,278.576,269.032,277.358,36,2.823,10479855414,8657701551293,498562,3552143399102370
2026-05-21,281.909,285.102,274.096,274.535,36,-7.374,10016767430,7972820918727,482701,3519338352431320
2026-05-20,281.94,288.274,279.37,281.909,36,-0.031,13690496423,9872153658795,582614,3599410658933870
2026-05-19,287.376,291.976,280.778,281.94,36,-5.436,13340566141,11306863494051,617366,3600046834156330
2026-05-18,289.533,287.376,279.524,287.376,36,-2.157,5883610712,9263862497706,603857,3670888796975250
2026-05-13,292.534,291.647,288.512,289.533,36,-3.001,4266191433,5568730132143,378104,3704181557292970
2026-05-12,293.749,295.528,288.021,292.534,36,-1.215,3515055091,5147413518751,391845,3739562109787540
2026-05-11,297.303,296.59,290.87,293.749,36,-3.554,6726105051,7723358595736,546147,3755204750063240
2026-05-08,304.347,305.637,297.303,297.303,36,-7.044,14160080367,22257668649819,576696,3797890665239720
2026-05-07,296.45,304.529,299.69,304.347,36,7.897,4618414036,8706281850573,418590,3889437621600120
2026-05-06,295.028,298.022,295.178,296.45,36,1.422,3320504574,5277792528667,340530,3784820809531680
2026-05-05,294.361,298.108,292.325,295.028,36,0.667,3540380363,6047487183600,370880,3767487194158730
2026-05-04,291.269,296.208,292.677,294.361,36,3.092,5339988346,7438191709312,413548,3760005281339100
2026-04-30,297.531,297.597,289.65,291.269,36,-6.262,3063592764,9853826600372,523720,3752664618666020
2026-04-29,297.309,299.763,296.282,297.531,36,0.222,1824433837,5300756066050,337512,3833061393362880
2026-04-28,298.14,299.955,295.034,297.309,36,-0.831,2110713386,6762334521629,357038,3833656825985880
2026-04-27,300.787,302.63,297.907,298.14,36,-2.647,2258915455,6926375503775,461869,3848099973318450
2026-04-24,310.145,310.174,299.973,300.787,36,-9.358,2897284780,8922290971264,565636,3879990740238920
2026-04-23,316.044,317.536,309.994,310.145,36,-5.899,2390254977,6388920022726,460581,4008569380299600
2026-04-22,314.584,317.391,314.572,316.044,36,1.46,2010799770,6024924771632,362121,4075486717617750
2026-04-21,315.721,315.059,312.742,314.584,36,-1.137,2105614312,5958385710379,442437,4063903656151460
2026-04-20,315.736,319.267,314.742,315.721,36,-0.015,2334300613,5894450811772,412180,4067917113962740
2026-04-17,315.894,318.025,315.231,315.736,36,-0.158,1859882401,5109934373110,319229,4072725742497590
2026-04-16,316.661,320.078,314.732,315.894,36,-0.767,2046449631,6040820371591,411515,4080401455742920
2026-04-15,319.408,323.387,316.102,316.661,36,-2.747,2494765415,6635908668935,499670,4094047306735140
2026-04-14,314.909,321.162,317.52,319.408,36,4.499,2543010718,6555388472415,450572,4139845129793270
2026-04-13,315.38,316.939,311.024,314.909,36,-0.471,2720723707,6248103747895,409127,4072157462870490
2026-04-10,309.215,316.642,310.454,315.38,36,6.165,2237789814,6120622253283,347241,4075661507383650
2026-04-09,312.614,311.052,307.749,309.215,36,-3.399,2440926475,6677467496265,450550,3994118556102660
2026-04-08,298.793,313.128,306.409,312.614,36,13.821,3288913896,8161065011855,480698,4037190496692410
2026-04-07,302.883,303.366,297.656,298.793,36,-4.09,1859451439,4847972701431,388495,3862362998852560
2026-04-06,302.469,304.128,300.887,302.883,36,0.414,1451581661,3141160311121,303255,3904208581196660
2026-04-02,306.021,306.939,301.451,302.469,36,-3.552,1822340142,4489237101095,371820,3900812855260240
2026-04-01,301.615,308.806,304.724,306.021,36,4.406,2093211982,6063203628400,397151,3939884562095710
2026-03-31,301.927,305.792,300.663,301.615,36,-0.312,2650788426,6840070683233,414027,3885728143906360
2026-03-30,303.098,303.124,296.919,301.927,36,-1.171,3001376917,7138106120023,436849,3885226849736520
2026-03-27,308.105,307.162,302.835,303.098,36,-5.007,1818816977,5716815471202,365371,3910420743323470
2026-03-26,314.558,315.066,307.441,308.105,36,-6.453,2036492387,5708483901204,407465,3971747866435460
2026-03-25,304.238,314.558,303.668,314.558,36,10.32,3669086076,11299705230158,583313,4044418319137720
2026-03-17,300.316,305.863,302.389,304.238,36,3.922,4152358572,8813431714917,364034,3928143011369980
2026-03-16,304.793,303.938,296.11,300.316,36,-4.477,2650133811,6059537904056,426107,3880284249854290
2026-03-13,312.043,312.196,303.96,304.793,36,-7.25,1722271838,5093380393780,372775,3936241874757470
2026-03-12,311.313,314.857,309.64,312.043,36,0.73,1751589235,5012762714456,342854,4026836101923900
2026-03-11,313.791,316.445,310.355,311.313,36,-2.478,1751957852,4992154756650,348386,4015488355324500
2026-03-10,310.143,316.738,311.873,313.791,36,3.648,2444547316,7016090643120,469219,4049767362517240
2026-03-09,320.443,312.39,304.727,310.143,36,-10.3,3044297964,8527215495551,616253,4001433312487090
2026-03-06,328.314,327.757,319.091,320.443,36,-7.871,2490751595,6060880507024,389933,4127485199846100
2026-03-05,321.073,330.167,325.778,328.314,36,7.241,2161417094,6160279336443,367914,4216317191320480
2026-03-04,335.272,334.355,317.14,321.073,36,-14.199,3793208965,11379289731861,824038,4122590095017580
2026-03-03,337.762,341.839,334.542,335.272,36,-2.49,2209697230,6743908121774,525657,4296150598211350
2026-03-02,344.314,341.823,337.379,337.762,36,-6.552,3110889976,9169908201529,685995,4324601216081200
2026-02-27,346.312,345.61,341.422,344.314,36,-1.998,3070587383,10838948651425,369585,4419564154149550
2026-02-26,348.236,349.375,341.282,346.312,36,-1.924,2267709682,7349038869331,428776,4439391568213070
2026-02-25,344.29,349.455,344.753,348.236,36,3.946,2598346317,7933861120377,385121,4472097676034670
2026-02-24,346.91,348.149,342.934,344.29,36,-2.62,2523133818,8206999178919,469564,4418710239368060
2026-02-23,340.893,346.91,342.998,346.91,36,6.017,2140656213,6562469316068,420193,4457255019534060
2026-02-20,339.655,343.082,339.154,340.893,36,1.238,1950634462,5760362626298,381592,4381970640363100
2026-02-19,342.342,344.484,339.239,339.655,36,-2.687,2108453182,6605122736079,455360,4369660947171370
2026-02-18,338.804,342.564,338.652,342.342,36,3.538,1866561192,6336389145410,365928,4410043501743480
2026-02-13,341.722,340.742,337.245,338.804,36,-2.918,2473544784,8880311208843,446592,4365746672873140
2026-02-12,341.651,343.684,340.139,341.722,36,0.071,2126911708,7112652793892,464273,4406701251119940
2026-02-11,337.351,341.651,335.33,341.651,36,4.3,2778463987,8011430775345,447094,4414720181375980
2026-02-10,333.749,337.548,332.861,337.351,36,3.602,1945535369,5929643892843,344245,4361866761820580
2026-02-09,333.254,336.067,329.262,333.749,36,0.495,2089905028,6623975374361,374193,4323070280366720
2026-02-06,338.635,336.733,330.23,333.254,36,-5.381,2425289165,8660064460138,449785,4321747474574420
2026-02-05,339.042,342.688,338.635,338.635,36,-0.407,2398079995,8232645462513,483047,4391831193851690
2026-02-04,335.33,340.287,335.409,339.042,36,3.712,2856720516,9364027111826,523135,4398769289047680
2026-02-03,329.073,335.457,322.458,335.33,36,6.257,3173740030,8741226675434,507289,4337362503540760
2026-02-02,336.673,339.051,323.836,329.073,36,-7.6,3641335668,12047161764141,674127,4262375547051160
2026-01-30,329.815,341.125,329.024,336.673,36,6.858,4440149815,15902269143463,698735,4337241968744030
2026-01-29,328.393,331.527,296.173,329.815,36,1.422,10158382478,33375381061430,1484550,4242639027909210
2026-01-28,351.029,342.014,322.354,328.393,36,-22.636,6858071338,25306670023582,1176691,4229038828383820
2026-01-27,356.042,354.899,347.855,351.029,36,-5.013,2932240027,10388938689655,584181,4517354002859160
2026-01-26,354.326,357.409,352.947,356.042,36,1.716,3844836395,11509325294321,651706,4577862232424920
2026-01-23,353.005,355.303,349.284,354.326,36,1.321,2331668973,7640846091343,396187,4558118624395000
2026-01-22,351.699,356.404,351.379,353.005,36,1.306,2845236148,10074303047478,529161,4547840342024400
2026-01-21,358.882,356.897,349.45,351.699,36,-7.183,3833391117,12932173569681,707974,4541591465334270
2026-01-20,358.785,360.682,356.447,358.882,36,0.097,2543421022,6801322853691,456400,4636381305744960
2026-01-19,355.091,358.835,353.907,358.785,36,3.694,2606428480,8974342768695,528447,4642879046728020
2026-01-15,352.55,357.372,353.382,355.091,36,2.541,2914059532,9270505383513,508017,4597306223795060
2026-01-14,352.058,354.288,350.92,352.55,36,0.492,2686334763,7673264577666,532620,4562181928496660
2026-01-13,347.905,352.398,349.308,352.058,36,4.153,5431014800,9514066047079,555908,4556500470935850
2026-01-12,346.236,350.45,342.585,347.905,36,1.669,5272706806,9417281810796,728127,4514286436030920
2026-01-09,346.885,349.604,345.106,346.236,36,-0.649,1784182244,5336857573237,360422,4508998995980210
2026-01-08,349.344,351.369,346.885,346.885,36,-2.459,2335513928,7333359534361,453290,4509897130664560
2026-01-07,349.657,351.368,347.552,349.344,36,-0.313,3286311400,10285934076219,594653,4545249782660060
2026-01-06,349.936,350.862,346.386,349.657,36,-0.279,2499932270,7292231678318,509992,4550478603401180
2026-01-05,345.232,350.1,344.656,349.936,36,4.704,2724748607,6657386642529,487280,4549130764472540
2026-01-02,344.633,346.239,343.569,345.232,36,0.599,1704510312,4279799707107,352375,4496604460501450
2025-12-30,346.122,346.444,342.572,344.633,36,-1.489,2128095036,5554229640792,344664,4499398345761630
2025-12-29,342.568,346.738,343.803,346.122,36,3.554,1987858464,5261688179629,327433,4511107414940620
2025-12-24,344.056,345.295,342.258,342.568,36,-1.488,1582708702,3915746147424,290750,4467549870723220
2025-12-23,346.967,347.08,343.103,344.056,36,-2.911,1531078996,4322483884163,302490,4486479531909240
2025-12-22,344.935,347.328,344.618,346.967,36,2.032,1957419589,5196690979398,330821,4527078732435660
2025-12-19,346.007,348.733,343.593,344.935,36,-1.072,2764469915,8372916599905,327246,4499919388184590
2025-12-18,344.776,348.111,345.588,346.007,36,1.231,2010813292,5783625285302,357328,4518608928188660
2025-12-17,344.559,347.272,344.11,344.776,36,0.217,2257513712,5934889510439,346040,4492365065283440
2025-12-16,346.701,348.269,341.99,344.559,36,-2.142,2433284069,6794290624711,381379,4497478757039380
2025-12-15,343.818,348.443,342.281,346.701,36,2.883,4277425141,9973732522894,639269,4536483765735620
2025-12-12,339.509,343.818,337.833,343.818,36,4.309,4380327895,8180496521926,518018,4482697646041400
2025-12-11,344.29,347.346,336.015,339.509,36,-4.781,2707041473,7179581237252,475031,4436225006128100
2025-12-10,341.114,344.54,341.669,344.29,36,3.176,2736155099,6946871371335,397710,4495873804462390
2025-12-09,344.746,346.264,339.286,341.114,36,-3.632,1965564894,5580370260571,393334,4459249132452360
2025-12-08,344.686,347.01,343.133,344.746,36,0.06,1980304946,5355289833639,350357,4509803773496520
2025-12-05,344.646,345.949,343.616,344.686,36,0.04,1383664184,3957255431869,239129,4510618168450940
2025-12-04,342.54,344.646,342.234,344.646,36,2.106,1388042489,4160932785628,294842,4507473653469070
2025-12-03,343.629,344.818,342.54,342.54,36,-1.089,1876629134,4898942846342,318439,4490048798687600
2025-12-02,343.224,345.909,342.26,343.629,36,0.405,2733375612,6505700619883,426572,4507369899619120
2025-12-01,341.01,343.554,341.106,343.224,36,2.214,2538234845,6108004536457,363034,4501230943398900
2025-11-28,343.714,344.772,340.421,341.01,36,-2.704,1850264780,5449200209876,331051,4479564764187700
2025-11-27,348.277,349.051,342.653,343.714,36,-4.563,1766998656,5248082993316,394990,4511309089823200
2025-11-26,346.385,348.277,343.844,348.277,36,1.892,2320067487,6083618294860,368481,4562335022351670
2025-11-25,350.201,350.632,344.511,346.385,36,-3.816,6531641373,10975444314910,436383,4545851631673120
2025-11-24,344.852,350.201,344.766,350.201,36,5.349,11084327445,19914193222917,462593,4585380498472040
2025-11-21,346.595,346.249,342.15,344.852,36,-1.743,2005341265,5278751885624,308776,4530370225023160
2025-11-20,346.832,350.511,346.588,346.595,36,-0.237,1981914493,6365500421690,305196,4550254863649360
2025-11-19,344.937,347.512,345.27,346.832,36,1.895,2433696126,6160720356655,281147,4555342357781780
2025-11-18,347.702,349.428,343.874,344.937,36,-2.765,2311482085,6511377866287,406435,4534619996043840
2025-11-17,345.597,349.111,346.253,347.702,36,2.105,2356542642,6667761424353,384607,4578272454433520
2025-11-14,344.386,347.072,343.707,345.597,36,1.211,1717819588,4891468877370,307644,4546658814777780
2025-11-13,347.411,348.059,344.146,344.386,36,-3.025,2013698863,5216608938370,353576,4531544151979510
2025-11-12,344.344,348.676,344.713,347.411,36,3.067,1981861575,6005213421444,373113,4573298403785030
2025-11-11,345.157,347.997,342.847,344.344,36,-0.813,2907961234,6619429573915,443990,4529282863751200
2025-11-10,346.892,349.363,345.157,345.157,36,-1.735,1977134262,5215096366391,365076,4553353034790180
2025-11-07,345.779,347.56,345.281,346.892,36,1.113,1750915378,4339937679799,297935,4580700761511580
2025-11-06,348.127,348.59,345.126,345.779,36,-2.348,2834212165,5583545056239,449075,4560323868540180
2025-11-05,344.713,348.127,341.986,348.127,36,3.414,3032143143,7218714684440,434879,4596265696695680
2025-11-04,346.729,348.901,344.467,344.713,36,-2.016,2893534782,8348022389823,511278,4551274627007800
2025-11-03,340.282,347.307,342.173,346.729,36,6.447,2437460654,6341493381894,428382,4583540586119000
2025-10-31,342.85,343.848,339.645,340.282,36,-2.568,2795255156,8548432710571,432088,4573955796384280
2025-10-30,343.704,347.001,341.782,342.85,36,-0.854,3095890995,9668796339947,513560,4602934107167040
2025-10-29,337.412,343.704,335.551,343.704,36,6.292,4361565197,12858267033749,505195,4615724407149300
2025-10-28,337.095,339.377,334.713,337.412,36,0.317,2625142028,8123613591257,439485,4518104781724340
2025-10-27,338.34,342.969,330.616,337.095,36,-1.245,3590820950,9874604867272,534819,4511697742613800
2025-10-24,338.195,342.095,338.227,338.34,36,0.145,4621732531,10449835059676,436559,4533192872102510
2025-10-23,330.267,339.107,330.449,338.195,36,7.928,2450946399,7657253540926,389218,4541983398793610
2025-10-22,335.764,337.787,329.893,330.267,36,-5.497,3236614467,10625329064580,502694,4450060508104660
2025-10-21,325.973,336.048,329.789,335.764,36,9.791,3080801099,10966970696934,503761,4532551652986160
2025-10-20,315.952,328.292,318.887,325.973,36,10.021,3420260252,10859766670486,562320,4394105193401500
2025-10-17,319.845,321.269,313.812,315.952,36,-3.893,2740596203,7836116694480,432660,4256439392271520
2025-10-16,318.336,322.332,317.086,319.845,36,1.509,2424516528,6556522824717,373238,4295181996534880
2025-10-15,318.131,322.08,313.105,318.336,36,0.205,3839860713,9939725732652,499987,4267552628081340
