Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2025-01-31,245.441,247.222,245.113,245.973,25,0.532,1177171667,645133820880,71142,381952706873357
2025-01-30,250.019,250.402,243.249,245.441,25,-4.578,1984474067,1039301888593,112508,381975406510587
2025-01-24,250.801,252.026,248.999,250.019,25,-0.782,880823280,816954492977,85874,387595673383931
2025-01-23,252.796,255.901,249.874,250.801,25,-1.995,1278298557,1161406898075,118119,389190330938283
2025-01-22,253.914,255.621,252.393,252.796,25,-1.118,1280283487,1003239676373,100703,391106912664595
2025-01-21,254.144,259.233,253.462,253.914,25,-0.23,1668943021,1559709128461,141260,394139913290555
2025-01-20,252.787,254.987,252.516,254.144,25,1.357,1153614390,1073862901320,112438,395014369440779
2025-01-17,252.666,254.572,250.722,252.787,25,0.121,1212206256,795242590707,85020,391868873813602
2025-01-16,253.996,256.835,252.636,252.666,25,-1.33,1374705700,839573693818,96835,390705900277368
2025-01-15,254.988,255.666,253.403,253.996,25,-0.992,1963454552,945814797088,129720,390542965358266
2025-01-14,251.561,254.988,251.356,254.988,25,3.427,1925624625,1055387914566,111062,392238233914615
2025-01-13,253.296,256.935,250.116,251.561,25,-1.735,1836576740,1399873577625,137747,387054043972244
2025-01-10,246.257,253.829,247.237,253.296,25,7.039,1536368117,958874752500,88742,389439733570155
2025-01-09,247.614,251.187,245.396,246.257,25,-1.357,1505217285,1111877565010,109582,378577155140740
2025-01-08,251.317,252.533,247.176,247.614,25,-3.703,1354537234,872030203444,90636,381342114750819
2025-01-07,250.658,253.335,249.922,251.317,25,0.659,1182828622,663758123564,68816,387011013982896
2025-01-06,253.198,255.297,250.034,250.658,25,-2.54,2048477569,904878330302,77873,385657788564185
2025-01-03,250.358,254.306,249.699,253.198,25,2.84,1995139958,1119750929333,111576,389213659539751
2025-01-02,246.045,250.358,243.968,250.358,25,4.313,2044812501,1001690269493,82693,386762365573301
2024-12-30,242.005,246.045,240.378,246.045,25,4.04,1667645298,757718280001,61383,381531157613600
2024-12-27,239.34,243.675,239.787,242.005,25,2.665,1651942496,710451674406,52684,374616360736794
2024-12-24,241.416,242.702,239.34,239.34,25,-2.076,1052542189,465038097064,50251,369934789320254
2024-12-23,237.093,241.455,238.916,241.416,25,4.323,1267785442,760919389789,62067,372500921569817
2024-12-20,235.841,238.87,235.301,237.093,25,1.252,1577585485,795309737009,55890,366496993593662
