Date,Previous,Highest,Lowest,Close,Constituent,Change,Volume,Value,Frequency,Capitalization
2021-04-30,353.002,354.766,350.606,351.542,97,-1.46,2667467502,542589723012,68707,338212867202493
2021-04-29,350.48,353.454,349.331,353.002,97,2.522,2841458417,833240703560,86099,339617130480596
2021-04-28,350.455,351.751,348.697,350.48,97,0.025,4003459535,989136205000,84308,337190413940643
2021-04-27,348.07,350.565,346.784,350.455,97,2.385,2973737682,852579907862,79474,337166329302334
2021-04-26,345.484,348.642,344.851,348.07,97,2.586,3107796535,874320366647,92950,334871904370408
2021-04-23,346.565,348.154,345.102,345.484,97,-1.081,2177230719,693802595097,83067,332384230024929
2021-04-22,347.776,349.815,344.219,346.565,97,-1.211,1505356050,519688608876,58770,333424336897758
2021-04-21,348.74,348.832,344.933,347.776,97,-0.964,1899410471,606692499723,63225,334589205225771
2021-04-20,349.157,351.42,347.273,348.74,97,-0.417,1354321696,411828253474,71441,335516336854645
2021-04-19,346.451,349.706,345.161,349.157,97,2.706,2786045599,572342706960,78200,335917958698277
2021-04-16,348.96,351.329,346.171,346.451,97,-2.509,1368078639,304847314927,62956,333314616672337
2021-04-15,348.109,349.944,346.533,348.96,97,0.851,807384723,280030417131,57136,335727832443709
2021-04-14,343.415,349.137,343.351,348.109,97,4.694,1218242929,448348894790,75607,334909632629620
2021-04-13,347.607,348.031,340.796,343.415,97,-4.192,3018148776,609007905006,81150,330393150687631
2021-04-12,360.037,360.522,347.607,347.607,97,-12.43,994889976,441447045721,82473,334426458548718
2021-04-09,363.376,365.839,359.776,360.037,97,-3.339,1885788845,624230212529,82359,346385490477171
2021-04-08,358.764,364.019,357.232,363.376,97,4.612,1605155095,392560805189,82103,349597648087586
2021-04-07,359.412,360.559,354.389,358.764,97,-0.648,1225748838,469661028353,82047,345160755559870
2021-04-06,355.781,359.91,350.044,359.412,97,3.631,1346256481,710106468345,90744,345783761751932
2021-04-05,361.195,362.855,353.788,355.781,97,-5.414,1207333974,431496332477,82597,342290409706449
2021-04-01,363.217,366.55,358.643,361.195,97,-2.022,1027249135,365000227476,75629,347498950197687
2021-03-31,365.395,364.307,354.517,363.217,97,-2.178,1609947732,751345607818,104116,349444546227458
2021-03-30,374.944,374.48,363.457,365.395,97,-9.549,1755550062,820048541104,115230,351539975224856
2021-03-29,380.24,382.633,373.931,374.944,97,-5.296,2188617339,611311384828,116234,360726569793490
2021-03-26,374.92,380.24,372.697,380.24,97,5.32,1044063839,474343000220,82604,365822035623135
2021-03-25,379.673,381.282,370.904,374.92,97,-4.753,1512050165,560601267877,110644,360703692469824
2021-03-24,381.697,383.568,377.82,379.673,97,-2.024,2437398382,598179518380,104612,365276559221666
2021-03-23,386.954,389.111,381.68,381.697,97,-5.257,1056325010,411134701473,90212,367223721929292
2021-03-22,391.604,393.811,386.135,386.954,97,-4.65,1766708411,465764621324,111958,372281485938522
2021-03-19,397.685,398.121,390.234,391.604,97,-6.081,1082662589,401431069424,66155,376755376999801
2021-03-18,399.875,403.174,396.302,397.685,97,-2.19,958281533,473484328345,69616,382605908590502
2021-03-17,401.769,405.406,398.957,399.875,97,-1.894,1401433030,825880548961,96892,384712784666381
2021-03-16,401.872,404.953,399.278,401.769,97,-0.103,1338025310,520665611310,94136,386534444150398
2021-03-15,404.061,407.338,400.354,401.872,97,-2.189,1422612529,558612219007,92846,386634176452738
2021-03-12,391.437,405.227,392.553,404.061,97,12.624,2276580325,885343771942,131341,388739600774801
2021-03-10,387.205,394.071,386.643,391.437,97,4.232,1903903364,829773503346,121145,376594973530783
2021-03-09,390.604,393.608,385.718,387.205,97,-3.399,1241223039,557409197920,90614,372522718875910
2021-03-08,389.797,394.075,387.043,390.604,97,0.807,2533920391,589451368758,103454,375793492303364
2021-03-05,393.982,395.852,388.549,389.797,97,-4.185,2482566611,723848891180,109660,375017188013878
