Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-29,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3500.0,3650.0,3650.0,3000.0,3500.0,0.0,7600,24704000,42,799.1,3500,1500,3360,100,620806680,620806680,81325675,0,1600,0,0,0
2026-05-26,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3220.0,0.0,3650.0,3350.0,3500.0,280.0,10200,36054000,38,799.1,3500,2100,3250,100,620806680,620806680,81325675,0,1000,0,0,0
2026-05-22,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3500.0,0.0,3600.0,3000.0,3350.0,-150.0,1600,5269000,15,764.8,3300,400,3160,100,620806680,620806680,81325675,0,0,0,0,0
2026-05-21,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3500.0,0.0,3720.0,3500.0,3500.0,0.0,3600,12986000,21,799.1,3600,1200,3050,100,620806680,620806680,81325675,0,0,0,0,0
2026-05-20,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3720.0,3720.0,3720.0,3260.0,3500.0,-220.0,4800,17186000,21,799.1,3660,400,3500,10800,620806680,620806680,81325675,0,0,0,0,0
2026-05-19,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3660.0,3660.0,4110.0,3500.0,3720.0,60.0,20500,75344000,92,849.3,3730,800,3720,1800,620806680,620806680,81325675,0,0,0,0,0
2026-05-18,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3410.0,0.0,4090.0,3500.0,3660.0,250.0,37300,143197000,165,835.6,3700,7300,3600,800,620806680,620806680,81325675,0,0,0,0,0
2026-05-13,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3340.0,0.0,3830.0,3310.0,3410.0,70.0,16500,58140000,91,778.5,3390,400,3200,100,620806680,620806680,81325675,0,0,0,0,0
2026-05-12,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3340.0,3340.0,4000.0,2840.0,3340.0,0.0,25200,88436000,131,762.5,3350,400,3320,100,620806680,620806680,81325675,0,0,0,0,0
2026-05-11,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3590.0,3600.0,3600.0,3340.0,3340.0,-250.0,5600,19961000,26,762.5,3550,1900,3340,800,620806680,620806680,81325675,0,0,0,0,0
2026-05-08,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,4200.0,4200.0,4200.0,3580.0,3590.0,-610.0,31700,117001000,99,819.6,3670,100,3590,100,620806680,620806680,81325675,0,0,0,0,0
2026-05-07,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,4760.0,4200.0,4460.0,4050.0,4200.0,-560.0,54800,233828000,219,958.9,4260,100,4200,6300,620806680,620806680,81325675,0,0,0,0,0
2026-05-06,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3810.0,4760.0,4760.0,3920.0,4760.0,950.0,140900,654845000,488,1086.7,0,0,4760,1400,620806680,620806680,81325675,0,100,0,0,0
2026-05-05,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3050.0,3070.0,3810.0,3070.0,3810.0,760.0,32100,120421000,84,869.8,0,0,3810,63000,620806680,620806680,81325675,1000,0,0,0,0
2026-05-04,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,2580.0,0.0,3220.0,2530.0,3050.0,470.0,53200,157488000,193,696.3,3060,1300,3050,400,620806680,620806680,81325675,0,1000,0,0,0
2026-04-30,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,2350.0,0.0,2580.0,2510.0,2580.0,230.0,2300,5892000,11,589.0,2580,8300,2500,300,620806680,620806680,81325675,0,0,0,0,0
2026-04-29,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,2600.0,0.0,2350.0,2340.0,2350.0,-250.0,11900,27952000,12,536.5,2600,10000,2350,12900,620806680,620806680,81325675,0,0,0,0,0
2026-04-28,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,2600.0,0.0,2600.0,2600.0,2600.0,0.0,1500,3900000,4,593.6,2600,17200,2550,200,620806680,620806680,81325675,0,0,0,0,0
2026-04-27,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,2600.0,0.0,2600.0,2600.0,2600.0,0.0,2700,7020000,10,593.6,2600,18600,2550,200,620806680,620806680,81325675,0,0,0,0,0
2026-04-24,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,2600.0,0.0,2600.0,2600.0,2600.0,0.0,1700,4420000,8,593.6,2600,19600,2550,200,620806680,620806680,81325675,0,0,0,0,0
2026-04-23,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,2600.0,0.0,2600.0,2600.0,2600.0,0.0,1000,2600000,5,593.6,2600,11200,2550,100,620806680,620806680,81325675,0,0,0,0,0
2026-04-22,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,2590.0,0.0,2600.0,2600.0,2600.0,10.0,1200,3120000,9,593.6,2600,22200,2590,300,620806680,620806680,81325675,0,0,0,0,0
2026-04-21,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,2600.0,0.0,2600.0,2590.0,2590.0,-10.0,2900,7513000,3,591.3,2600,23100,2590,200,620806680,620806680,81325675,0,0,0,0,0
2026-04-20,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,2600.0,0.0,2600.0,2600.0,2600.0,0.0,2600,6760000,7,593.6,2600,23400,2520,200,620806680,620806680,81325675,0,0,0,0,0
