Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-04,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8800.0,8800.0,8950.0,8700.0,8700.0,-100.0,299500,2639817500,294,374.2,8825,1000,8700,2700,1235803109,1235803109,67227689,33800,18200,170,1275000,4
2026-04-30,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8975.0,8975.0,8975.0,8700.0,8800.0,-175.0,267700,2373305000,417,378.5,8800,1900,8775,3200,1235803109,1235803109,67227689,80600,10000,0,0,0
2026-04-29,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8625.0,8625.0,9025.0,8625.0,8975.0,350.0,723800,6444055000,827,386.0,9000,10600,8975,100,1235803109,1235803109,67227689,11000,37000,16,120000,1
2026-04-28,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8525.0,8525.0,8650.0,8475.0,8625.0,100.0,312300,2680792500,268,371.0,8650,32300,8625,1000,1235803109,1235803109,67227689,11300,35500,11,82500,1
2026-04-27,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8275.0,8300.0,8575.0,8300.0,8525.0,250.0,711300,6055255000,402,366.7,8550,9200,8500,200,1235803109,1235803109,67227689,23300,65700,0,0,0
2026-04-24,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8400.0,8400.0,8400.0,8225.0,8275.0,-125.0,185400,1536252500,385,355.9,8300,1300,8275,12200,1235803109,1235803109,67227689,38800,52100,0,0,0
2026-04-23,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8800.0,8800.0,8800.0,8400.0,8400.0,-400.0,504300,4291000000,607,361.3,8400,600,8375,6600,1235803109,1235803109,67227689,99300,9400,37,296000,1
2026-04-22,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8375.0,8325.0,8900.0,8325.0,8800.0,425.0,876300,7644072500,1222,378.5,8825,2300,8800,4900,1235803109,1235803109,67227689,29300,120600,0,0,0
2026-04-21,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8250.0,8250.0,8375.0,8250.0,8375.0,125.0,103100,856367500,221,360.2,8400,8100,8375,3300,1235803109,1235803109,67227689,16900,20500,58,464000,1
2026-04-20,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8275.0,8250.0,8350.0,8250.0,8250.0,-25.0,174200,1441510000,248,354.8,8300,2600,8250,47900,1235803109,1235803109,67227689,3400,23200,6,49800,1
2026-04-17,ADMF,Adira Dinamika Multi Finance Tbk.,XDUO2105000000G211------------,8350.0,8350.0,8350.0,8250.0,8275.0,-75.0,221400,1834702500,437,355.9,8275,24400,8250,72800,1235803109,1235803109,67227689,48300,11200,52,431600,1
2026-04-16,ADMF,Adira Dinamika Multi Finance Tbk.,--UO2105000000G211------------,8375.0,8400.0,8450.0,8325.0,8350.0,-25.0,203100,1698547500,392,359.1,8375,2100,8350,11500,1235803109,1235803109,67227689,17000,34300,26,215800,1
