Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-24,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3160.0,3160.0,3190.0,2980.0,3120.0,-40.0,1563000,4839667000,698,283.6,3120,67500,3110,75600,3066660000,3066660000,231532830,138700,212800,6311500,19534092500,1
2026-04-23,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3240.0,3270.0,3270.0,3130.0,3160.0,-80.0,792700,2514096000,600,287.3,3170,3900,3160,18000,3066660000,3066660000,231532830,222300,73800,0,0,0
2026-04-22,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3240.0,3240.0,3270.0,3190.0,3240.0,0.0,362600,1170039000,433,294.5,3240,5500,3210,400,3066660000,3066660000,231532830,107200,24300,0,0,0
2026-04-21,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3230.0,3230.0,3280.0,3150.0,3240.0,10.0,656300,2115945000,579,294.5,3250,11000,3240,58500,3066660000,3066660000,231532830,174800,90900,0,0,0
2026-04-20,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3260.0,3270.0,3280.0,3110.0,3230.0,-30.0,1320200,4237464000,1064,293.6,3230,700,3200,300,3066660000,3066660000,231532830,368200,160500,0,0,0
2026-04-17,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3290.0,3260.0,3280.0,3140.0,3260.0,-30.0,855200,2767547000,963,296.4,3270,16200,3260,48400,3066660000,3066660000,231532830,269500,64700,71200,230759200,1
2026-04-16,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3110.0,3120.0,3340.0,3060.0,3290.0,180.0,1783700,5767274000,1311,299.1,3290,6400,3280,1400,3066660000,3066660000,231532830,432200,258800,0,0,0
2026-04-15,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3160.0,3170.0,3220.0,3100.0,3110.0,-50.0,497700,1569716000,554,282.7,3130,1400,3110,7700,3066660000,3066660000,231532830,170000,27600,0,0,0
2026-04-14,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3210.0,3230.0,3270.0,3160.0,3160.0,-50.0,635500,2028917000,752,287.3,3160,4200,3150,14000,3066660000,3066660000,231532830,300500,900,0,0,0
2026-04-13,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3330.0,3300.0,3320.0,3210.0,3210.0,-120.0,743800,2419455000,764,291.8,3240,1000,3210,11100,3066660000,3066660000,231532830,420000,21100,0,0,0
2026-04-10,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3230.0,0.0,3370.0,3170.0,3330.0,100.0,546800,1798090000,502,302.7,3330,4600,3300,23000,3066660000,3066660000,231532830,99400,185200,0,0,0
2026-04-09,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3370.0,3370.0,3370.0,3170.0,3230.0,-140.0,458600,1501519000,611,293.6,3240,1500,3230,46900,3066660000,3066660000,231532830,233300,36300,0,0,0
2026-04-08,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3230.0,3290.0,3400.0,3050.0,3370.0,140.0,2160000,7137237000,1160,306.4,3380,10700,3370,5800,3066660000,3066660000,231532830,340300,390800,0,0,0
2026-04-07,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3310.0,3300.0,3330.0,3120.0,3230.0,-80.0,730400,2351265000,718,293.6,3240,98900,3230,600,3066660000,3066660000,231532830,364200,129200,0,0,0
2026-04-06,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3330.0,2840.0,3520.0,2840.0,3310.0,-20.0,4134000,12975898000,2387,300.9,3350,58800,3310,20000,3066660000,3066660000,231532830,498200,1163600,0,0,0
2026-04-02,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3400.0,3490.0,3490.0,3090.0,3330.0,-70.0,2145900,7103800000,1886,302.7,3330,412800,3300,6700,3066660000,3066660000,231532830,433100,345800,0,0,0
