Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-17,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-16,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-15,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-14,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-13,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-10,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-09,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-08,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-07,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-06,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-02,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
2026-04-01,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212M--L---Y---X,18.0,0.0,0.0,0.0,18.0,0.0,0,0,0,9.0,0,0,0,0,2191870558,2191870558,576242770,0,0,0,0,0
