Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-13,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,5425.0,5325.0,5475.0,5225.0,5425.0,0.0,22177200,119030772500,8123,320.1,5425,925500,5400,8700,72518217656,61314183036,13553654880,14946500,8470500,1000070,5425379750,2
2026-04-10,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,5350.0,5375.0,5550.0,5350.0,5425.0,75.0,22736300,123933277500,6446,320.1,5450,100900,5425,263400,72518217656,61314183036,13553654880,14742800,9784300,27501740,151947098400,13
2026-04-09,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,5525.0,5400.0,5500.0,5275.0,5350.0,-175.0,19289800,103204642500,7742,315.6,5375,43300,5350,38800,72518217656,61314183036,13553654880,14017400,8739100,50,266250,1
2026-04-08,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,4870.0,5050.0,5600.0,4970.0,5525.0,655.0,43107600,227942106000,14868,326.0,5550,302300,5525,503000,72518217656,61314183036,13553654880,19313300,18811200,16337085,79714320625,5
2026-04-07,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,5025.0,4980.0,5000.0,4830.0,4870.0,-155.0,16198600,79336015000,7261,287.3,4900,33600,4870,70000,72518217656,61314183036,13553654880,11535200,6847600,1122092,5488160160,2
2026-04-06,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,4700.0,4700.0,5050.0,4650.0,5025.0,325.0,27138300,133064362000,10450,296.5,5025,63300,5000,54000,72518217656,61314183036,13553654880,9483300,10043000,89,420970,1
2026-04-02,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,5125.0,5100.0,5125.0,4600.0,4700.0,-425.0,46905000,226092404000,18689,277.3,4700,496100,4690,23700,72518217656,61314183036,13553654880,24884600,13748100,500132,2350663498,3
2026-04-01,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,4920.0,5075.0,5200.0,4960.0,5125.0,205.0,31488900,160644544500,10702,302.4,5150,10000,5125,142200,72518217656,61314183036,13553654880,18247600,16196000,17547,74090875,2
2026-03-31,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,4880.0,4960.0,5050.0,4860.0,4920.0,40.0,25534400,125776543000,8939,290.3,4930,52600,4920,303700,72518217656,61314183036,13488388484,19232000,17795000,98,479440,3
2026-03-30,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,4850.0,4780.0,4950.0,4630.0,4880.0,30.0,21251200,102884487000,7733,287.9,4890,5100,4880,536500,72518217656,61314183036,13488388484,12665300,15218700,271,1318520,6
2026-03-27,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,4900.0,4900.0,4970.0,4780.0,4850.0,-50.0,18268600,89245631000,8465,286.1,4860,1200,4850,12300,72518217656,61314183036,13488388484,13078700,10909100,18000,109800000,1
2026-03-26,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,5000.0,5075.0,5225.0,4900.0,4900.0,-100.0,34339400,172308451000,13914,289.1,4900,44600,4890,42900,72518217656,61314183036,13488388484,22919600,11268700,478,2371484,6
2026-03-25,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,4630.0,4900.0,5125.0,4680.0,5000.0,370.0,91934600,456680379500,33816,295.0,5025,900,5000,685800,72518217656,61314183036,13488388484,64668700,74388800,64484,327170360,9
2026-03-17,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,4510.0,4660.0,5075.0,4600.0,4630.0,120.0,155812200,733737996000,25583,273.2,4640,7100,4630,3513500,72518217656,61314183036,13488388484,131598900,120997300,2035305,9423454380,5
2026-03-16,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,4950.0,4950.0,4970.0,4510.0,4510.0,-440.0,60242400,279472289000,20897,266.1,4510,29500,4500,765700,72518217656,61314183036,13488388484,45687700,31825100,648252,3986503520,4
2026-03-13,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,5525.0,5450.0,5525.0,4950.0,4950.0,-575.0,49767000,254424271500,13995,292.0,5050,93700,4950,838700,72518217656,61314183036,13488388484,28024600,24190200,112,591200,3
2026-03-12,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,5500.0,5575.0,5650.0,5425.0,5525.0,25.0,17532600,97314392500,7819,326.0,5575,40300,5525,366200,72518217656,61314183036,13488388484,9038700,8326500,47080,268667000,3
2026-03-11,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,5825.0,5850.0,6000.0,5500.0,5500.0,-325.0,22763800,129066722500,9741,324.5,5500,3000,5475,59900,72518217656,61314183036,13488388484,13106200,5315700,45174,255207000,3
2026-03-10,AMMN,Amman Mineral Internasional Tbk.,--MO1H00504100B142------------,5700.0,5800.0,6025.0,5775.0,5825.0,125.0,17061300,100212570000,7038,343.7,5850,100,5800,373800,72518217656,61314183036,13488388484,8562700,7330400,120,690250,2
