Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-27,AMOR,Ashmore Asset Management Indonesia Tbk.,--UO2100000000G311------------,334.0,334.0,338.0,318.0,336.0,2.0,778000,257058800,253,35.4,338,31000,336,34500,2222222400,2222222400,196888905,11400,36300,0,0,0
2026-03-26,AMOR,Ashmore Asset Management Indonesia Tbk.,--UO2100000000G311------------,328.0,334.0,334.0,316.0,334.0,6.0,577900,189657800,142,35.2,336,31500,334,173200,2222222400,2222222400,196888905,7400,267500,0,0,0
2026-03-25,AMOR,Ashmore Asset Management Indonesia Tbk.,--UO2100000000G311------------,308.0,308.0,330.0,308.0,328.0,20.0,1194900,382484000,246,34.5,332,3600,328,199700,2222222400,2222222400,196888905,32300,212500,0,0,0
2026-03-17,AMOR,Ashmore Asset Management Indonesia Tbk.,--UO2100000000G311------------,302.0,302.0,310.0,302.0,308.0,6.0,240600,73820800,134,32.4,310,121700,308,7000,2222222400,2222222400,196888905,3000,24700,0,0,0
2026-03-16,AMOR,Ashmore Asset Management Indonesia Tbk.,--UO2100000000G311------------,310.0,308.0,308.0,302.0,302.0,-8.0,626200,190757000,322,31.8,306,200,302,78800,2222222400,2222222400,196888905,200,113600,0,0,0
2026-03-13,AMOR,Ashmore Asset Management Indonesia Tbk.,--UO2100000000G311------------,316.0,316.0,316.0,308.0,310.0,-6.0,705100,219300600,269,32.6,314,65600,308,3200,2222222400,2222222400,196888905,13000,12000,0,0,0
2026-03-12,AMOR,Ashmore Asset Management Indonesia Tbk.,--UO2100000000G311------------,316.0,316.0,318.0,316.0,316.0,0.0,291900,92352000,166,33.3,318,42900,316,31600,2222222400,2222222400,196888905,0,19500,0,0,0
2026-03-11,AMOR,Ashmore Asset Management Indonesia Tbk.,--UO2100000000G311------------,314.0,312.0,318.0,310.0,316.0,2.0,535000,169347000,166,33.3,320,387900,316,72000,2222222400,2222222400,196888905,0,17100,0,0,0
2026-03-10,AMOR,Ashmore Asset Management Indonesia Tbk.,--UO2100000000G311------------,316.0,318.0,318.0,306.0,314.0,-2.0,965300,300138000,323,33.1,316,5100,314,500,2222222400,2222222400,196888905,14800,66900,0,0,0
2026-03-09,AMOR,Ashmore Asset Management Indonesia Tbk.,--UO2100000000G311------------,336.0,328.0,328.0,316.0,316.0,-20.0,1350600,430808800,471,33.3,316,1900,314,32600,2222222400,2222222400,196888905,36600,236500,0,0,0
