Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-22,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1750.0,1780.0,1825.0,1700.0,1810.0,60.0,594900,1069604500,368,150.8,1815,3800,1755,3100,3354175000,3354175000,54673053,0,83300,0,0,0
2026-04-21,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1735.0,1765.0,1780.0,1735.0,1750.0,15.0,309400,543637500,157,145.8,1780,4800,1750,54400,3354175000,3354175000,54673053,0,50400,0,0,0
2026-04-20,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1735.0,1735.0,1750.0,1700.0,1735.0,0.0,440400,761511000,128,144.6,1740,1300,1735,25800,3354175000,3354175000,54673053,0,10400,0,0,0
2026-04-17,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1740.0,1745.0,1750.0,1730.0,1735.0,-5.0,127200,221439000,104,144.6,1745,9000,1735,900,3354175000,3354175000,54673053,0,6000,0,0,0
2026-04-16,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1740.0,1735.0,1785.0,1700.0,1740.0,0.0,382300,659857500,205,145.0,1745,5600,1700,7600,3354175000,3354175000,54673053,0,19800,0,0,0
2026-04-15,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1590.0,1600.0,1800.0,1600.0,1740.0,150.0,907600,1557008000,440,145.0,1740,10500,1730,300,3354175000,3354175000,54673053,273500,0,0,0,0
2026-04-14,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1550.0,1605.0,1605.0,1580.0,1590.0,40.0,144900,230274500,114,132.5,1595,9400,1590,3600,3354175000,3354175000,54673053,0,0,0,0,0
2026-04-13,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1530.0,1535.0,1555.0,1530.0,1550.0,20.0,71800,110643000,104,129.2,1555,47000,1550,200,3354175000,3354175000,54673053,6300,0,0,0,0
2026-04-10,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1515.0,1515.0,1535.0,1515.0,1530.0,15.0,110700,168167500,99,127.5,1535,37200,1520,100,3354175000,3354175000,54673053,300,0,0,0,0
2026-04-09,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1510.0,1510.0,1540.0,1510.0,1515.0,5.0,34300,52171000,56,126.3,1530,600,1515,400,3354175000,3354175000,54673053,4400,0,0,0,0
2026-04-08,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1495.0,1540.0,1540.0,1495.0,1510.0,15.0,51800,78245500,50,125.8,1515,1600,1510,3600,3354175000,3354175000,54673053,700,0,0,0,0
2026-04-07,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1490.0,0.0,1550.0,1485.0,1495.0,5.0,76300,113814500,95,124.6,1495,10500,1485,7800,3354175000,3354175000,54673053,1900,0,0,0,0
2026-04-06,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1500.0,1510.0,1585.0,1485.0,1490.0,-10.0,217100,327589000,162,124.2,1500,600,1490,12600,3354175000,3354175000,54673053,19600,0,0,0,0
2026-04-02,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232---L--------,1570.0,0.0,1595.0,1415.0,1500.0,-70.0,296000,440772000,221,125.0,1510,2400,1500,7100,3354175000,3354175000,54673053,600,0,0,0,0
2026-04-01,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1595.0,0.0,1605.0,1565.0,1570.0,-25.0,57300,90423000,107,130.8,1590,3100,1570,1000,3354175000,3354175000,54673053,800,0,0,0,0
2026-03-31,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1560.0,0.0,1605.0,1560.0,1595.0,35.0,69500,110005500,66,132.9,1595,10900,1580,3100,3354175000,3354175000,55679305,11300,500,0,0,0
2026-03-30,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1595.0,1595.0,1595.0,1560.0,1560.0,-35.0,61800,97178000,88,130.0,1580,600,1560,5400,3354175000,3354175000,55679305,0,0,0,0,0
2026-03-27,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1600.0,1565.0,1605.0,1565.0,1595.0,-5.0,37400,59095000,57,132.9,1600,10500,1590,100,3354175000,3354175000,55679305,2600,0,0,0,0
2026-03-26,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1565.0,0.0,1605.0,1565.0,1600.0,35.0,170600,271929500,84,133.3,1605,2300,1600,1000,3354175000,3354175000,55679305,2600,0,0,0,0
2026-03-25,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1540.0,1540.0,1575.0,1535.0,1565.0,25.0,93600,145343500,83,130.4,1570,800,1565,1200,3354175000,3354175000,55679305,6000,0,0,0,0
2026-03-17,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1500.0,0.0,1550.0,1485.0,1540.0,40.0,47800,72365000,58,128.3,1545,29300,1535,300,3354175000,3354175000,55679305,0,600,0,0,0
2026-03-16,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1510.0,1510.0,1510.0,1450.0,1500.0,-10.0,229500,337735000,135,125.0,1505,9600,1495,200,3354175000,3354175000,55679305,2500,0,0,0,0
2026-03-13,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1525.0,1565.0,1565.0,1510.0,1510.0,-15.0,82800,125647500,79,125.8,1555,12800,1510,12600,3354175000,3354175000,55679305,400,700,0,0,0
2026-03-12,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1550.0,0.0,1585.0,1500.0,1525.0,-25.0,62900,98017000,45,127.1,1565,5200,1525,2500,3354175000,3354175000,55679305,23700,0,0,0,0
2026-03-11,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1550.0,1540.0,1590.0,1500.0,1550.0,0.0,290200,450742500,111,129.2,1590,12400,1515,3600,3354175000,3354175000,55679305,10700,100,0,0,0
2026-03-10,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1530.0,1540.0,1555.0,1535.0,1550.0,20.0,136200,210319500,79,129.2,1555,1300,1550,1000,3354175000,3354175000,55679305,600,0,0,0,0
2026-03-09,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1620.0,1620.0,1620.0,1500.0,1530.0,-90.0,337600,519040500,237,127.5,1545,13200,1530,8700,3354175000,3354175000,55679305,36700,0,0,0,0
2026-03-06,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1605.0,1605.0,1635.0,1585.0,1620.0,15.0,147700,237636000,140,135.0,1625,17100,1620,300,3354175000,3354175000,55679305,2700,0,0,0,0
2026-03-05,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1585.0,1560.0,1660.0,1560.0,1605.0,20.0,204300,328999000,121,133.8,1630,500,1600,15900,3354175000,3354175000,55679305,0,0,0,0,0
2026-03-04,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1660.0,1660.0,1660.0,1580.0,1585.0,-75.0,250700,401717500,232,132.1,1620,1500,1585,13300,3354175000,3354175000,55679305,200,0,0,0,0
2026-03-03,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1690.0,1650.0,1695.0,1490.0,1660.0,-30.0,652800,1041285000,369,138.3,1660,6600,1655,12000,3354175000,3354175000,55679305,5100,5300,0,0,0
2026-03-02,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1755.0,1680.0,1705.0,1660.0,1690.0,-65.0,245300,411681500,243,140.8,1690,19900,1680,100,3354175000,3354175000,55679305,5600,0,0,0,0
2026-02-27,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1740.0,1740.0,1760.0,1700.0,1755.0,15.0,273200,477499000,157,146.3,1755,5700,1740,2900,3354175000,3354175000,55679305,5400,0,0,0,0
2026-02-26,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1745.0,1745.0,1750.0,1715.0,1740.0,-5.0,140300,242971500,130,145.0,1745,6100,1715,6100,3354175000,3354175000,55679305,13700,0,0,0,0
2026-02-25,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1740.0,1740.0,1745.0,1725.0,1745.0,5.0,107300,185843000,81,145.4,1745,1100,1735,3000,3354175000,3354175000,55679305,5200,0,0,0,0
2026-02-24,ANJT,Austindo Nusantara Jaya Tbk.,--UO2135000000D232------------,1740.0,1740.0,1765.0,1735.0,1740.0,0.0,400000,699713500,149,145.0,1755,27700,1740,5800,3354175000,3354175000,55679305,0,0,0,0,0
