Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-16,ASGR,Astra Graphia Tbk.,--MO1135000000C224------------,1715.0,1880.0,1890.0,1745.0,1830.0,115.0,8418900,15080079000,2668,379.4,1835,51200,1830,31500,1348780500,1348780500,297540978,604400,805800,0,0,0
2026-04-15,ASGR,Astra Graphia Tbk.,--MO1135000000C224------------,1700.0,1720.0,1810.0,1650.0,1715.0,15.0,3096700,5391264500,1076,355.6,1720,20400,1715,13400,1348780500,1348780500,297540978,113800,698800,0,0,0
2026-04-14,ASGR,Astra Graphia Tbk.,--MO1135000000C224------------,1715.0,1720.0,1740.0,1700.0,1700.0,-15.0,1336800,2293491500,433,352.5,1730,22700,1700,1196500,1348780500,1348780500,297540978,36800,98900,0,0,0
2026-04-13,ASGR,Astra Graphia Tbk.,--MO1135000000C224------------,1700.0,1720.0,1725.0,1685.0,1715.0,15.0,1262000,2151310000,548,355.6,1720,55500,1715,2900,1348780500,1348780500,297540978,93400,57500,0,0,0
2026-04-10,ASGR,Astra Graphia Tbk.,--MO1135000000C224------------,1630.0,1640.0,1710.0,1630.0,1700.0,70.0,1112300,1877111500,753,352.5,1700,29600,1690,24100,1348780500,1348780500,297540978,48400,176200,85,138125,1
2026-04-09,ASGR,Astra Graphia Tbk.,--MO1135000000C224------------,1635.0,1635.0,1650.0,1605.0,1630.0,-5.0,841500,1374233500,334,337.9,1630,400,1625,27700,1348780500,1348780500,297540978,42300,139000,0,0,0
2026-04-08,ASGR,Astra Graphia Tbk.,--MO1135000000C224------------,1610.0,1620.0,1645.0,1620.0,1635.0,25.0,165300,270170500,189,339.0,1640,32200,1635,1794100,1348780500,1348780500,297540978,23600,400,0,0,0
2026-04-07,ASGR,Astra Graphia Tbk.,--MO1135000000C224------------,1610.0,1615.0,1615.0,1605.0,1610.0,0.0,91900,148020000,106,333.8,1615,35000,1610,400,1348780500,1348780500,297540978,8700,1100,0,0,0
2026-04-06,ASGR,Astra Graphia Tbk.,--MO1135000000C224------------,1630.0,1630.0,1640.0,1610.0,1610.0,-20.0,253500,411018000,274,333.8,1620,100,1610,1095300,1348780500,1348780500,297540978,53000,4600,0,0,0
2026-04-02,ASGR,Astra Graphia Tbk.,--MO1135000000C224------------,1650.0,1660.0,1700.0,1620.0,1630.0,-20.0,659600,1092387000,539,337.9,1635,3900,1630,5900,1348780500,1348780500,297540978,181700,149200,0,0,0
