Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-30,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,19.0,19.0,19.0,0.0,5534100,105147900,148,35.2,20,10625200,19,155900,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-29,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,19.0,19.0,19.0,0.0,15204500,288885500,258,35.2,20,13015400,19,907400,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-28,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,20.0,19.0,19.0,0.0,6308900,122242200,154,35.2,20,15694300,19,7840000,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-27,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,19.0,19.0,19.0,0.0,7617100,144724900,175,35.2,20,15624800,19,6424000,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-24,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,20.0,0.0,20.0,19.0,19.0,-1.0,16775000,331108100,274,35.2,20,3498100,19,8881000,8958380460,8958380460,5294402852,0,10000,0,0,0
2026-04-23,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,20.0,19.0,20.0,1.0,22256000,440645500,297,37.0,20,6841000,19,14265100,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-22,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,20.0,19.0,19.0,0.0,15466800,296549800,338,35.2,20,13528100,19,11077500,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-21,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,19.0,19.0,19.0,0.0,19430100,369171900,383,35.2,20,9840400,19,3579300,8958380460,8958380460,5294402852,0,150000,0,0,0
2026-04-20,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,19.0,19.0,19.0,0.0,14222500,270227500,315,35.2,20,17988400,18,5855700,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-17,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,19.0,19.0,19.0,0.0,21654100,411427900,218,35.2,20,10166100,19,4440500,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-16,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,19.0,19.0,19.0,0.0,18232800,346423200,363,35.2,20,13456800,19,5021300,8958380460,8958380460,5294402852,0,100000,0,0,0
2026-04-15,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,20.0,0.0,20.0,19.0,19.0,-1.0,5520600,106491900,220,35.2,20,9161600,19,5013600,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-14,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,20.0,19.0,20.0,1.0,7672900,146026100,244,37.0,20,7327900,19,1875400,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-13,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,20.0,0.0,20.0,19.0,19.0,-1.0,7177500,139032400,249,35.2,20,8614200,19,413300,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-10,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,20.0,19.0,20.0,1.0,1166300,22409700,114,37.0,20,5897400,19,2005100,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-09,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,19.0,19.0,19.0,0.0,2664300,50621700,138,35.2,20,3507100,19,5069900,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-08,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,19.0,19.0,19.0,0.0,6688100,127073900,211,35.2,19,3743200,18,4739400,8958380460,8958380460,5294402852,0,50000,0,0,0
2026-04-07,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,19.0,18.0,19.0,0.0,3051800,57754700,154,35.2,19,5255100,18,9241600,8958380460,8958380460,5294402852,0,200000,0,0,0
2026-04-06,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,20.0,0.0,20.0,19.0,19.0,-1.0,9542600,181975700,222,35.2,20,10113500,19,231600,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-02,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412---L-------X,19.0,0.0,20.0,18.0,20.0,1.0,11676100,224135000,193,37.0,20,4242500,19,89000,8958380460,8958380460,5294402852,0,0,0,0,0
2026-04-01,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,20.0,0.0,20.0,19.0,19.0,-1.0,24686000,470472700,254,35.2,20,8938300,19,867300,8958380460,8958380460,5294402852,0,0,0,0,0
2026-03-31,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,20.0,0.0,20.0,19.0,20.0,0.0,20060700,389195500,238,37.0,20,11241700,19,1575200,8958380460,8958380460,5287236147,0,100000,0,0,0
2026-03-30,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,20.0,0.0,20.0,20.0,20.0,0.0,4243800,84876000,138,37.0,20,6875500,19,3314200,8958380460,8958380460,5287236147,0,0,0,0,0
2026-03-27,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,20.0,0.0,20.0,20.0,20.0,0.0,9121600,182432000,188,37.0,20,5728400,19,5516000,8958380460,8958380460,5287236147,0,0,0,0,0
2026-03-26,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,19.0,0.0,20.0,20.0,20.0,1.0,10132100,202642000,271,37.0,20,4800800,19,769300,8958380460,8958380460,5287236147,0,60000,0,0,0
2026-03-25,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,19.0,0.0,19.0,18.0,19.0,0.0,38959800,728949100,382,35.2,19,394200,18,11046000,8958380460,8958380460,5287236147,0,0,0,0,0
2026-03-17,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,18.0,0.0,19.0,19.0,19.0,1.0,18582200,353061800,277,35.2,19,1646800,18,2541800,8958380460,8958380460,5287236147,0,0,0,0,0
2026-03-16,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,17.0,0.0,18.0,17.0,18.0,1.0,8620400,153562300,196,33.3,0,0,18,1043400,8958380460,8958380460,5287236147,0,10000,0,0,0
2026-03-13,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,18.0,0.0,19.0,17.0,17.0,-1.0,50004200,857938700,379,31.5,18,312700,17,2520900,8958380460,8958380460,5287236147,0,10000,0,0,0
2026-03-12,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,20.0,0.0,19.0,18.0,18.0,-2.0,43342800,783711800,530,33.3,19,6195800,18,254000,8958380460,8958380460,5287236147,0,50000,0,0,0
2026-03-11,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,19.0,0.0,20.0,19.0,20.0,1.0,21244000,405388900,357,37.0,0,0,20,1247400,8958380460,8958380460,5287236147,0,0,0,0,0
2026-03-10,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,21.0,0.0,23.0,19.0,19.0,-2.0,21155900,443440000,425,35.2,21,35000,19,211000,8958380460,8958380460,5287236147,0,50000,0,0,0
2026-03-09,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,23.0,0.0,21.0,21.0,21.0,-2.0,5754400,120842400,193,38.9,21,8634100,0,0,8958380460,8958380460,5287236147,0,50000,0,0,0
2026-03-06,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,25.0,0.0,24.0,23.0,23.0,-2.0,8550600,199407500,241,42.6,23,3100,0,0,8958380460,8958380460,5287236147,0,0,0,0,0
2026-03-05,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,26.0,0.0,25.0,25.0,25.0,-1.0,16230100,405752500,297,46.3,26,625500,25,210900,8958380460,8958380460,5287236147,0,0,0,0,0
2026-03-04,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,28.0,0.0,26.0,26.0,26.0,-2.0,6580600,171095600,223,48.1,26,6590400,0,0,8958380460,8958380460,5287236147,0,100000,0,0,0
2026-03-03,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,31.0,0.0,31.0,28.0,28.0,-3.0,7064800,205180000,257,51.9,28,8994600,0,0,8958380460,8958380460,5287236147,0,0,0,0,0
2026-03-02,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,32.0,0.0,32.0,31.0,31.0,-1.0,5363000,170493500,140,57.4,32,745600,30,1054500,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-27,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,31.0,0.0,32.0,32.0,32.0,1.0,2279600,72947200,114,59.3,32,2985900,31,420900,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-26,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,32.0,0.0,31.0,31.0,31.0,-1.0,3430000,106330000,154,57.4,32,3316300,31,15700,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-25,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,32.0,0.0,32.0,31.0,32.0,0.0,889000,27967900,106,59.3,32,1721200,31,664900,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-24,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,33.0,0.0,33.0,32.0,32.0,-1.0,1366000,44656000,88,59.3,33,6319000,32,118400,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-23,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,33.0,0.0,33.0,32.0,33.0,0.0,1861900,61346700,173,61.1,33,1027300,32,661200,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-20,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,32.0,0.0,33.0,32.0,33.0,1.0,2853400,92587800,136,61.1,34,252000,32,170700,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-19,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,33.0,0.0,33.0,32.0,32.0,-1.0,2105600,68479900,147,59.3,33,728300,31,1081300,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-18,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,33.0,0.0,33.0,33.0,33.0,0.0,10222100,337329300,278,61.1,34,867800,33,13600,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-13,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,33.0,0.0,33.0,32.0,33.0,0.0,1002800,32845300,98,61.1,33,2036900,32,498900,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-12,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,35.0,0.0,36.0,32.0,33.0,-2.0,4079000,136973300,257,61.1,34,160400,32,623100,8958380460,8958380460,5287236147,0,0,0,0,0
2026-02-11,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,32.0,0.0,35.0,33.0,35.0,3.0,4785900,162078500,213,64.8,0,0,35,113200,8958380460,8958380460,5287236147,0,0,0,0,0
