Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-08,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412---L--------,284.0,0.0,288.0,286.0,286.0,2.0,4100,1174400,14,606.9,288,30700,286,3100,1277992036,1277992036,113357894,400,0,0,0,0
2026-04-07,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412---L--------,288.0,286.0,286.0,284.0,284.0,-4.0,12300,3495200,19,602.7,286,1000,284,100,1277992036,1277992036,113357894,0,0,0,0,0
2026-04-06,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412---L--------,290.0,290.0,290.0,284.0,288.0,-2.0,8000,2309400,19,611.2,290,10300,282,3900,1277992036,1277992036,113357894,0,0,0,0,0
2026-04-02,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412---L--------,298.0,0.0,298.0,278.0,290.0,-8.0,50200,14319600,41,615.4,298,6300,282,600,1277992036,1277992036,113357894,0,0,0,0,0
2026-04-01,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,286.0,286.0,298.0,280.0,298.0,12.0,175300,50933200,75,632.4,300,138800,296,3200,1277992036,1277992036,113357894,200,0,0,0,0
2026-03-31,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,286.0,0.0,288.0,278.0,286.0,0.0,11700,3323400,32,606.9,288,4600,280,100,1277992036,1277992036,113357894,0,0,0,0,0
2026-03-30,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,284.0,0.0,288.0,276.0,286.0,2.0,29100,8117600,41,606.9,286,3300,280,200,1277992036,1277992036,113357894,0,0,0,0,0
2026-03-27,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,288.0,288.0,288.0,284.0,284.0,-4.0,5900,1676000,6,602.7,286,100,284,3000,1277992036,1277992036,113357894,0,0,0,0,0
2026-03-26,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,284.0,0.0,290.0,286.0,288.0,4.0,6100,1750800,16,611.2,288,4900,286,4600,1277992036,1277992036,113357894,0,0,0,0,0
2026-03-25,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,280.0,280.0,290.0,280.0,284.0,4.0,3800,1079000,12,602.7,284,5300,282,500,1277992036,1277992036,113357894,0,0,0,0,0
2026-03-17,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,280.0,0.0,284.0,266.0,280.0,0.0,11200,3065600,33,594.2,280,5200,278,200,1277992036,1277992036,113357894,0,0,0,0,0
2026-03-16,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,282.0,0.0,286.0,278.0,280.0,-2.0,3100,879000,17,594.2,280,600,278,100,1277992036,1277992036,113357894,500,0,0,0,0
2026-03-13,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,290.0,280.0,290.0,280.0,282.0,-8.0,18500,5238600,34,598.4,284,500,280,5000,1277992036,1277992036,113357894,4600,0,0,0,0
2026-03-12,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,288.0,0.0,310.0,274.0,290.0,2.0,148900,43729800,138,615.4,292,1300,290,9300,1277992036,1277992036,113357894,31100,8500,0,0,0
2026-03-11,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,288.0,0.0,290.0,284.0,288.0,0.0,26900,7753400,10,611.2,290,200,286,2300,1277992036,1277992036,113357894,0,0,0,0,0
2026-03-10,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,280.0,0.0,288.0,282.0,288.0,8.0,6900,1964000,26,611.2,290,4300,288,2400,1277992036,1277992036,113357894,300,0,0,0,0
2026-03-09,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,292.0,252.0,300.0,250.0,280.0,-12.0,82000,21423600,114,594.2,282,100,280,50200,1277992036,1277992036,113357894,1000,0,0,0,0
2026-03-06,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,288.0,0.0,296.0,284.0,292.0,4.0,41400,11828800,35,619.6,292,1000,288,400,1277992036,1277992036,113357894,0,0,0,0,0
2026-03-05,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,288.0,0.0,300.0,286.0,288.0,0.0,20200,5958400,24,611.2,300,2100,290,900,1277992036,1277992036,113357894,9500,0,79,19750,1
2026-03-04,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,296.0,296.0,300.0,286.0,288.0,-8.0,43500,12599200,73,611.2,294,100,288,100,1277992036,1277992036,113357894,3500,0,0,0,0
2026-03-03,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,292.0,0.0,304.0,296.0,296.0,4.0,15000,4462200,26,628.1,302,100,294,200,1277992036,1277992036,113357894,0,0,0,0,0
2026-03-02,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,308.0,308.0,308.0,292.0,292.0,-16.0,22800,6836600,39,619.6,298,1200,292,2600,1277992036,1277992036,113357894,0,0,0,0,0
2026-02-27,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,304.0,304.0,308.0,302.0,308.0,4.0,11800,3605200,33,653.6,310,100,302,100,1277992036,1277992036,113357894,200,0,0,0,0
2026-02-26,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,308.0,0.0,308.0,304.0,304.0,-4.0,25900,7882000,24,645.1,306,1500,302,1700,1277992036,1277992036,113357894,0,0,0,0,0
2026-02-25,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,308.0,308.0,310.0,306.0,308.0,0.0,23100,7107600,34,653.6,310,2300,306,700,1277992036,1277992036,113357894,0,0,0,0,0
2026-02-24,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,304.0,0.0,308.0,304.0,308.0,4.0,20800,6330200,20,653.6,308,500,302,800,1277992036,1277992036,113357894,0,0,0,0,0
2026-02-23,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,304.0,0.0,308.0,302.0,304.0,0.0,20000,6102400,31,645.1,306,500,302,9400,1277992036,1277992036,113357894,0,0,0,0,0
2026-02-20,ASRM,Asuransi Ramayana Tbk.,--UO2100000000G412------------,306.0,308.0,312.0,298.0,304.0,-2.0,78300,23939200,53,645.1,310,1400,302,6600,1277992036,1277992036,113357894,1300,0,0,0,0
