Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-29,AYLS,Arkayana Lestari Grup Tbk.,--UO2130000000B121------------,138.0,138.0,156.0,133.0,141.0,3.0,1164200,169085200,429,141.0,141,2100,140,2500,853423236,853423236,258672583,100,0,0,0,0
2026-05-26,AYLS,Arkayana Lestari Grup Tbk.,--UO2130000000B121------------,138.0,141.0,147.0,138.0,138.0,0.0,455800,64184000,218,138.0,140,800,138,20600,853423236,853423236,258672583,900,0,0,0,0
2026-05-25,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,139.0,139.0,143.0,134.0,138.0,-1.0,203600,28314500,135,138.0,138,16400,137,3900,853423236,853423236,258672583,3900,0,0,0,0
2026-05-22,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,134.0,127.0,140.0,114.0,139.0,5.0,7396900,906800600,917,139.0,139,97400,134,100,853423236,853423236,258672583,36100,0,0,0,0
2026-05-21,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,157.0,157.0,157.0,134.0,134.0,-23.0,2125800,299146100,623,134.0,134,156000,0,0,853423236,853423236,258672583,18000,0,0,0,0
2026-05-20,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,169.0,165.0,167.0,150.0,157.0,-12.0,2660900,414536600,570,157.0,157,69600,156,100,853423236,853423236,258672583,282400,72100,0,0,0
2026-05-19,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,181.0,180.0,180.0,156.0,169.0,-12.0,3015700,499408900,553,169.0,173,22100,169,10700,853423236,853423236,258672583,16700,231800,0,0,0
2026-05-18,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,177.0,176.0,183.0,166.0,181.0,4.0,1864900,326407100,475,181.0,181,900,180,20000,853423236,853423236,258672583,206100,24300,0,0,0
2026-05-13,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,181.0,181.0,181.0,175.0,177.0,-4.0,879700,155466200,236,177.0,178,3000,177,4800,853423236,853423236,258672583,24700,18500,0,0,0
2026-05-12,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,180.0,180.0,184.0,178.0,181.0,1.0,1204600,217034200,207,181.0,181,41000,179,2000,853423236,853423236,258672583,122800,81100,0,0,0
2026-05-11,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121---L--------,182.0,182.0,198.0,179.0,180.0,-2.0,4849700,900914700,688,180.0,183,86800,180,26200,853423236,853423236,258672583,167100,372100,0,0,0
2026-05-08,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121---L--------,190.0,190.0,192.0,179.0,182.0,-8.0,3034300,563506700,455,182.0,182,13300,181,43000,853423236,853423236,258672583,210500,231000,0,0,0
2026-05-07,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121---L--------,190.0,190.0,190.0,183.0,190.0,0.0,979200,182736300,227,190.0,190,121100,185,26500,853423236,853423236,258672583,35900,290500,0,0,0
2026-05-06,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121---L--------,184.0,185.0,195.0,180.0,190.0,6.0,3576200,674258600,714,190.0,190,216000,187,54200,853423236,853423236,258672583,490000,92600,0,0,0
2026-05-05,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121---L--------,191.0,189.0,190.0,178.0,184.0,-7.0,3471100,632768400,693,184.0,184,168400,182,31300,853423236,853423236,258672583,13000,260300,0,0,0
2026-05-04,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,198.0,199.0,199.0,188.0,191.0,-7.0,2897000,558540500,500,191.0,191,150100,189,34400,853423236,853423236,258672583,35400,10200,0,0,0
2026-04-30,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,200.0,200.0,202.0,194.0,198.0,-2.0,2566000,504312500,364,198.0,198,50400,195,38700,853423236,853423236,258672583,29300,8700,0,0,0
2026-04-29,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,197.0,196.0,208.0,196.0,200.0,3.0,4124200,835858500,893,200.0,202,17200,200,315600,853423236,853423236,258672583,93300,86400,1778400,320112000,1
2026-04-28,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,197.0,195.0,200.0,194.0,197.0,0.0,1234800,242406000,294,197.0,197,79000,196,58500,853423236,853423236,258672583,58900,26100,0,0,0
2026-04-27,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,193.0,208.0,212.0,192.0,197.0,4.0,4752300,963025000,865,197.0,198,141300,197,4400,853423236,853423236,258672583,303800,342300,0,0,0
2026-04-24,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,206.0,206.0,206.0,192.0,193.0,-13.0,2625400,513526500,587,193.0,195,30700,193,67900,853423236,853423236,258672583,109100,283000,0,0,0
2026-04-23,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,220.0,220.0,222.0,200.0,206.0,-14.0,4067100,847828200,1024,206.0,206,367400,204,24500,853423236,853423236,258672583,326000,278000,0,0,0
2026-04-22,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,196.0,196.0,232.0,196.0,220.0,24.0,32090200,7012635100,4776,220.0,220,226500,218,7300,853423236,853423236,258672583,2903500,1056900,0,0,0
2026-04-21,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,194.0,195.0,198.0,191.0,196.0,2.0,4593400,896861200,711,196.0,197,154300,196,281200,853423236,853423236,258672583,150300,349500,0,0,0
2026-04-20,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,194.0,195.0,197.0,189.0,194.0,0.0,3299900,635721000,906,194.0,194,105500,192,5500,853423236,853423236,258672583,31400,129200,0,0,0
2026-04-17,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,228.0,228.0,232.0,194.0,194.0,-34.0,22906800,4663955000,4297,194.0,195,6600,194,1227600,853423236,853423236,258672583,290400,2334400,0,0,0
2026-04-16,AYLS,Agro Yasa Lestari Tbk.,--UO2130000000B121------------,176.0,177.0,236.0,176.0,228.0,52.0,72190000,15547917700,10763,228.0,230,241600,228,703600,853423236,853423236,258672583,727500,341500,0,0,0
