Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-27,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,130.0,130.0,130.0,127.0,130.0,0.0,1300800,168055600,155,95.8,130,12700,129,546100,19753494636,19753494636,4997634143,85500,174500,0,0,0
2026-03-26,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,130.0,130.0,131.0,127.0,130.0,0.0,1587000,205257900,307,95.8,131,71800,130,3800,19753494636,19753494636,4997634143,85600,103300,0,0,0
2026-03-25,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,131.0,131.0,132.0,125.0,130.0,-1.0,2601500,335390700,677,95.8,130,21400,129,271600,19753494636,19753494636,4997634143,417200,677900,0,0,0
2026-03-17,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,130.0,130.0,134.0,129.0,131.0,1.0,2199900,287734400,184,96.6,132,85000,131,4100,19753494636,19753494636,4997634143,128300,39000,0,0,0
2026-03-16,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,132.0,133.0,133.0,125.0,130.0,-2.0,2230900,288043400,259,95.8,132,143700,130,221200,19753494636,19753494636,4997634143,1083200,70700,16600000,2141400000,2
2026-03-13,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,137.0,137.0,137.0,131.0,132.0,-5.0,1781600,235819900,275,97.3,132,120800,131,1032000,19753494636,19753494636,4997634143,316900,0,6000000,810000000,1
2026-03-12,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,137.0,136.0,140.0,132.0,137.0,0.0,2400200,321736500,267,101.0,137,129100,135,6200,19753494636,19753494636,4997634143,184200,11200,8400000,1134000000,1
2026-03-11,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,137.0,138.0,138.0,134.0,137.0,0.0,777900,105462200,169,101.0,137,81700,136,98900,19753494636,19753494636,4997634143,314700,5500,0,0,0
2026-03-10,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,135.0,136.0,139.0,131.0,137.0,2.0,1192700,160920900,228,101.0,137,125600,136,57700,19753494636,19753494636,4997634143,227500,0,0,0,0
2026-03-09,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,143.0,141.0,141.0,130.0,135.0,-8.0,5833800,793591100,493,99.5,135,183700,134,32100,19753494636,19753494636,4997634143,584000,100,0,0,0
2026-03-06,BACA,Bank Capital Indonesia Tbk.,--UO1105000000G111------------,148.0,148.0,150.0,140.0,143.0,-5.0,1503500,213320100,241,105.4,143,100000,142,197000,19753494636,19753494636,4997634143,140900,616100,86700000,12398100000,2
