Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-30,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,64.0,0.0,64.0,63.0,64.0,0.0,97800,6162000,20,830.1,64,200,63,12300,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-29,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,65.0,0.0,64.0,64.0,64.0,-1.0,99400,6361600,18,830.1,64,33700,63,60900,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-28,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,64.0,0.0,65.0,63.0,65.0,1.0,2700,172200,13,843.1,65,124900,64,10500,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-27,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,65.0,0.0,65.0,64.0,64.0,-1.0,128200,8321200,19,830.1,65,2000,64,1200,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-24,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,65.0,0.0,65.0,63.0,65.0,0.0,50900,3230300,27,843.1,65,232500,64,26900,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-23,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,68.0,0.0,67.0,65.0,65.0,-3.0,153800,10074600,42,843.1,65,39000,64,45500,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-22,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,66.0,0.0,70.0,66.0,68.0,2.0,85500,5745000,51,882.0,68,62000,66,44400,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-21,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,66.0,0.0,70.0,65.0,66.0,0.0,200200,13682300,30,856.0,68,7300,65,37500,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-20,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,67.0,0.0,67.0,65.0,66.0,-1.0,229200,15125600,41,856.0,67,61500,66,48200,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-17,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,64.0,0.0,67.0,63.0,67.0,3.0,1168400,77026200,48,869.0,67,38800,64,100,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-16,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,64.0,0.0,66.0,64.0,64.0,0.0,56600,3642400,27,830.1,65,1400,64,7000,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-15,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,66.0,0.0,66.0,64.0,64.0,-2.0,140500,9206800,29,830.1,64,36800,0,0,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-14,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,64.0,0.0,66.0,64.0,66.0,2.0,97200,6337000,19,856.0,67,100,66,99600,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-13,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,64.0,0.0,64.0,64.0,64.0,0.0,115500,7392000,32,830.1,65,2300,64,97100,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-10,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,59.0,0.0,64.0,60.0,64.0,5.0,62100,3919600,18,830.1,0,0,64,54200,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-09,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,59.0,0.0,59.0,59.0,59.0,0.0,539800,31848200,24,765.2,60,300,59,36800,1300000000,1300000000,220480000,200000,0,0,0,0
2026-04-08,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,57.0,0.0,59.0,57.0,59.0,2.0,23900,1399700,25,765.2,59,2700,58,1200,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-07,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,58.0,0.0,57.0,55.0,57.0,-1.0,88800,4936000,25,739.3,57,8000,55,126500,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-06,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,60.0,0.0,58.0,58.0,58.0,-2.0,323300,18751400,38,752.3,60,1900,58,3900,1300000000,1300000000,220480000,300000,0,0,0,0
2026-04-02,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E-L-------X,61.0,0.0,61.0,60.0,60.0,-1.0,91600,5557500,16,778.2,61,189000,56,57000,1300000000,1300000000,220480000,0,0,0,0,0
2026-04-01,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,61.0,0.0,61.0,61.0,61.0,0.0,38900,2372900,21,791.2,61,189200,60,100,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-31,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,56.0,0.0,61.0,56.0,61.0,5.0,104400,6127500,23,791.2,61,83900,59,200,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-30,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,60.0,0.0,59.0,56.0,56.0,-4.0,404500,22744100,48,726.3,57,200,56,551000,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-27,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,61.0,0.0,60.0,59.0,60.0,-1.0,5700,336800,13,778.2,60,99900,59,4500,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-26,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,61.0,0.0,61.0,59.0,61.0,0.0,69500,4123900,27,791.2,62,300,61,6100,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-25,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,63.0,0.0,62.0,61.0,61.0,-2.0,15600,960500,11,791.2,62,501900,61,14100,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-17,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,63.0,0.0,63.0,59.0,63.0,0.0,5100,310400,20,817.1,63,2400,62,20300,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-16,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,59.0,0.0,63.0,60.0,63.0,4.0,92500,5799300,28,817.1,0,0,63,10800,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-13,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,60.0,0.0,59.0,57.0,59.0,-1.0,76600,4370200,25,765.2,60,2800,59,500,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-12,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,60.0,0.0,61.0,59.0,60.0,0.0,8700,521100,16,778.2,61,3400,60,1200,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-11,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,58.0,0.0,60.0,58.0,60.0,2.0,68100,4064400,14,778.2,62,2500,60,47500,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-10,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,58.0,0.0,63.0,58.0,58.0,0.0,201600,11787300,33,752.3,63,1200,58,87200,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-09,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,63.0,0.0,59.0,57.0,58.0,-5.0,121900,7029900,31,752.3,60,40000,58,40100,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-06,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,65.0,0.0,63.0,60.0,63.0,-2.0,113100,6807000,25,817.1,65,268800,63,33000,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-05,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,60.0,0.0,65.0,59.0,65.0,5.0,266200,15901300,35,843.1,65,1700,60,20000,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-04,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,64.0,0.0,64.0,60.0,60.0,-4.0,219400,13200600,46,778.2,61,700,60,28200,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-03,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,65.0,0.0,64.0,64.0,64.0,-1.0,20900,1337600,18,830.1,64,151900,63,11100,1300000000,1300000000,220480000,0,0,0,0,0
2026-03-02,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,65.0,0.0,65.0,63.0,65.0,0.0,329200,21073800,41,843.1,65,268700,64,30000,1300000000,1300000000,220480000,0,0,0,0,0
2026-02-27,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,65.0,0.0,65.0,65.0,65.0,0.0,236400,15366000,38,843.1,65,404100,63,3100,1300000000,1300000000,220480000,0,0,0,0,0
2026-02-26,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,62.0,0.0,65.0,63.0,65.0,3.0,106200,6797300,44,843.1,65,96500,64,12700,1300000000,1300000000,220480000,0,0,0,0,0
2026-02-25,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,66.0,0.0,65.0,62.0,62.0,-4.0,269600,16924000,49,804.2,65,169900,62,34300,1300000000,1300000000,220480000,0,0,0,0,0
2026-02-24,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,67.0,0.0,67.0,66.0,66.0,-1.0,95900,6360300,52,856.0,66,4300,65,24600,1300000000,1300000000,220480000,0,0,0,0,0
2026-02-23,BATA,Sepatu Bata Tbk.,--U-4130000000E412-E---------X,68.0,0.0,68.0,66.0,67.0,-1.0,161600,10818800,56,869.0,68,67100,67,700,1300000000,1300000000,220480000,0,0,0,0,0
