Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-12,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,29.0,0.0,30.0,29.0,29.0,0.0,8333800,242641200,189,29.0,29,1222100,28,308200,4800182969,4800182969,1443895037,0,0,0,0,0
2026-05-11,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,32.0,0.0,31.0,29.0,29.0,-3.0,5431300,158445700,223,29.0,29,3039700,0,0,4800182969,4800182969,1443895037,0,0,0,0,0
2026-05-08,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,32.0,0.0,32.0,31.0,32.0,0.0,728600,23013800,107,32.0,32,2113800,31,1064500,4800182969,4800182969,1443895037,0,0,0,0,0
2026-05-07,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,32.0,0.0,32.0,31.0,32.0,0.0,1550600,49285800,122,32.0,32,250000,31,1365200,4800182969,4800182969,1443895037,0,0,0,0,0
2026-05-06,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,31.0,0.0,32.0,32.0,32.0,1.0,2281900,73020800,171,32.0,32,593100,31,1586100,4800182969,4800182969,1443895037,0,0,0,0,0
2026-05-05,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,32.0,0.0,32.0,31.0,31.0,-1.0,2741300,85286200,205,31.0,32,587000,31,560700,4800182969,4800182969,1443895037,0,0,0,0,0
2026-05-04,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,34.0,0.0,33.0,32.0,32.0,-2.0,3050800,99160300,183,32.0,33,2670800,32,320900,4800182969,4800182969,1443895037,0,0,0,0,0
2026-04-30,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,34.0,0.0,34.0,33.0,34.0,0.0,1533000,51539600,127,34.0,34,244000,33,513100,4800182969,4800182969,1443895037,0,0,0,0,0
2026-04-29,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,34.0,0.0,34.0,33.0,34.0,0.0,2590700,85764100,146,34.0,34,407000,33,73400,4800182969,4800182969,1443895037,0,0,0,0,0
2026-04-28,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,34.0,0.0,34.0,33.0,34.0,0.0,4375500,144813300,198,34.0,34,33900,33,36900,4800182969,4800182969,1443895037,0,0,0,0,0
2026-04-27,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,34.0,0.0,34.0,34.0,34.0,0.0,3281300,111564200,131,34.0,34,1949000,33,330700,4800182969,4800182969,1443895037,0,0,0,0,0
2026-04-24,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,35.0,0.0,35.0,34.0,34.0,-1.0,3688000,127683200,161,34.0,34,255000,33,361900,4800182969,4800182969,1443895037,0,0,0,0,0
2026-04-23,BAUT,Mitra Angkasa Sejahtera Tbk.,--U-4130000000E743-----------X,35.0,0.0,36.0,35.0,35.0,0.0,4658600,163173200,209,35.0,35,1587500,34,1106700,4800182969,4800182969,1443895037,0,0,0,0,0
