Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,BBHI,Allo Bank Indonesia Tbk.,--MO1105000000G111------------,1340.0,0.0,1370.0,1300.0,1330.0,-10.0,432800,576594000,110,5122.3,1330,9700,1310,5900,21512953877,21512953877,2146992797,116700,40600,0,0,0
2026-03-11,BBHI,Allo Bank Indonesia Tbk.,--MO1105000000G111------------,1340.0,0.0,1375.0,1330.0,1340.0,0.0,259000,348513000,51,5160.8,1340,10500,1335,100,21512953877,21512953877,2146992797,29200,0,0,0,0
2026-03-10,BBHI,Allo Bank Indonesia Tbk.,--MO1105000000G111------------,1330.0,1330.0,1350.0,1330.0,1340.0,10.0,167800,224133000,61,5160.8,1345,40100,1340,9400,21512953877,21512953877,2146992797,22700,15100,323368,389658440,1
2026-03-09,BBHI,Allo Bank Indonesia Tbk.,--MO1105000000G111------------,1350.0,1350.0,1355.0,1205.0,1330.0,-20.0,388100,517070500,154,5122.3,1330,2800,1320,200,21512953877,21512953877,2146992797,11800,13000,323368,544875080,1
2026-03-06,BBHI,Allo Bank Indonesia Tbk.,--MO1105000000G111------------,1365.0,0.0,1380.0,1345.0,1350.0,-15.0,242700,328372000,85,5199.3,1350,300,1340,3900,21512953877,21512953877,2146992797,54400,10300,12133300,16345188200,162
2026-03-05,BBHI,Allo Bank Indonesia Tbk.,--MO1105000000G111------------,1355.0,0.0,1380.0,1355.0,1365.0,10.0,98900,135163500,66,5257.1,1365,15000,1355,20900,21512953877,21512953877,2146992797,9900,100,0,0,0
2026-03-04,BBHI,Allo Bank Indonesia Tbk.,--MO1105000000G111------------,1385.0,1385.0,1385.0,1350.0,1355.0,-30.0,256800,348405500,120,5218.6,1370,1100,1355,100,21512953877,21512953877,2146992797,31900,10600,0,0,0
2026-03-03,BBHI,Allo Bank Indonesia Tbk.,--MO1105000000G111------------,1365.0,1370.0,1395.0,1370.0,1385.0,20.0,597800,823449000,105,5334.1,1395,324900,1380,200,21512953877,21512953877,2146992797,136700,400,127620,176753700,3
2026-03-02,BBHI,Allo Bank Indonesia Tbk.,--MO1105000000G111------------,1425.0,1400.0,1400.0,1260.0,1365.0,-60.0,516500,696712000,247,5257.1,1380,1000,1355,4800,21512953877,21512953877,2146992797,95800,167700,2756000,3994734100,28
2026-02-27,BBHI,Allo Bank Indonesia Tbk.,--MO1105000000G111------------,1380.0,1380.0,1425.0,1365.0,1425.0,45.0,538300,755271000,172,5488.2,1425,80800,1400,10600,21512953877,21512953877,2146992797,33000,115900,0,0,0
