Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-17,BBNI,Bank Negara Indonesia (Persero) Tbk.,--MO1UQSPHU600G111------------,3700.0,3690.0,3740.0,3690.0,3710.0,10.0,22706000,84223689000,8053,35.6,3710,7100,3700,955800,36924339786,36924339786,14444801724,6053500,12620000,4800207,17779968260,10
2026-04-16,BBNI,Bank Negara Indonesia (Persero) Tbk.,--MO1UQSPHU600G111------------,3670.0,3700.0,3700.0,3660.0,3700.0,30.0,30456000,112193632000,11860,35.5,3700,790200,3690,33100,36924339786,36924339786,14444801724,12672000,17696600,797129,2938236390,8
2026-04-15,BBNI,Bank Negara Indonesia (Persero) Tbk.,--MO1UQSPHU600G111------------,3740.0,3770.0,3790.0,3660.0,3670.0,-70.0,57711000,213844833000,20903,35.2,3680,116500,3670,390600,36924339786,36924339786,14444801724,19032300,17711700,650164,2400404157,4
2026-04-14,BBNI,Bank Negara Indonesia (Persero) Tbk.,XDMO1UQSPHU600G111------------,3680.0,3740.0,3780.0,3710.0,3740.0,60.0,51368500,192097073000,14731,35.9,3750,1874000,3740,137700,36924339786,36924339786,14444801724,5881000,23057000,1660300,6184555120,9
2026-04-13,BBNI,Bank Negara Indonesia (Persero) Tbk.,XDMO1UQSPHU600G111------------,3730.0,3710.0,3710.0,3660.0,3680.0,-50.0,36975400,136193470000,15056,35.3,3690,393700,3680,1447000,36924339786,36924339786,14444801724,9671100,12804500,1116,4123886,6
2026-04-10,BBNI,Bank Negara Indonesia (Persero) Tbk.,XDMO1UQSPHU600G111------------,3710.0,3730.0,3820.0,3700.0,3730.0,20.0,58848500,221155736000,17430,35.8,3740,33600,3730,726800,36924339786,36924339786,14444801724,15352100,29186400,126,470120,4
2026-04-09,BBNI,Bank Negara Indonesia (Persero) Tbk.,XDMO1UQSPHU600G111------------,3780.0,3760.0,3770.0,3680.0,3710.0,-70.0,55090400,204112525000,19632,35.6,3710,1151900,3700,121500,36924339786,36924339786,14444801724,28557800,28306300,649470,2402072850,7
2026-04-08,BBNI,Bank Negara Indonesia (Persero) Tbk.,XDMO1UQSPHU600G111------------,3510.0,3650.0,3800.0,3630.0,3780.0,270.0,112845200,419251662000,29546,36.3,3780,1199400,3770,241100,36924339786,36924339786,14444801724,19858300,58403600,330131,1501993440,4
2026-04-07,BBNI,Bank Negara Indonesia (Persero) Tbk.,XDMO1UQSPHU600G111------------,3640.0,3640.0,3660.0,3510.0,3510.0,-130.0,101473800,360382183000,33019,33.7,3520,22200,3510,678900,36924339786,36924339786,14444801724,19443100,19154700,115288,357533584,6
2026-04-06,BBNI,Bank Negara Indonesia (Persero) Tbk.,XDMO1UQSPHU600G111------------,3700.0,3700.0,3720.0,3630.0,3640.0,-60.0,45425200,166323360000,19418,34.9,3650,77800,3640,86600,36924339786,36924339786,14444801724,17870800,3905900,156,578672,3
