Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-06,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,137.0,136.0,141.0,133.0,138.0,1.0,5394300,745446900,653,44.4,138,26900,137,36800,8479490328,8479490328,758066435,400400,462800,0,0,0
2026-04-02,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,145.0,145.0,145.0,136.0,137.0,-8.0,4008500,557266300,757,44.1,137,294900,136,161900,8479490328,8479490328,758066435,651600,164400,0,0,0
2026-04-01,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,137.0,140.0,155.0,140.0,145.0,8.0,22590200,3328525400,2883,46.7,147,116900,144,112500,8479490328,8479490328,758066435,3737600,2984400,0,0,0
2026-03-31,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,143.0,143.0,147.0,130.0,137.0,-6.0,5362100,740265900,825,44.1,137,19000,136,40000,8479490328,8479490328,758066435,1307300,712000,0,0,0
2026-03-30,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,139.0,139.0,144.0,131.0,143.0,4.0,6798800,935961400,691,46.1,143,111200,142,16000,8479490328,8479490328,758066435,1281300,1606600,0,0,0
2026-03-27,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,140.0,141.0,141.0,137.0,139.0,-1.0,603700,83758900,220,44.8,140,51800,139,975100,8479490328,8479490328,758066435,71700,30800,0,0,0
2026-03-26,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,142.0,143.0,147.0,135.0,140.0,-2.0,2159800,300340100,566,45.1,140,30700,139,19600,8479490328,8479490328,758066435,396200,693000,0,0,0
2026-03-25,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,130.0,130.0,152.0,127.0,142.0,12.0,10580800,1501976600,1304,45.7,143,8000,142,18400,8479490328,8479490328,758066435,2234200,2145500,0,0,0
2026-03-17,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,126.0,125.0,131.0,125.0,130.0,4.0,4610200,595776000,448,41.9,131,84700,130,158400,8479490328,8479490328,758066435,672800,618300,0,0,0
2026-03-16,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,128.0,128.0,129.0,120.0,126.0,-2.0,2965900,366555700,636,40.6,126,5700,125,1700,8479490328,8479490328,758066435,262500,1210600,0,0,0
2026-03-13,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,140.0,137.0,142.0,126.0,128.0,-12.0,5064700,666108600,777,41.2,128,57300,127,300,8479490328,8479490328,758066435,1263600,601300,0,0,0
2026-03-12,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,140.0,140.0,143.0,134.0,140.0,0.0,7281900,1017898100,1099,45.1,140,145200,139,100,8479490328,8479490328,758066435,1425300,2639700,0,0,0
2026-03-11,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,134.0,137.0,147.0,134.0,140.0,6.0,9506200,1349653800,1458,45.1,141,122500,140,53500,8479490328,8479490328,758066435,2838100,3315300,0,0,0
2026-03-10,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,131.0,138.0,140.0,129.0,134.0,3.0,4774300,640165800,864,43.2,134,55900,133,600,8479490328,8479490328,758066435,1548300,1687900,0,0,0
2026-03-09,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,150.0,140.0,143.0,129.0,131.0,-19.0,12752600,1705449100,1425,42.2,132,4400,131,288800,8479490328,8479490328,758066435,2494600,5501400,0,0,0
2026-03-06,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,153.0,154.0,156.0,144.0,150.0,-3.0,8960500,1332520700,1166,48.3,152,17000,150,149400,8479490328,8479490328,758066435,1185300,3079800,0,0,0
2026-03-05,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,151.0,158.0,162.0,148.0,153.0,2.0,12298300,1910852700,1573,49.3,154,63000,153,222200,8479490328,8479490328,758066435,2405800,3607400,0,0,0
2026-03-04,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,169.0,170.0,170.0,146.0,151.0,-18.0,26367400,4082105900,2879,48.6,152,132600,150,104600,8479490328,8479490328,758066435,8557800,6877700,0,0,0
2026-03-03,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,161.0,160.0,185.0,145.0,169.0,8.0,67938900,11672053200,7097,54.4,169,8600,168,900500,8479490328,8479490328,758066435,13385800,13015500,0,0,0
2026-03-02,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,189.0,186.0,196.0,161.0,161.0,-28.0,38700400,6768167600,5011,51.9,162,409500,161,438600,8479490328,8479490328,758066435,6253500,5658300,0,0,0
2026-02-27,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,185.0,185.0,189.0,174.0,189.0,4.0,11709200,2116877900,1888,60.9,189,72600,188,160400,8479490328,8479490328,758066435,1622000,3847600,0,0,0
2026-02-26,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,194.0,200.0,206.0,183.0,185.0,-9.0,24131700,4715301700,3482,59.6,187,29900,185,55300,8479490328,8479490328,758066435,4339500,3849400,0,0,0
2026-02-25,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,196.0,196.0,202.0,193.0,194.0,-2.0,15457500,3032339400,1953,62.5,195,3000,194,181400,8479490328,8479490328,758066435,1165700,1184600,0,0,0
2026-02-24,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,206.0,202.0,206.0,192.0,196.0,-10.0,22152700,4407121700,2851,63.1,197,5500,196,27700,8479490328,8479490328,758066435,2435000,850400,0,0,0
2026-02-23,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,200.0,200.0,212.0,200.0,206.0,6.0,23032500,4753306200,2689,66.3,208,879900,206,38300,8479490328,8479490328,758066435,1873900,3053700,0,0,0
2026-02-20,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,210.0,210.0,212.0,196.0,200.0,-10.0,19237700,3896092000,2855,64.4,202,11800,200,641400,8479490328,8479490328,758066435,2023700,2296700,0,0,0
2026-02-19,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,214.0,220.0,222.0,206.0,210.0,-4.0,33876400,7234435200,4631,67.6,210,437300,208,304500,8479490328,8479490328,758066435,1647800,1293400,0,0,0
2026-02-18,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,202.0,204.0,216.0,198.0,214.0,12.0,53450600,11207777100,5270,68.9,216,1843900,214,3036400,8479490328,8479490328,758066435,4239600,6754300,0,0,0
2026-02-13,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,204.0,208.0,212.0,195.0,202.0,-2.0,24221000,4915710800,3879,65.1,202,370900,200,1096400,8479490328,8479490328,758066435,3346600,2351200,0,0,0
2026-02-12,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,212.0,216.0,224.0,204.0,204.0,-8.0,51592000,10999962000,7337,65.7,206,657500,204,575700,8479490328,8479490328,758066435,10046300,3217600,0,0,0
2026-02-11,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,190.0,191.0,218.0,191.0,212.0,22.0,66176800,13475388900,6933,68.3,214,746600,212,6935000,8479490328,8479490328,758066435,4200100,13371500,0,0,0
2026-02-10,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--UO2135000000A122------------,191.0,191.0,204.0,178.0,190.0,-1.0,30928600,6014371600,4456,61.2,191,41600,190,394900,8479490328,8479490328,758066435,1166000,2606900,0,0,0
