Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-02,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,172.0,171.0,176.0,165.0,169.0,-3.0,148400,25465100,76,140.8,174,1600,165,60700,4800016020,4800016020,503041679,0,0,0,0,0
2026-04-01,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,172.0,178.0,178.0,165.0,172.0,0.0,107800,18488100,71,143.3,172,14400,170,11700,4800016020,4800016020,503041679,0,0,0,0,0
2026-03-31,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,171.0,0.0,177.0,166.0,172.0,1.0,406800,68771700,126,143.3,172,15000,169,15400,4800016020,4800016020,503041679,0,143400,0,0,0
2026-03-30,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,169.0,170.0,178.0,162.0,171.0,2.0,206600,34933200,113,142.5,174,2400,171,39400,4800016020,4800016020,503041679,0,52800,0,0,0
2026-03-27,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,174.0,182.0,193.0,160.0,169.0,-5.0,931800,165693900,420,140.8,169,38000,165,10000,4800016020,4800016020,503041679,52100,0,0,0,0
2026-03-26,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,165.0,165.0,180.0,165.0,174.0,9.0,328200,57374300,171,145.0,174,24700,168,2700,4800016020,4800016020,503041679,6600,0,0,0,0
2026-03-25,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,156.0,158.0,167.0,153.0,165.0,9.0,150400,24163000,153,137.5,167,1400,163,3100,4800016020,4800016020,503041679,0,0,0,0,0
2026-03-17,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,152.0,164.0,182.0,152.0,156.0,4.0,680900,112044600,704,130.0,159,200,156,8000,4800016020,4800016020,503041679,68700,70200,0,0,0
2026-03-16,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,166.0,166.0,166.0,147.0,152.0,-14.0,417400,63341200,254,126.7,155,2400,152,46400,4800016020,4800016020,503041679,25900,71000,9900,1584000,1
2026-03-13,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,175.0,176.0,177.0,165.0,166.0,-9.0,651000,110674100,131,138.3,168,66800,166,57100,4800016020,4800016020,503041679,34900,206800,0,0,0
2026-03-12,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,180.0,176.0,179.0,171.0,175.0,-5.0,175300,30551800,89,145.8,176,48500,173,2100,4800016020,4800016020,503041679,3800,55600,0,0,0
2026-03-11,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,180.0,179.0,184.0,175.0,180.0,0.0,198700,35286400,112,150.0,180,137100,176,4100,4800016020,4800016020,503041679,2200,15100,0,0,0
2026-03-10,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,176.0,164.0,183.0,160.0,180.0,4.0,1234600,222104800,214,150.0,181,10500,178,100,4800016020,4800016020,503041679,88200,15200,0,0,0
2026-03-09,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,176.0,152.0,184.0,152.0,176.0,0.0,2227200,389049500,377,146.7,176,9500,173,3100,4800016020,4800016020,503041679,160600,99000,0,0,0
2026-03-06,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,179.0,184.0,197.0,166.0,176.0,-3.0,4235600,730540000,635,146.7,178,13200,176,2300,4800016020,4800016020,503041679,410100,355000,0,0,0
2026-03-05,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,206.0,240.0,240.0,177.0,179.0,-27.0,37758300,6854733500,1480,149.2,182,5300,179,72500,4800016020,4800016020,503041679,309400,499300,0,0,0
2026-03-04,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,240.0,244.0,250.0,204.0,206.0,-34.0,1793200,394320800,412,171.7,210,6800,206,14300,4800016020,4800016020,503041679,13700,40000,0,0,0
2026-03-03,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--UO2135000000H111------------,252.0,252.0,252.0,240.0,240.0,-12.0,590900,142820000,191,200.0,242,5400,240,205000,4800016020,4800016020,503041679,2200,0,0,0,0
