Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-04,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,4240.0,4230.0,4330.0,4180.0,4250.0,10.0,10416700,44317357000,2685,2.4,4260,20600,4250,260500,9675817341,9675817341,729556628,1839700,2478400,750000,3600000000,1
2026-04-30,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,4250.0,4260.0,4380.0,4100.0,4240.0,-10.0,15759300,66778694000,5476,2.4,4240,822500,4180,2000,9675817341,9675817341,729556628,4235100,3294600,0,0,0
2026-04-29,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,3700.0,3700.0,4520.0,3700.0,4250.0,550.0,49401100,209566740000,13889,2.4,4260,500,4250,94100,9675817341,9675817341,729556628,10715900,9541500,5000,21400000,3
2026-04-28,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,3940.0,3910.0,3980.0,3670.0,3700.0,-240.0,13930000,52463337000,3549,2.1,3710,20000,3700,8900,9675817341,9675817341,729556628,1929700,3446900,0,0,0
2026-04-27,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,4030.0,4050.0,4090.0,3880.0,3940.0,-90.0,12785300,51009849000,3631,2.2,3950,2800,3940,231900,9675817341,9675817341,729556628,2189700,3463900,12800,49920000,1
2026-04-24,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,4290.0,4270.0,4280.0,3840.0,4030.0,-260.0,36257700,144904594000,9478,2.3,4030,64300,4020,12100,9675817341,9675817341,729556628,3583500,10978100,51,198390,1
2026-04-23,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,3850.0,4800.0,4800.0,4070.0,4290.0,440.0,99621700,443839540000,25699,2.4,4300,64900,4290,119000,9675817341,9675817341,729556628,14355200,13558200,0,0,0
2026-04-22,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,3080.0,3080.0,3850.0,2960.0,3850.0,770.0,44878800,163663934000,7128,2.2,0,0,3850,55521000,9675817341,9675817341,729556628,4847400,6407300,20000,77000000,1
2026-04-21,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,2600.0,2610.0,3110.0,2590.0,3080.0,480.0,23458800,67998302000,8487,1.7,3090,553900,3080,253600,9675817341,9675817341,729556628,849300,5374400,0,0,0
2026-04-20,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,2560.0,2560.0,2610.0,2560.0,2600.0,40.0,2891700,7511725000,985,1.5,2610,43900,2600,1000,9675817341,9675817341,729556628,246200,550200,0,0,0
2026-04-17,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,2480.0,2480.0,2590.0,2480.0,2560.0,80.0,2644700,6742799000,1478,1.4,2560,5700,2550,36100,9675817341,9675817341,729556628,717000,311400,0,0,0
2026-04-16,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,2480.0,2480.0,2500.0,2480.0,2480.0,0.0,877600,2184254000,552,1.4,2490,10000,2480,83900,9675817341,9675817341,729556628,147700,33400,0,0,0
2026-04-15,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,2500.0,2510.0,2520.0,2470.0,2480.0,-20.0,1018500,2534866000,689,1.4,2490,1200,2480,135600,9675817341,9675817341,729556628,66500,106500,0,0,0
2026-04-14,BDMN,Bank Danamon Indonesia Tbk.,XDMO1155005000G111------------,2480.0,2480.0,2520.0,2480.0,2500.0,20.0,1244300,3113792000,484,1.4,2500,48800,2490,34500,9675817341,9675817341,729556628,73400,136100,0,0,0
2026-04-13,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2500.0,2500.0,2500.0,2460.0,2480.0,-20.0,1602900,3976323000,991,1.4,2480,3400,2470,127600,9675817341,9675817341,729556628,669000,283600,0,0,0
2026-04-10,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2620.0,2480.0,2530.0,2450.0,2500.0,-120.0,3269000,8155182000,1804,1.4,2510,7800,2500,121400,9675817341,9675817341,729556628,786200,191700,30,78600,1
2026-04-09,BDMN,Bank Danamon Indonesia Tbk.,CDMO1155005000G111------------,2600.0,2610.0,2640.0,2600.0,2620.0,20.0,5353200,14027271000,1915,1.5,2630,16800,2620,151700,9675817341,9675817341,729556628,1343700,352300,0,0,0
2026-04-08,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2560.0,2600.0,2620.0,2570.0,2600.0,40.0,2649000,6882229000,1293,1.5,2610,50100,2600,28900,9675817341,9675817341,729556628,1441000,144800,0,0,0
2026-04-07,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2570.0,2590.0,2590.0,2550.0,2560.0,-10.0,1577400,4048287000,969,1.4,2570,25300,2560,59600,9675817341,9675817341,729556628,1062600,11900,0,0,0
2026-04-06,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2550.0,2590.0,2590.0,2550.0,2570.0,20.0,802600,2064647000,512,1.5,2590,37700,2570,49500,9675817341,9675817341,729556628,474600,42400,149700,449100000,1
2026-04-02,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2570.0,2560.0,2570.0,2540.0,2550.0,-20.0,451400,1154101000,316,1.4,2560,100,2550,47700,9675817341,9675817341,729556628,246000,15600,0,0,0
2026-04-01,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2540.0,2600.0,2600.0,2550.0,2570.0,30.0,722400,1850511000,310,1.5,2580,20400,2560,116000,9675817341,9675817341,729556628,152900,18900,0,0,0
2026-03-31,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2530.0,2520.0,2620.0,2520.0,2540.0,10.0,1093300,2785440000,465,1.4,2550,100,2540,21900,9675817341,9675817341,729556628,578200,43800,0,0,0
2026-03-30,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2540.0,2520.0,2560.0,2520.0,2530.0,-10.0,655200,1658440000,456,1.4,2540,700,2530,14100,9675817341,9675817341,729556628,175100,60500,0,0,0
2026-03-27,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2560.0,2560.0,2570.0,2540.0,2540.0,-20.0,535600,1364757000,247,1.4,2570,35900,2540,88100,9675817341,9675817341,729556628,143400,14500,34000,85000000,1
2026-03-26,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2560.0,2570.0,2590.0,2550.0,2560.0,0.0,702100,1803415000,443,1.4,2570,5000,2560,28400,9675817341,9675817341,729556628,562300,62700,37,92500,1
2026-03-25,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2510.0,2510.0,2570.0,2490.0,2560.0,50.0,953000,2422861000,765,1.4,2570,28000,2550,21800,9675817341,9675817341,729556628,372500,367400,0,0,0
2026-03-17,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2480.0,2500.0,2540.0,2500.0,2510.0,30.0,834500,2096777000,433,1.4,2520,21100,2500,202500,9675817341,9675817341,729556628,325600,141300,0,0,0
2026-03-16,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2490.0,2510.0,2510.0,2450.0,2480.0,-10.0,478900,1185170000,500,1.4,2490,8000,2480,100400,9675817341,9675817341,729556628,222100,45900,0,0,0
2026-03-13,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2530.0,0.0,2530.0,2490.0,2490.0,-40.0,941800,2360225000,515,1.4,2500,135600,2490,162200,9675817341,9675817341,729556628,333100,11200,0,0,0
2026-03-12,BDMN,Bank Danamon Indonesia Tbk.,--MO1155005000G111------------,2560.0,2590.0,2590.0,2530.0,2530.0,-30.0,614500,1564323000,440,1.4,2550,55500,2530,135700,9675817341,9675817341,729556628,256800,3000,0,0,0
