Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-13,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,26.0,0.0,26.0,25.0,25.0,-1.0,28595200,716952700,609,48.3,26,11321700,25,1862700,51351733883,51351733883,17526346774,0,0,0,0,0
2026-05-12,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,25.0,0.0,26.0,25.0,26.0,1.0,28297100,716584000,334,50.2,26,12583300,25,15498500,51351733883,51351733883,17526346774,0,0,0,0,0
2026-05-11,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,26.0,0.0,26.0,25.0,25.0,-1.0,17640600,451744800,426,48.3,26,1034100,25,24187800,51351733883,51351733883,17526346774,0,0,0,0,0
2026-05-08,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,27.0,0.0,27.0,26.0,26.0,-1.0,28128500,736626700,419,50.2,26,1757500,25,18255100,51351733883,51351733883,17526346774,0,0,39,1053,1
2026-05-07,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,27.0,0.0,27.0,26.0,27.0,0.0,6102400,163369800,262,52.1,27,3727500,26,16928300,51351733883,51351733883,17526346774,0,0,0,0,0
2026-05-06,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,27.0,0.0,27.0,27.0,27.0,0.0,20833000,562491000,343,52.1,27,3383300,26,16464800,51351733883,51351733883,17526346774,0,0,86,2150,1
2026-05-05,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,26.0,0.0,27.0,26.0,27.0,1.0,17390500,464511700,319,52.1,27,12332300,26,20347000,51351733883,51351733883,17526346774,0,0,0,0,0
2026-05-04,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,27.0,0.0,27.0,26.0,26.0,-1.0,15166100,404917300,380,50.2,27,4014300,26,22817400,51351733883,51351733883,17526346774,0,0,0,0,0
2026-04-30,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,27.0,0.0,27.0,27.0,27.0,0.0,51454300,1389266100,413,52.1,28,16570100,27,33202000,51351733883,51351733883,17526346774,0,0,0,0,0
2026-04-29,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,28.0,0.0,27.0,27.0,27.0,-1.0,32267100,871211700,584,52.1,28,15560900,27,9088100,51351733883,51351733883,17526346774,0,0,0,0,0
