Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-27,BISI,BISI International Tbk.,--UO1135000000D232------------,870.0,855.0,870.0,840.0,840.0,-30.0,430800,365673000,211,420.0,860,1800,840,49900,3000000000,3000000000,1035900000,184800,51900,0,0,0
2026-03-26,BISI,BISI International Tbk.,--UO1135000000D232------------,880.0,880.0,885.0,855.0,870.0,-10.0,420200,364994500,329,435.0,875,21800,870,4400,3000000000,3000000000,1035900000,139700,24800,0,0,0
2026-03-25,BISI,BISI International Tbk.,--UO1135000000D232------------,835.0,840.0,890.0,840.0,880.0,45.0,772900,674347000,323,440.0,885,12100,875,20200,3000000000,3000000000,1035900000,36100,35100,0,0,0
2026-03-17,BISI,BISI International Tbk.,--UO1135000000D232------------,815.0,810.0,835.0,805.0,835.0,20.0,274600,224343500,257,417.5,835,4900,830,1200,3000000000,3000000000,1035900000,0,121400,0,0,0
2026-03-16,BISI,BISI International Tbk.,--UO1135000000D232------------,845.0,845.0,845.0,800.0,815.0,-30.0,386200,316705000,288,407.5,820,24600,815,6300,3000000000,3000000000,1035900000,30000,0,0,0,0
2026-03-13,BISI,BISI International Tbk.,--UO1135000000D232------------,850.0,855.0,860.0,835.0,845.0,-5.0,214200,180726500,200,422.5,845,3000,840,12000,3000000000,3000000000,1035900000,17400,0,0,0,0
2026-03-12,BISI,BISI International Tbk.,--UO1135000000D232------------,845.0,855.0,855.0,835.0,850.0,5.0,221200,186388000,151,425.0,855,14300,850,8400,3000000000,3000000000,1035900000,4200,0,0,0,0
2026-03-11,BISI,BISI International Tbk.,--UO1135000000D232------------,865.0,875.0,875.0,840.0,845.0,-20.0,283300,241620500,192,422.5,855,10200,845,7200,3000000000,3000000000,1035900000,16000,12800,0,0,0
2026-03-10,BISI,BISI International Tbk.,--UO1135000000D232------------,870.0,860.0,865.0,840.0,865.0,-5.0,250100,212889500,216,432.5,865,15000,860,22200,3000000000,3000000000,1035900000,21800,0,0,0,0
2026-03-09,BISI,BISI International Tbk.,--UO1135000000D232------------,860.0,865.0,890.0,850.0,870.0,10.0,443600,384566500,235,435.0,870,23800,865,1500,3000000000,3000000000,1035900000,30600,0,0,0,0
