Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-22,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,855.0,855.0,880.0,855.0,880.0,25.0,7166900,6237341500,1491,147.2,880,962200,875,356600,10416229249,10275158214,2571767002,296300,1915500,0,0,0
2026-04-21,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,845.0,850.0,860.0,845.0,855.0,10.0,3695400,3153697000,1087,143.0,860,360200,855,135800,10416229249,10275158214,2571767002,373000,2629800,0,0,0
2026-04-20,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,845.0,845.0,855.0,845.0,845.0,0.0,3289800,2788270000,1007,141.3,850,387800,845,20500,10416229249,10275158214,2571767002,5000,722300,0,0,0
2026-04-17,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,845.0,845.0,850.0,845.0,845.0,0.0,1321400,1120861500,596,141.3,850,803500,845,507900,10416229249,10275158214,2571767002,15600,260900,0,0,0
2026-04-16,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,840.0,845.0,850.0,840.0,845.0,5.0,3391200,2862071000,832,141.3,845,40800,840,229400,10416229249,10275158214,2571767002,561500,1073400,23,19320,1
2026-04-15,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,850.0,850.0,850.0,840.0,840.0,-10.0,4836000,4080253500,1070,140.5,845,316600,840,40700,10416229249,10275158214,2571767002,392900,1811800,0,0,0
2026-04-14,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,835.0,840.0,850.0,835.0,850.0,15.0,4142900,3494255000,884,142.2,850,3650900,845,200000,10416229249,10275158214,2571767002,585600,328600,0,0,0
2026-04-13,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,835.0,835.0,840.0,830.0,835.0,0.0,2973900,2474864500,921,139.7,840,746700,835,521800,10416229249,10275158214,2571767002,780400,380900,0,0,0
2026-04-10,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,830.0,830.0,845.0,825.0,835.0,5.0,4628400,3869663000,938,139.7,840,800300,835,254500,10416229249,10275158214,2571767002,2072800,275600,28,23100,1
2026-04-09,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,830.0,835.0,835.0,825.0,830.0,0.0,1614500,1337300000,707,138.8,830,79200,825,335300,10416229249,10275158214,2571767002,844700,301400,0,0,0
2026-04-08,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,825.0,825.0,835.0,815.0,830.0,5.0,3546500,2934217000,1082,138.8,835,467200,830,12600,10416229249,10275158214,2571767002,1220400,653500,0,0,0
2026-04-07,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,815.0,815.0,825.0,815.0,825.0,10.0,2018100,1652455500,1091,138.0,825,231000,820,8600,10416229249,10275158214,2571767002,671900,147700,0,0,0
2026-04-06,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,825.0,825.0,830.0,815.0,815.0,-10.0,1945500,1599461000,846,136.3,820,6700,815,698800,10416229249,10275158214,2571767002,278000,153600,0,0,0
2026-04-02,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,820.0,820.0,830.0,815.0,825.0,5.0,3073900,2537312500,1003,138.0,825,126200,820,197300,10416229249,10275158214,2571767002,146500,552800,0,0,0
2026-04-01,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--MO115F301000G111------------,810.0,820.0,820.0,810.0,820.0,10.0,2080000,1701572000,911,137.2,825,494500,820,8600,10416229249,10275158214,2571767002,326000,235100,0,0,0
