Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-28,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,41.0,0.0,42.0,41.0,42.0,1.0,4322600,180089200,194,0.6,42,14321600,41,1084400,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-27,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,41.0,0.0,42.0,41.0,41.0,0.0,4028400,166527600,208,0.5,42,3951400,41,987600,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-24,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,43.0,0.0,42.0,41.0,41.0,-2.0,8377300,345885900,394,0.5,42,2253200,41,148600,25940187103,25940187103,11906545880,0,0,150000,5850000,1
2026-04-23,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,43.0,0.0,44.0,43.0,43.0,0.0,11659900,509081600,621,0.6,43,422000,42,1017100,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-22,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,41.0,0.0,43.0,42.0,43.0,2.0,17072100,719969200,287,0.6,44,2630700,43,136600,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-21,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,41.0,0.0,41.0,40.0,41.0,0.0,8112900,329612000,262,0.5,42,2134000,41,126600,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-20,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,42.0,0.0,42.0,41.0,41.0,-1.0,12954300,532100600,292,0.5,42,5483900,41,1371100,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-17,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,42.0,0.0,42.0,41.0,42.0,0.0,13380400,560399500,255,0.6,43,773200,42,3000,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-16,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,41.0,0.0,42.0,41.0,42.0,1.0,12514500,514999800,267,0.6,42,1730700,41,2445500,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-15,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,42.0,0.0,41.0,41.0,41.0,-1.0,21355900,875591900,457,0.5,41,789200,40,1536800,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-14,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,41.0,0.0,42.0,41.0,42.0,1.0,6322600,264183200,272,0.6,43,498300,41,9471700,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-13,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,42.0,0.0,42.0,41.0,41.0,-1.0,13082000,537384400,250,0.5,42,4406200,41,8523500,25940187103,25940187103,11906545880,20000,0,0,0,0
2026-04-10,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,42.0,0.0,42.0,42.0,42.0,0.0,6235500,261891000,196,0.6,43,312100,42,5831800,25940187103,25940187103,11906545880,200000,0,0,0,0
2026-04-09,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,41.0,0.0,42.0,41.0,42.0,1.0,5680300,233378700,142,0.6,42,528000,41,4460100,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-08,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,41.0,0.0,41.0,41.0,41.0,0.0,15577200,638665200,350,0.5,42,1941500,41,62800,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-07,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,41.0,0.0,42.0,41.0,41.0,0.0,5940000,244183000,167,0.5,42,3207500,41,5339600,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-06,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,41.0,0.0,41.0,41.0,41.0,0.0,10510200,430918200,190,0.5,42,2149100,41,1542200,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-02,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,43.0,0.0,42.0,41.0,41.0,-2.0,7491500,310435200,430,0.5,41,634500,40,8981700,25940187103,25940187103,11906545880,0,0,0,0,0
2026-04-01,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,43.0,0.0,43.0,42.0,43.0,0.0,38393600,1627836600,528,0.6,43,1832100,42,1235200,25940187103,25940187103,11906545880,0,0,0,0,0
2026-03-31,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,47.0,0.0,47.0,43.0,43.0,-4.0,27322100,1183103100,572,0.6,43,7091600,0,0,25940187103,25940187103,11903951862,0,0,0,0,0
2026-03-30,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,47.0,0.0,50.0,45.0,47.0,0.0,13327000,630763600,385,0.6,49,2225500,47,2284400,25940187103,25940187103,11903951862,225000,0,0,0,0
2026-03-27,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,50.0,0.0,48.0,47.0,47.0,-3.0,6827900,324483100,334,0.6,48,1493200,47,824800,25940187103,25940187103,11903951862,1000,0,0,0,0
2026-03-26,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,49.0,0.0,53.0,49.0,50.0,1.0,37385400,1927361700,647,0.7,50,8155300,49,2807100,25940187103,25940187103,11903951862,0,0,0,0,0
