Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-13,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,760.0,725.0,740.0,720.0,735.0,-25.0,15305100,11185864500,2030,144.0,740,31700,735,1025600,21171365812,21171365812,5822125598,6025000,1752600,4,2960,1
2026-05-12,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,760.0,760.0,765.0,750.0,760.0,0.0,8408000,6377471000,952,148.9,765,265900,760,370400,21171365812,21171365812,5822125598,3221800,3094900,50,38000,1
2026-05-11,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,760.0,760.0,765.0,750.0,760.0,0.0,6487600,4923940000,776,148.9,765,55700,760,1178600,21171365812,21171365812,5822125598,1593900,421500,26,19760,1
2026-05-08,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,785.0,785.0,785.0,755.0,760.0,-25.0,11847500,9083776000,1904,148.9,760,221400,755,457400,21171365812,21171365812,5822125598,4356300,556600,0,0,0
2026-05-07,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,770.0,775.0,785.0,760.0,785.0,15.0,11610300,8971301000,1556,153.8,785,283400,780,56400,21171365812,21171365812,5822125598,889600,1908100,0,0,0
2026-05-06,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,770.0,770.0,780.0,760.0,770.0,0.0,6050100,4649311500,919,150.8,775,54800,770,771000,21171365812,21171365812,5822125598,1175000,1398400,0,0,0
2026-05-05,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,770.0,780.0,785.0,755.0,770.0,0.0,6426300,4918504000,946,150.8,770,14000,765,201900,21171365812,21171365812,5822125598,1083700,937500,0,0,0
2026-05-04,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,770.0,775.0,785.0,765.0,770.0,0.0,4687000,3624588500,1029,150.8,775,87800,770,83300,21171365812,21171365812,5822125598,1291100,1327400,0,0,0
2026-04-30,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,825.0,815.0,815.0,765.0,770.0,-55.0,13726600,10750264500,2552,150.8,775,8400,770,947500,21171365812,21171365812,5822125598,3447800,1554900,102,78600,2
2026-04-29,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,825.0,830.0,835.0,800.0,825.0,0.0,12221600,9995383500,2693,161.6,825,449400,820,76900,21171365812,21171365812,5822125598,3071000,1932900,0,0,0
2026-04-28,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,795.0,795.0,825.0,780.0,825.0,30.0,16698900,13466695000,2507,161.6,825,9000,820,8500,21171365812,21171365812,5822125598,2520500,3160000,1710353700,1505111256000,2
2026-04-27,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,745.0,740.0,795.0,730.0,795.0,50.0,20308500,15633110500,1353,155.7,800,301300,795,707600,21171365812,21171365812,5822125598,4117500,1368800,0,0,0
2026-04-24,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,790.0,790.0,795.0,740.0,745.0,-45.0,21151400,15970457500,2605,145.9,750,587200,745,37700,21171365812,21171365812,5822125598,7523400,1863600,2,1490,1
2026-04-23,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,800.0,800.0,805.0,790.0,790.0,-10.0,6709200,5336038000,1401,154.7,795,6300,790,762200,21171365812,21171365812,5822125598,1956800,540800,0,0,0
2026-04-22,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,785.0,785.0,805.0,780.0,800.0,15.0,5985100,4770360500,1084,156.7,805,1091000,795,317200,21171365812,21171365812,5822125598,868600,871600,67,52327,1
2026-04-21,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,785.0,785.0,790.0,775.0,785.0,0.0,9428100,7346567500,1181,153.8,785,107400,780,5700,21171365812,21171365812,5822125598,811900,1118600,0,0,0
2026-04-20,BSDE,Bumi Serpong Damai Tbk.,--MO183FM81000H111------------,790.0,790.0,800.0,785.0,785.0,-5.0,2085700,1649727500,676,153.8,790,201800,785,1339900,21171365812,21171365812,5822125598,941200,412800,0,0,0
