Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-06,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1425,100,1215,100,3651978177,3651978177,280471924,0,0,0,0,0
2026-05-05,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1300,500,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-05-04,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1350,4900,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-30,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1425,100,1215,100,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-29,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1300,500,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-28,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1305,500,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-27,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1350,500,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-24,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1305,500,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-23,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1300,500,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-22,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1425,100,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-21,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1350,700,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-20,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1350,200,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-17,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1350,100,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-16,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1350,100,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-15,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1350,100,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-14,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1425,200,0,0,3651978177,3651978177,280471924,0,0,0,0,0
2026-04-13,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,1350.0,0.0,0.0,0.0,1350.0,0.0,0,0,0,1488.6,1425,200,1350,3100,3651978177,3651978177,280471924,0,0,0,0,0
