Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-09,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,170.0,0.0,187.0,169.0,169.0,-1.0,13766300,2455863200,8500,48.3,171,10000,169,1115500,1431125517,1431125517,0,493400,28800,0,0,0
2026-04-08,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,155.0,0.0,170.0,156.0,170.0,15.0,5705800,967150400,416,48.6,0,0,170,4069600,1431125517,1431125517,0,0,364300,0,0,0
2026-04-07,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,155.0,0.0,159.0,151.0,155.0,0.0,634100,97784200,147,44.3,156,33100,155,381500,1431125517,1431125517,0,100,128800,0,0,0
2026-04-06,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,154.0,0.0,159.0,150.0,155.0,1.0,827900,128596000,220,44.3,155,24400,154,40300,1431125517,1431125517,0,0,0,0,0,0
2026-04-02,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,169.0,0.0,168.0,153.0,154.0,-15.0,6033100,941796900,659,44.0,156,7600,154,577000,1431125517,1431125517,0,4000,100000,0,0,0
2026-04-01,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,174.0,0.0,174.0,165.0,169.0,-5.0,2555500,428835100,470,48.3,169,1026100,167,500,1431125517,1431125517,0,52000,100000,0,0,0
2026-03-31,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,177.0,0.0,189.0,173.0,174.0,-3.0,1378100,245084000,398,49.7,175,55300,174,700,1431125517,1431125517,0,232800,0,0,0,0
2026-03-30,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,188.0,0.0,200.0,175.0,177.0,-11.0,898000,162084600,337,50.6,177,2517400,176,37000,1431125517,1431125517,0,57100,0,0,0,0
2026-03-27,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,180.0,0.0,194.0,176.0,188.0,8.0,1078600,197129800,201,53.7,188,71100,187,2601600,1431125517,1431125517,0,0,75500,0,0,0
2026-03-26,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,181.0,0.0,184.0,176.0,180.0,-1.0,919000,165372100,235,51.4,180,25600,179,2190900,1431125517,1431125517,0,2800,61200,0,0,0
2026-03-25,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,190.0,0.0,200.0,174.0,181.0,-9.0,1987600,361156200,410,51.7,181,900,180,44700,1431125517,1431125517,0,0,58300,0,0,0
2026-03-17,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,199.0,0.0,214.0,184.0,190.0,-9.0,5505500,1045470900,1645,54.3,190,124400,189,2755200,1431125517,1431125517,0,833500,290600,0,0,0
2026-03-16,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,185.0,0.0,200.0,167.0,199.0,14.0,7597700,1335749200,658,56.9,199,4681400,186,10000,1431125517,1431125517,0,599700,321500,0,0,0
2026-03-13,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,194.0,0.0,204.0,178.0,185.0,-9.0,4828900,891586700,756,52.9,185,82900,184,500,1431125517,1431125517,0,1100,287200,0,0,0
2026-03-12,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,198.0,0.0,214.0,189.0,194.0,-4.0,14820100,3008896700,2362,55.4,195,19200,194,3200,1431125517,1431125517,0,2197400,179300,66605200,14320118000,3
