Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-20,CCSI,Communication Cable Systems Indonesia Tbk.,--UO2130000000C131------------,268.0,266.0,266.0,260.0,264.0,-4.0,258300,67513800,94,126.5,264,13800,260,2200,1333333331,532521331,121733333,0,0,0,0,0
2026-04-17,CCSI,Communication Cable Systems Indonesia Tbk.,--UO2130000000C131------------,260.0,0.0,268.0,256.0,268.0,8.0,380100,99965000,136,128.4,268,98900,266,3100,1333333331,532521331,121733333,200,0,0,0,0
2026-04-16,CCSI,Communication Cable Systems Indonesia Tbk.,--UO2130000000C131------------,260.0,264.0,268.0,254.0,260.0,0.0,167300,43434400,100,124.6,260,6500,254,11800,1333333331,532521331,121733333,0,0,0,0,0
2026-04-15,CCSI,Communication Cable Systems Indonesia Tbk.,--UO2130000000C131------------,268.0,268.0,290.0,248.0,260.0,-8.0,545800,140306400,263,124.6,264,7100,260,5500,1333333331,532521331,121733333,17000,0,0,0,0
2026-04-14,CCSI,Communication Cable Systems Indonesia Tbk.,--UO2130000000C131------------,254.0,254.0,268.0,254.0,268.0,14.0,310500,80310200,109,128.4,266,1900,260,2700,1333333331,532521331,121733333,2000,0,0,0,0
2026-04-13,CCSI,Communication Cable Systems Indonesia Tbk.,--UO2130000000C131------------,254.0,258.0,260.0,240.0,254.0,0.0,85800,21549000,44,121.7,250,8600,246,4200,1333333331,532521331,121733333,20900,0,0,0,0
2026-04-10,CCSI,Communication Cable Systems Indonesia Tbk.,--UO2130000000C131------------,250.0,252.0,258.0,252.0,254.0,4.0,48200,12197400,54,121.7,254,518400,252,1500,1333333331,532521331,121733333,16300,0,0,0,0
2026-04-09,CCSI,Communication Cable Systems Indonesia Tbk.,--UO2130000000C131------------,252.0,252.0,252.0,242.0,250.0,-2.0,111300,27714600,69,119.8,250,29200,248,1000,1333333331,532521331,121733333,0,0,0,0,0
2026-04-08,CCSI,Communication Cable Systems Indonesia Tbk.,--UO2130000000C131------------,248.0,256.0,258.0,250.0,252.0,4.0,323800,81665400,64,120.8,252,162800,250,60800,1333333331,532521331,121733333,20000,124100,0,0,0
2026-04-07,CCSI,Communication Cable Systems Indonesia Tbk.,--UO2130000000C131------------,254.0,254.0,254.0,246.0,248.0,-6.0,114300,28433800,35,118.8,248,2000,244,100,1333333331,532521331,121733333,0,0,0,0,0
