Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-25,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2200.0,2230.0,2250.0,2200.0,2200.0,0.0,20600,45901000,44,454.5,2250,900,2200,1300,595000000,595000000,76398000,0,3300,0,0,0
2026-03-17,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2200.0,0.0,2240.0,2200.0,2200.0,0.0,27400,60665000,45,454.5,2230,400,2190,300,595000000,595000000,76398000,0,0,0,0,0
2026-03-16,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2220.0,2220.0,2220.0,2180.0,2200.0,-20.0,40800,89732000,54,454.5,2200,9600,2190,2500,595000000,595000000,76398000,7400,2400,0,0,0
2026-03-13,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2250.0,0.0,2240.0,2200.0,2220.0,-30.0,22500,49578000,63,458.7,2220,6000,2200,19900,595000000,595000000,76398000,400,0,0,0,0
2026-03-12,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2250.0,0.0,2280.0,2240.0,2250.0,0.0,8700,19616000,46,464.9,2250,700,2240,5600,595000000,595000000,76398000,0,0,0,0,0
2026-03-11,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2370.0,2370.0,2370.0,2240.0,2250.0,-120.0,168600,389436000,141,464.9,2300,2200,2250,10600,595000000,595000000,76398000,0,12000,0,0,0
2026-03-10,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2380.0,0.0,2370.0,2210.0,2370.0,-10.0,26100,60420000,50,489.7,2370,141400,2260,500,595000000,595000000,76398000,3500,6900,0,0,0
2026-03-09,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2350.0,2350.0,2450.0,2190.0,2380.0,30.0,193900,436834000,190,491.7,2370,50300,2280,500,595000000,595000000,76398000,5400,0,0,0,0
2026-03-06,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2330.0,0.0,2350.0,2290.0,2350.0,20.0,14500,33759000,26,485.5,2350,1700,2320,2300,595000000,595000000,76398000,600,0,0,0,0
2026-03-05,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2320.0,0.0,2380.0,2290.0,2330.0,10.0,3300,7653000,14,481.4,2340,2000,2330,200,595000000,595000000,76398000,0,1500,5950000,13393450000,1
2026-03-04,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2350.0,0.0,2350.0,2220.0,2320.0,-30.0,65500,149981000,101,479.3,2320,3900,2240,500,595000000,595000000,76398000,1500,800,0,0,0
2026-03-03,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2370.0,0.0,2380.0,2320.0,2350.0,-20.0,29200,68761000,66,485.5,2350,21500,2330,100,595000000,595000000,76398000,10000,5000,0,0,0
2026-03-02,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2400.0,2400.0,2400.0,2360.0,2370.0,-30.0,33300,79496000,48,489.7,2390,2500,2370,1200,595000000,595000000,76398000,0,0,0,0,0
2026-02-27,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2370.0,2370.0,2450.0,2370.0,2400.0,30.0,8700,20787000,20,495.9,2400,4300,2370,1500,595000000,595000000,76398000,0,0,0,0,0
2026-02-26,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2390.0,0.0,2390.0,2370.0,2370.0,-20.0,8000,19050000,18,489.7,2370,4400,2360,5000,595000000,595000000,76398000,0,0,0,0,0
2026-02-25,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2400.0,0.0,2410.0,2390.0,2390.0,-10.0,7200,17303000,17,493.8,2410,6400,2390,2000,595000000,595000000,76398000,0,0,0,0,0
2026-02-24,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2400.0,0.0,2420.0,2390.0,2400.0,0.0,26800,64351000,23,495.9,2400,400,2390,1000,595000000,595000000,76398000,400,0,0,0,0
2026-02-23,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2410.0,2420.0,2420.0,2400.0,2400.0,-10.0,29700,71760000,34,495.9,2400,1300,2390,4400,595000000,595000000,76398000,0,0,0,0,0
2026-02-20,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2410.0,0.0,2410.0,2360.0,2410.0,0.0,24300,57975000,40,497.9,2420,1300,2410,25100,595000000,595000000,76398000,500,0,0,0,0
2026-02-19,CEKA,Wilmar Cahaya Indonesia Tbk.,--UO2135000000D222------------,2390.0,0.0,2470.0,2350.0,2410.0,20.0,8700,20937000,23,497.9,2400,2000,2380,1700,595000000,595000000,76398000,3400,3100,0,0,0
