Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-10,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1060.0,0.0,1065.0,1035.0,1065.0,5.0,45200,47517000,127,665.6,1065,3800,1060,1100,806000000,806000000,0,0,0,0,0,0
2026-04-09,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1105.0,0.0,1100.0,1005.0,1060.0,-45.0,112100,116691000,179,662.5,1060,1800,1055,1100,806000000,806000000,0,0,0,0,0,0
2026-04-08,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1070.0,0.0,1105.0,1075.0,1105.0,35.0,54000,58757500,138,690.6,1105,8000,1100,4300,806000000,806000000,0,0,0,0,0,0
2026-04-07,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1085.0,0.0,1090.0,1070.0,1070.0,-15.0,51700,55641500,138,668.8,1070,1600,1065,1600,806000000,806000000,0,0,0,0,0,0
2026-04-06,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1095.0,0.0,1100.0,1065.0,1085.0,-10.0,54600,58936000,128,678.1,1085,9300,1070,1700,806000000,806000000,0,0,0,0,0,0
2026-04-02,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1105.0,0.0,1115.0,1090.0,1095.0,-10.0,49900,54804000,130,684.4,1095,1200,1090,600,806000000,806000000,0,1200,0,0,0,0
2026-04-01,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1110.0,0.0,1125.0,1085.0,1105.0,-5.0,66800,74041000,138,690.6,1105,3100,1100,1000,806000000,806000000,0,0,0,0,0,0
2026-03-31,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1125.0,0.0,1135.0,1085.0,1110.0,-15.0,66900,74635500,169,693.8,1110,1500,1105,400,806000000,806000000,0,0,0,0,0,0
2026-03-30,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1130.0,0.0,1140.0,1090.0,1125.0,-5.0,76600,85355500,173,703.1,1125,1500,1120,1000,806000000,806000000,0,5000,7400,0,0,0
2026-03-27,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1135.0,0.0,1145.0,1115.0,1130.0,-5.0,68000,76834500,150,706.3,1130,1600,1125,1000,806000000,806000000,0,0,0,0,0,0
2026-03-26,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1135.0,0.0,1140.0,1115.0,1135.0,0.0,66400,74848000,184,709.4,1135,1800,1130,2200,806000000,806000000,0,0,0,0,0,0
2026-03-25,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1140.0,0.0,1145.0,1120.0,1135.0,-5.0,72000,81521500,175,709.4,1135,1800,1130,2100,806000000,806000000,0,7400,0,0,0,0
2026-03-17,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1125.0,0.0,1145.0,1095.0,1140.0,15.0,97900,110570000,253,712.5,1140,3000,1135,11300,806000000,806000000,0,1000,0,0,0,0
2026-03-16,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1140.0,0.0,1145.0,1100.0,1125.0,-15.0,90700,102377000,230,703.1,1125,1100,1120,1300,806000000,806000000,0,0,0,0,0,0
2026-03-13,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1165.0,0.0,1165.0,1125.0,1140.0,-25.0,90900,104049000,156,712.5,1140,3300,1115,5000,806000000,806000000,0,0,0,0,0,0
2026-03-12,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1190.0,0.0,1195.0,1155.0,1165.0,-25.0,95400,112166500,165,728.1,1165,1700,1160,2200,806000000,806000000,0,0,0,0,0,0
2026-03-11,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1180.0,0.0,1195.0,1160.0,1190.0,10.0,121000,142452500,239,743.8,1190,4300,1185,12800,806000000,806000000,0,0,0,2500000,2800000000,1
2026-03-10,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1180.0,0.0,1200.0,1170.0,1180.0,0.0,99300,117420500,180,737.5,1180,1900,1175,1700,806000000,806000000,0,8300,0,0,0,0
2026-03-09,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1175.0,0.0,1185.0,1135.0,1180.0,5.0,91000,105363000,225,737.5,1180,1300,1175,6700,806000000,806000000,0,0,0,4500000,4950000000,1
2026-03-06,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1185.0,0.0,1195.0,1170.0,1175.0,-10.0,90900,107235500,189,734.4,1175,1700,1170,1200,806000000,806000000,0,0,0,5800000,6380000000,2
2026-03-05,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1170.0,0.0,1195.0,1150.0,1185.0,15.0,85500,100610500,180,740.6,1185,700,1180,6500,806000000,806000000,0,0,0,0,0,0
2026-03-04,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1200.0,0.0,1200.0,1170.0,1170.0,-30.0,92700,109219000,209,731.3,1170,2000,1165,2300,806000000,806000000,0,0,0,0,0,0
2026-03-03,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1195.0,0.0,1200.0,1165.0,1200.0,5.0,111000,131063000,272,750.0,1200,21300,1195,5500,806000000,806000000,0,0,0,0,0,0
2026-03-02,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1205.0,0.0,1225.0,1185.0,1195.0,-10.0,89300,106732500,176,746.9,1195,2800,1185,2000,806000000,806000000,0,0,0,0,0,0
2026-02-27,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1190.0,0.0,1205.0,1170.0,1205.0,15.0,99500,118083000,202,753.1,1205,4000,1200,2500,806000000,806000000,0,0,0,0,0,0
2026-02-26,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1200.0,0.0,1200.0,1170.0,1190.0,-10.0,321300,382834000,255,743.8,1190,1300,1185,1200,806000000,806000000,0,0,0,0,0,0
2026-02-25,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1190.0,0.0,1200.0,1180.0,1200.0,10.0,131700,156804000,249,750.0,1200,14500,1195,5200,806000000,806000000,0,5000,5700,0,0,0
2026-02-24,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1195.0,0.0,1200.0,1170.0,1190.0,-5.0,115500,137351000,214,743.8,1190,1500,1185,1300,806000000,806000000,0,0,0,0,0,0
2026-02-23,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1210.0,0.0,1215.0,1175.0,1195.0,-15.0,120100,143533000,244,746.9,1195,1200,1190,2200,806000000,806000000,0,5500,0,0,0,0
2026-02-20,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1215.0,0.0,1225.0,1205.0,1210.0,-5.0,115100,139637500,227,756.3,1210,9500,1205,1900,806000000,806000000,0,0,0,0,0,0
2026-02-19,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1215.0,0.0,1220.0,1190.0,1215.0,0.0,166600,200849500,241,759.4,1215,2200,1210,2700,806000000,806000000,0,0,12900,0,0,0
2026-02-18,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1220.0,0.0,1220.0,1195.0,1215.0,-5.0,167100,201819500,246,759.4,1215,2100,1210,1100,806000000,806000000,0,6200,0,0,0,0
2026-02-13,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1210.0,0.0,1225.0,1195.0,1220.0,10.0,185600,223821000,302,762.5,1220,1400,1215,11800,806000000,806000000,0,19300,0,0,0,0
2026-02-12,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1215.0,0.0,1220.0,1195.0,1210.0,-5.0,170000,204161000,234,756.3,1210,9100,1205,1100,806000000,806000000,0,0,0,0,0,0
2026-02-11,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1215.0,0.0,1215.0,1200.0,1215.0,0.0,170300,205253000,244,759.4,1215,102800,1210,4000,806000000,806000000,0,0,0,0,0,0
2026-02-10,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1215.0,0.0,1220.0,1205.0,1215.0,0.0,169300,204926000,272,759.4,1215,1100,1210,1300,806000000,806000000,0,0,0,0,0,0
2026-02-09,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1215.0,0.0,1220.0,1190.0,1215.0,0.0,166600,201008500,381,759.4,1220,9100,1215,1000,806000000,806000000,0,0,0,0,0,0
2026-02-06,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1225.0,0.0,1220.0,1200.0,1215.0,-10.0,172300,208089500,387,759.4,1215,1900,1205,1000,806000000,806000000,0,0,0,0,0,0
2026-02-05,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1230.0,0.0,1250.0,1220.0,1225.0,-5.0,166400,205097000,456,765.6,1225,2100,1220,4900,806000000,806000000,0,0,0,900000,1003500000,1
2026-02-04,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1235.0,0.0,1240.0,1210.0,1230.0,-5.0,168000,204411500,288,768.8,1230,2000,1225,1200,806000000,806000000,0,0,5200,0,0,0
2026-02-03,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1235.0,0.0,1250.0,1215.0,1235.0,0.0,170800,210086000,325,771.9,1235,1500,1230,700,806000000,806000000,0,0,0,0,0,0
2026-02-02,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1240.0,0.0,1255.0,1210.0,1235.0,-5.0,174400,214372500,478,771.9,1240,5500,1235,1500,806000000,806000000,0,0,0,0,0,0
2026-01-30,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1235.0,0.0,1250.0,1225.0,1240.0,5.0,167200,206621000,377,775.0,1240,100,1235,700,806000000,806000000,0,0,0,0,0,0
2026-01-29,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1255.0,0.0,1260.0,1205.0,1235.0,-20.0,165600,201842500,329,771.9,1235,7000,1230,1300,806000000,806000000,0,0,0,0,0,0
2026-01-28,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1295.0,0.0,1300.0,1215.0,1255.0,-40.0,165900,206587500,192,784.4,1255,1100,1245,1500,806000000,806000000,0,0,0,0,0,0
2026-01-27,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1280.0,0.0,1295.0,1280.0,1295.0,15.0,163900,210604000,277,809.4,1295,55400,1290,1500,806000000,806000000,0,0,0,0,0,0
2026-01-26,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1265.0,0.0,1290.0,1250.0,1280.0,15.0,161200,204742500,364,800.0,1290,13700,1275,900,806000000,806000000,0,0,0,0,0,0
2026-01-23,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1270.0,0.0,1285.0,1245.0,1265.0,-5.0,163800,206801000,230,790.6,1265,10000,1260,1400,806000000,806000000,0,15700,0,0,0,0
2026-01-22,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1245.0,0.0,1275.0,1245.0,1270.0,25.0,183700,231453500,378,793.8,1275,14900,1270,3400,806000000,806000000,0,6000,6000,0,0,0
2026-01-21,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1240.0,0.0,1250.0,1220.0,1245.0,5.0,258600,318848500,238,778.1,1250,3500,1245,10500,806000000,806000000,0,0,8300,0,0,0
2026-01-20,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1250.0,0.0,1265.0,1230.0,1240.0,-10.0,183900,228521500,404,775.0,1250,17400,1240,5200,806000000,806000000,0,0,14200,0,0,0
2026-01-19,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1270.0,0.0,1275.0,1225.0,1250.0,-20.0,179500,223510000,297,781.3,1255,2800,1250,5800,806000000,806000000,0,17000,0,0,0,0
2026-01-15,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1270.0,0.0,1275.0,1230.0,1270.0,0.0,168700,211932000,291,793.8,1275,8900,1270,3200,806000000,806000000,0,0,0,0,0,0
2026-01-14,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1305.0,0.0,1310.0,1220.0,1270.0,-35.0,191600,242164500,213,793.8,1270,2800,1260,700,806000000,806000000,0,9300,11600,0,0,0
2026-01-13,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1340.0,0.0,1340.0,1285.0,1305.0,-35.0,154400,203423500,250,815.6,1305,1500,1300,1500,806000000,806000000,0,10900,0,0,0,0
2026-01-12,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1375.0,0.0,1380.0,1250.0,1340.0,-35.0,158800,208374500,235,837.5,1340,2200,1335,600,806000000,806000000,0,800,0,0,0,0
2026-01-09,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1400.0,0.0,1405.0,1325.0,1375.0,-25.0,155300,210017000,265,859.4,1375,1900,1370,2300,806000000,806000000,0,0,0,0,0,0
2026-01-08,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1400.0,0.0,1415.0,1380.0,1400.0,0.0,147700,206450000,348,875.0,1400,600,1395,600,806000000,806000000,0,0,0,0,0,0
2026-01-07,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1370.0,0.0,1400.0,1345.0,1400.0,30.0,156100,215066000,420,875.0,1400,2600,1395,4300,806000000,806000000,0,0,0,0,0,0
2026-01-06,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1375.0,0.0,1380.0,1315.0,1370.0,-5.0,155900,211354500,333,856.3,1370,1600,1365,500,806000000,806000000,0,0,0,0,0,0
2026-01-05,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1345.0,0.0,1375.0,1315.0,1375.0,30.0,185800,248475500,209,859.4,1375,21200,1370,7700,806000000,806000000,0,12700,45500,0,0,0
2026-01-02,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1345.0,0.0,1360.0,1305.0,1345.0,0.0,154800,206565500,375,840.6,1345,3000,1340,3000,806000000,806000000,0,5200,6300,0,0,0
2025-12-30,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1340.0,0.0,1350.0,1250.0,1345.0,5.0,284500,375831000,499,840.6,1345,2400,1340,4000,806000000,806000000,0,4400,0,0,0,0
2025-12-29,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1330.0,0.0,1340.0,1310.0,1340.0,10.0,153400,202928000,266,837.5,1340,2600,1330,1100,806000000,806000000,0,0,0,0,0,0
2025-12-24,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1335.0,0.0,1340.0,1315.0,1330.0,-5.0,153400,203500000,247,831.3,1330,2300,1325,100,806000000,806000000,0,20000,0,0,0,0
2025-12-23,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1335.0,0.0,1355.0,1325.0,1335.0,0.0,174600,234484500,402,834.4,1335,7000,1330,1100,806000000,806000000,0,0,0,0,0,0
2025-12-22,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1330.0,0.0,1345.0,1315.0,1335.0,5.0,153400,203895000,370,834.4,1335,1800,1330,900,806000000,806000000,0,0,0,0,0,0
2025-12-19,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1325.0,0.0,1335.0,1315.0,1330.0,5.0,151400,200666000,320,831.3,1330,2700,1325,1500,806000000,806000000,0,1100,0,0,0,0
2025-12-18,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1300.0,0.0,1325.0,1300.0,1325.0,25.0,158800,208314000,276,828.1,1325,1000,1320,1000,806000000,806000000,0,0,0,5000000,7000000000,1
2025-12-17,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1280.0,0.0,1305.0,1270.0,1300.0,20.0,249500,321430000,325,812.5,1300,2500,1285,1800,806000000,806000000,0,6300,36900,0,0,0
2025-12-16,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1265.0,0.0,1285.0,1235.0,1280.0,15.0,170200,215318500,406,800.0,1280,3600,1275,1300,806000000,806000000,0,0,7300,0,0,0
2025-12-15,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1290.0,0.0,1290.0,1240.0,1265.0,-25.0,160900,202243000,374,790.6,1265,1300,1250,1000,806000000,806000000,0,8900,9600,0,0,0
2025-12-12,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1310.0,0.0,1320.0,1265.0,1290.0,-20.0,157200,203334500,262,806.3,1290,600,1285,500,806000000,806000000,0,5000,0,0,0,0
2025-12-11,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1350.0,0.0,1375.0,1280.0,1310.0,-40.0,165200,218757000,268,818.8,1310,18900,1305,1000,806000000,806000000,0,0,0,0,0,0
2025-12-10,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1375.0,0.0,1380.0,1340.0,1350.0,-25.0,155500,210356000,357,843.8,1350,6600,1345,1700,806000000,806000000,0,0,0,0,0,0
2025-12-09,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1385.0,0.0,1390.0,1370.0,1375.0,-10.0,150000,206094000,324,859.4,1375,1000,1370,800,806000000,806000000,0,0,0,0,0,0
2025-12-08,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1385.0,0.0,1390.0,1365.0,1385.0,0.0,146800,202276000,430,865.6,1385,4600,1380,1300,806000000,806000000,0,0,0,0,0,0
2025-12-05,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1380.0,0.0,1405.0,1345.0,1385.0,5.0,225600,310483000,569,865.6,1390,2000,1385,2500,806000000,806000000,0,0,100,0,0,0
2025-12-04,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1370.0,0.0,1385.0,1340.0,1380.0,10.0,169000,230296500,606,862.5,1380,2600,1375,2600,806000000,806000000,0,0,0,0,0,0
2025-12-03,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1400.0,0.0,1400.0,1365.0,1370.0,-30.0,150800,207773500,332,856.3,1370,9900,1365,1000,806000000,806000000,0,0,0,0,0,0
2025-12-02,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1395.0,0.0,1405.0,1375.0,1400.0,5.0,146700,203381500,443,875.0,1400,15600,1395,800,806000000,806000000,0,0,4700,0,0,0
2025-12-01,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1390.0,0.0,1400.0,1380.0,1395.0,5.0,152100,210754000,333,871.9,1395,400,1390,1000,806000000,806000000,0,0,0,0,0,0
2025-11-28,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1390.0,0.0,1405.0,1375.0,1390.0,0.0,147200,204411000,435,868.8,1390,1800,1385,1000,806000000,806000000,0,0,0,0,0,0
2025-11-27,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1395.0,0.0,1400.0,1335.0,1390.0,-5.0,166200,228268500,438,868.8,1395,10100,1385,700,806000000,806000000,0,100,23000,0,0,0
2025-11-26,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1400.0,0.0,1400.0,1385.0,1395.0,-5.0,151000,210056500,445,871.9,1395,1300,1390,3500,806000000,806000000,0,0,0,0,0,0
2025-11-25,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1395.0,0.0,1405.0,1380.0,1400.0,5.0,153500,213184000,380,875.0,1400,15200,1395,600,806000000,806000000,0,0,0,0,0,0
2025-11-24,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1390.0,0.0,1395.0,1355.0,1395.0,5.0,164800,227176500,434,871.9,1395,10200,1390,1700,806000000,806000000,0,0,6100,0,0,0
2025-11-21,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1395.0,0.0,1400.0,1385.0,1390.0,-5.0,181300,251944500,457,868.8,1390,1400,1380,1000,806000000,806000000,0,0,0,0,0,0
2025-11-20,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1390.0,0.0,1405.0,1370.0,1395.0,5.0,151000,210095500,436,871.9,1395,4800,1390,5700,806000000,806000000,0,0,0,0,0,0
2025-11-19,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1390.0,0.0,1400.0,1375.0,1390.0,0.0,171700,238073000,329,868.8,1400,2300,1385,1000,806000000,806000000,0,3500,0,0,0,0
2025-11-18,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1385.0,0.0,1395.0,1370.0,1390.0,5.0,148200,204428000,463,868.8,1390,4300,1385,4800,806000000,806000000,0,0,4400,0,0,0
2025-11-17,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1395.0,0.0,1405.0,1365.0,1385.0,-10.0,173100,240203500,334,865.6,1385,2200,1380,700,806000000,806000000,0,0,0,0,0,0
2025-11-14,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1390.0,0.0,1410.0,1345.0,1395.0,5.0,160400,222748000,326,871.9,1395,4400,1390,1400,806000000,806000000,0,4300,39400,0,0,0
2025-11-13,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1345.0,0.0,1405.0,1335.0,1390.0,45.0,294000,405578500,422,868.8,1400,9300,1385,3500,806000000,806000000,0,23200,7200,0,0,0
2025-11-12,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1365.0,0.0,1370.0,1335.0,1345.0,-20.0,170000,229197500,483,840.6,1345,300,1340,3500,806000000,806000000,0,0,0,0,0,0
2025-11-11,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1380.0,0.0,1385.0,1360.0,1365.0,-15.0,161400,220733000,300,853.1,1365,14800,1360,1000,806000000,806000000,0,0,0,0,0,0
2025-11-10,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1375.0,0.0,1380.0,1355.0,1380.0,5.0,159800,217953500,400,862.5,1380,2300,1375,3300,806000000,806000000,0,0,0,0,0,0
2025-11-07,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1370.0,0.0,1380.0,1325.0,1375.0,5.0,207400,282610500,377,859.4,1375,23200,1370,1100,806000000,806000000,0,4500,0,0,0,0
2025-11-06,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1360.0,0.0,1375.0,1340.0,1370.0,10.0,148100,200564500,361,856.3,1370,2600,1365,5400,806000000,806000000,0,0,3700,0,0,0
2025-11-05,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1355.0,0.0,1365.0,1340.0,1360.0,5.0,156400,211569500,252,850.0,1360,5300,1355,500,806000000,806000000,0,10300,0,0,0,0
2025-11-04,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1315.0,0.0,1365.0,1305.0,1355.0,40.0,172000,230264500,422,846.9,1355,600,1350,1100,806000000,806000000,0,0,25200,0,0,0
2025-11-03,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1295.0,0.0,1330.0,1300.0,1315.0,20.0,187100,246116500,276,821.9,1315,1500,1310,1000,806000000,806000000,0,0,5000,0,0,0
2025-10-31,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1280.0,0.0,1300.0,1270.0,1295.0,15.0,171600,221290000,381,809.4,1295,3100,1290,3000,806000000,806000000,0,2600,9500,0,0,0
2025-10-30,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1280.0,0.0,1290.0,1265.0,1280.0,0.0,159100,203700500,304,800.0,1280,2400,1275,600,806000000,806000000,0,19700,0,0,0,0
2025-10-29,CHIP,Pelita Teknologi Global Tbk.,--U-3000000000I231------------,1340.0,0.0,1345.0,1210.0,1280.0,-60.0,262600,338873500,373,800.0,1280,1700,1270,1000,806000000,806000000,0,0,0,0,0,0
