Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-13,CINT,Chitose Internasional Tbk.,XDMO2130000000E211------------,192.0,0.0,195.0,190.0,193.0,1.0,72600,14067900,56,58.5,193,200,192,3900,1000000000,1000000000,179400000,38700,0,0,0,0
2026-05-12,CINT,Chitose Internasional Tbk.,XDMO2130000000E211------------,191.0,195.0,196.0,190.0,192.0,1.0,103000,19750800,83,58.2,192,1800,191,1100,1000000000,1000000000,179400000,300,600,0,0,0
2026-05-11,CINT,Chitose Internasional Tbk.,XDMO2130000000E211------------,198.0,0.0,198.0,190.0,191.0,-7.0,689400,133722700,227,57.9,194,400,191,15700,1000000000,1000000000,179400000,1200,268200,0,0,0
2026-05-08,CINT,Chitose Internasional Tbk.,XDMO2130000000E211------------,199.0,199.0,200.0,196.0,198.0,-1.0,190900,37676000,135,60.0,198,10100,196,4900,1000000000,1000000000,179400000,1500,200,0,0,0
2026-05-07,CINT,Chitose Internasional Tbk.,XDMO2130000000E211------------,200.0,199.0,200.0,196.0,199.0,-1.0,347200,68671400,285,60.3,200,27700,199,4100,1000000000,1000000000,179400000,500,1400,0,0,0
2026-05-06,CINT,Chitose Internasional Tbk.,XDMO2130000000E211------------,200.0,199.0,200.0,197.0,200.0,0.0,226700,44975600,152,60.6,200,74500,199,40500,1000000000,1000000000,179400000,0,1000,0,0,0
2026-05-05,CINT,Chitose Internasional Tbk.,--MO2130000000E211------------,204.0,204.0,204.0,198.0,200.0,-4.0,209200,41850500,153,60.6,200,148800,199,2500,1000000000,1000000000,179400000,18900,1500,0,0,0
2026-05-04,CINT,Chitose Internasional Tbk.,--MO2130000000E211------------,216.0,210.0,210.0,198.0,204.0,-12.0,957800,193079300,392,61.8,204,397700,202,22100,1000000000,1000000000,179400000,107800,4100,0,0,0
2026-04-30,CINT,Chitose Internasional Tbk.,CDUO2130000000E211------------,218.0,218.0,220.0,216.0,216.0,-2.0,1160500,252734000,340,65.5,218,6300,216,47000,1000000000,1000000000,179400000,0,0,0,0,0
2026-04-29,CINT,Chitose Internasional Tbk.,CDUO2130000000E211------------,218.0,218.0,218.0,216.0,218.0,0.0,614700,133395200,224,66.1,218,48100,216,100500,1000000000,1000000000,179400000,0,49600,0,0,0
2026-04-28,CINT,Chitose Internasional Tbk.,CDUO2130000000E211------------,222.0,222.0,222.0,216.0,218.0,-4.0,326200,71189200,192,66.1,218,10000,216,78600,1000000000,1000000000,179400000,9800,0,0,0,0
2026-04-27,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,218.0,220.0,230.0,214.0,222.0,4.0,1033800,229444200,341,67.3,222,22400,220,16000,1000000000,1000000000,179400000,170600,0,0,0,0
2026-04-24,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,222.0,220.0,220.0,214.0,218.0,-4.0,1142100,246583200,193,66.1,218,68900,216,600,1000000000,1000000000,179400000,5700,0,0,0,0
2026-04-23,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,228.0,232.0,234.0,214.0,222.0,-6.0,2784400,619157000,392,67.3,222,153500,218,500,1000000000,1000000000,179400000,65900,0,0,0,0
2026-04-22,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,224.0,224.0,232.0,222.0,228.0,4.0,1654900,375897000,334,69.1,228,141900,226,11600,1000000000,1000000000,179400000,0,0,0,0,0
2026-04-21,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,214.0,214.0,226.0,214.0,224.0,10.0,1364800,297898200,276,67.9,226,93200,224,180700,1000000000,1000000000,179400000,31700,0,0,0,0
2026-04-20,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,214.0,214.0,218.0,212.0,214.0,0.0,368900,79425800,135,64.8,214,5000,212,2000,1000000000,1000000000,179400000,64400,0,0,0,0
2026-04-17,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,210.0,212.0,214.0,208.0,214.0,4.0,186400,39414800,103,64.8,216,46600,214,120400,1000000000,1000000000,179400000,2800,0,0,0,0
2026-04-16,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,216.0,216.0,216.0,204.0,210.0,-6.0,910400,190873400,242,63.6,210,7900,208,8000,1000000000,1000000000,179400000,0,0,0,0,0
2026-04-15,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,206.0,206.0,216.0,204.0,216.0,10.0,3829800,799233800,180,65.5,216,79600,214,17900,1000000000,1000000000,179400000,0,0,0,0,0
2026-04-14,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,204.0,204.0,208.0,204.0,206.0,2.0,184700,37902400,76,62.4,208,46700,206,46900,1000000000,1000000000,179400000,0,0,0,0,0
2026-04-13,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,204.0,204.0,204.0,198.0,204.0,0.0,134500,27185200,84,61.8,204,65100,202,5900,1000000000,1000000000,179400000,43600,0,0,0,0
2026-04-10,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,202.0,202.0,204.0,200.0,204.0,2.0,127400,25729600,61,61.8,204,66500,202,700,1000000000,1000000000,179400000,0,42400,0,0,0
2026-04-09,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,202.0,204.0,204.0,199.0,202.0,0.0,168900,33737600,58,61.2,202,90300,199,2300,1000000000,1000000000,179400000,48300,0,0,0,0
2026-04-08,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,198.0,198.0,204.0,198.0,202.0,4.0,128900,25666900,82,61.2,202,150300,199,500,1000000000,1000000000,179400000,62000,0,0,0,0
2026-04-07,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,197.0,197.0,198.0,193.0,198.0,1.0,73700,14435000,63,60.0,198,23600,195,100,1000000000,1000000000,179400000,0,0,0,0,0
2026-04-06,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,197.0,198.0,200.0,193.0,197.0,0.0,80800,15982100,76,59.7,197,3700,195,700,1000000000,1000000000,179400000,31300,0,0,0,0
2026-04-02,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,204.0,204.0,208.0,193.0,197.0,-7.0,609800,121443700,208,59.7,197,200,194,500,1000000000,1000000000,179400000,226700,0,0,0,0
2026-04-01,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,194.0,196.0,216.0,196.0,204.0,10.0,1172200,242763300,235,61.8,206,10100,204,2400,1000000000,1000000000,179400000,43500,101500,0,0,0
2026-03-31,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,194.0,194.0,194.0,189.0,194.0,0.0,601200,115931400,53,58.8,194,30900,192,600,1000000000,1000000000,177900000,0,49500,0,0,0
2026-03-30,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,194.0,196.0,196.0,190.0,194.0,0.0,46000,8906600,51,58.8,194,52000,193,28700,1000000000,1000000000,177900000,0,0,0,0,0
2026-03-27,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,196.0,196.0,196.0,192.0,194.0,-2.0,17600,3407400,25,58.8,195,3300,193,16700,1000000000,1000000000,177900000,0,0,0,0,0
2026-03-26,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,196.0,195.0,196.0,192.0,196.0,0.0,45500,8874300,55,59.4,196,5000,195,700,1000000000,1000000000,177900000,0,0,0,0,0
2026-03-25,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,195.0,196.0,196.0,194.0,196.0,1.0,23600,4611500,36,59.4,196,10600,194,3700,1000000000,1000000000,177900000,0,0,0,0,0
2026-03-17,CINT,Chitose Internasional Tbk.,--UO2130000000E211------------,190.0,0.0,195.0,191.0,195.0,5.0,17100,3295700,27,59.1,196,10000,195,1000,1000000000,1000000000,177900000,0,0,0,0,0
