Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-16,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4110.0,4110.0,4110.0,3980.0,4030.0,-80.0,314700,1266015000,380,14623.7,4030,4400,4020,10300,3960361250,3960361250,304551780,49300,95300,0,0,0
2026-03-13,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4100.0,4100.0,4140.0,4020.0,4110.0,10.0,345800,1409429000,517,14914.0,4110,3800,4080,200,3960361250,3960361250,304551780,97600,155200,0,0,0
2026-03-12,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4090.0,4090.0,4110.0,4030.0,4100.0,10.0,293300,1195338000,346,14877.7,4100,2600,4080,3700,3960361250,3960361250,304551780,73200,30700,0,0,0
2026-03-11,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4140.0,0.0,4170.0,4080.0,4090.0,-50.0,300600,1242214000,292,14841.4,4120,10000,4090,3900,3960361250,3960361250,304551780,148700,46300,0,0,0
2026-03-10,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4150.0,4180.0,4180.0,4100.0,4140.0,-10.0,446300,1843537000,295,15022.9,4140,14800,4130,26100,3960361250,3960361250,304551780,114600,64500,1100000,3905000000,1
2026-03-09,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4230.0,4210.0,4210.0,3990.0,4150.0,-80.0,686000,2810537000,529,15059.1,4150,6400,4130,1100,3960361250,3960361250,304551780,250800,184300,0,0,0
2026-03-06,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4220.0,4250.0,4290.0,4210.0,4230.0,10.0,346500,1470187000,372,15349.4,4230,1600,4220,3100,3960361250,3960361250,304551780,100300,53100,0,0,0
2026-03-05,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4200.0,4220.0,4390.0,4180.0,4220.0,20.0,485900,2046894000,317,15313.2,4230,8700,4220,12900,3960361250,3960361250,304551780,63000,81300,0,0,0
2026-03-04,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4350.0,4350.0,4360.0,4100.0,4200.0,-150.0,1016100,4275843000,612,15240.6,4220,5000,4210,100,3960361250,3960361250,304551780,209100,389200,0,0,0
2026-03-03,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4490.0,4480.0,4530.0,4280.0,4350.0,-140.0,756000,3312606000,585,15784.9,4350,14400,4320,100,3960361250,3960361250,304551780,178000,73600,0,0,0
2026-03-02,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4540.0,4470.0,4520.0,4440.0,4490.0,-50.0,353100,1579530000,570,16292.9,4500,2200,4490,500,3960361250,3960361250,304551780,20000,55900,0,0,0
2026-02-27,CITA,Cita Mineral Investindo Tbk.,--UO1135000000B141------------,4520.0,4510.0,4550.0,4450.0,4540.0,20.0,138700,627427000,153,16474.3,4550,11700,4540,100,3960361250,3960361250,304551780,55600,13400,0,0,0
