Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-13,CLEO,Sariguna Primatirta Tbk.,--MO1135000000D212------------,406.0,410.0,410.0,402.0,402.0,-4.0,5194200,2097883400,808,3495.7,404,2500,402,359400,24000000000,24000000000,2966400000,1178300,82200,0,0,0
2026-04-10,CLEO,Sariguna Primatirta Tbk.,--MO1135000000D212------------,402.0,402.0,408.0,402.0,406.0,4.0,8248100,3340600600,788,3530.4,408,445300,406,69100,24000000000,24000000000,2966400000,2962000,242900,0,0,0
2026-04-09,CLEO,Sariguna Primatirta Tbk.,--MO1135000000D212------------,400.0,400.0,406.0,398.0,402.0,2.0,6616700,2657067400,767,3495.7,402,50600,400,43600,24000000000,24000000000,2966400000,2196200,104300,0,0,0
2026-04-08,CLEO,Sariguna Primatirta Tbk.,--MO1135000000D212------------,398.0,398.0,402.0,398.0,400.0,2.0,2959600,1184891600,630,3478.3,402,761100,400,421100,24000000000,24000000000,2966400000,1025800,530700,0,0,0
2026-04-07,CLEO,Sariguna Primatirta Tbk.,--MO1135000000D212------------,398.0,398.0,400.0,398.0,398.0,0.0,1421400,566357200,348,3460.9,400,153600,398,349600,24000000000,24000000000,2966400000,808500,7100,0,0,0
2026-04-06,CLEO,Sariguna Primatirta Tbk.,--MO1135000000D212------------,400.0,400.0,402.0,398.0,398.0,-2.0,2996000,1199095800,481,3460.9,400,22300,398,491300,24000000000,24000000000,2966400000,1593000,3100,0,0,0
2026-04-02,CLEO,Sariguna Primatirta Tbk.,--MO1135000000D212------------,400.0,400.0,404.0,396.0,400.0,0.0,2578800,1028697800,628,3478.3,400,7300,398,504400,24000000000,24000000000,2966400000,703400,114200,0,0,0
2026-04-01,CLEO,Sariguna Primatirta Tbk.,--MO1135000000D212------------,398.0,402.0,402.0,398.0,400.0,2.0,1380600,551024400,515,3478.3,400,252900,398,927400,24000000000,24000000000,2966400000,386200,35400,0,0,0
2026-03-31,CLEO,Sariguna Primatirta Tbk.,--MO1135000000D212------------,398.0,398.0,404.0,398.0,398.0,0.0,3726000,1485598600,598,3460.9,400,85700,398,382700,24000000000,24000000000,2966400000,2923700,12200,0,0,0
2026-03-30,CLEO,Sariguna Primatirta Tbk.,--MO1135000000D212------------,398.0,398.0,402.0,398.0,398.0,0.0,2048200,817393600,360,3460.9,400,115200,398,2475500,24000000000,24000000000,2966400000,628400,157700,0,0,0
