Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-22,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,71.0,0.0,71.0,70.0,71.0,0.0,51100,3605000,19,13.4,76,100000,70,46900,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-21,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,72.0,0.0,72.0,71.0,71.0,-1.0,79700,5666500,17,13.4,71,18500,70,49700,10685124441,10685124441,809932433,0,0,300000000,20400000000,1
2026-05-20,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,73.0,0.0,73.0,72.0,72.0,-1.0,11600,836400,22,13.6,73,18100,72,400,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-19,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,73.0,0.0,73.0,72.0,73.0,0.0,427700,30799400,28,13.8,73,5100,72,1400,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-18,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,78.0,0.0,78.0,71.0,73.0,-5.0,849700,61020100,55,13.8,77,2700,73,155500,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-13,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,78.0,0.0,78.0,76.0,78.0,0.0,37100,2819800,22,14.8,78,14200,77,1000,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-12,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,78.0,0.0,78.0,77.0,78.0,0.0,207200,15960600,37,14.8,78,10400,77,368700,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-11,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,82.0,0.0,81.0,77.0,78.0,-4.0,211200,16523700,52,14.8,78,500,77,71600,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-08,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,77.0,0.0,82.0,82.0,82.0,5.0,36200,2968400,33,15.5,82,169200,81,1500,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-07,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,83.0,0.0,83.0,75.0,77.0,-6.0,528200,39892400,43,14.6,79,100,77,71400,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-06,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,83.0,0.0,83.0,83.0,83.0,0.0,6000,498000,11,15.7,83,101500,82,1400,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-05,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,83.0,0.0,83.0,83.0,83.0,0.0,125700,10433100,41,15.7,84,51200,82,1000,10685124441,10685124441,809932433,0,0,0,0,0
2026-05-04,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,80.0,0.0,83.0,80.0,83.0,3.0,32100,2660100,26,15.7,83,226100,81,1000,10685124441,10685124441,809932433,0,0,0,0,0
2026-04-30,CMPP,AirAsia Indonesia Tbk.,--U-4130000000K111-E---------X,81.0,0.0,84.0,80.0,80.0,-1.0,202200,16176400,26,15.1,83,10200,80,129600,10685124441,10685124441,809932433,0,0,0,0,0
