Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-21,CMRY,Cisarua Mountain Dairy Tbk.,--MO183CMD6000D221------------,4580.0,4610.0,4700.0,4550.0,4630.0,50.0,3591000,16642992000,2891,150.3,4650,7200,4630,12800,7934683000,7934683000,1477437975,1781400,2298700,0,0,0
2026-04-20,CMRY,Cisarua Mountain Dairy Tbk.,--MO183CMD6000D221------------,4650.0,4630.0,4720.0,4540.0,4580.0,-70.0,4735600,21896891000,3253,148.7,4590,1100,4580,2400,7934683000,7934683000,1477437975,2915200,2242800,50,229000,1
2026-04-17,CMRY,Cisarua Mountain Dairy Tbk.,CDMO183CMD6000D221------------,4540.0,4570.0,4710.0,4540.0,4650.0,110.0,3978600,18532962000,3549,151.0,4670,4800,4650,11900,7934683000,7934683000,1477437975,2102400,2266600,0,0,0
2026-04-16,CMRY,Cisarua Mountain Dairy Tbk.,CDMO183CMD6000D221------------,4550.0,4550.0,4570.0,4500.0,4540.0,-10.0,1347000,6094098000,1935,147.4,4550,2000,4530,800,7934683000,7934683000,1477437975,1094600,576200,128800,582562400,4
2026-04-15,CMRY,Cisarua Mountain Dairy Tbk.,CDMO183CMD6000D221------------,4520.0,4530.0,4590.0,4490.0,4550.0,30.0,3648700,16534535000,3498,147.7,4560,800,4550,72100,7934683000,7934683000,1477437975,2979500,1851400,855670,3877597700,5
2026-04-14,CMRY,Cisarua Mountain Dairy Tbk.,CDMO183CMD6000D221------------,4480.0,4500.0,4550.0,4490.0,4520.0,40.0,3647900,16432045000,2460,146.8,4520,6500,4510,2300,7934683000,7934683000,1477437975,2643200,1380800,0,0,0
2026-04-13,CMRY,Cisarua Mountain Dairy Tbk.,CDMO183CMD6000D221------------,4470.0,4470.0,4500.0,4400.0,4480.0,10.0,2897100,12883876000,2459,145.5,4480,4600,4470,5100,7934683000,7934683000,1477437975,2226200,1449600,0,0,0
2026-04-10,CMRY,Cisarua Mountain Dairy Tbk.,--MO183CMD6000D221------------,4450.0,4470.0,4570.0,4400.0,4470.0,20.0,4314900,19210479000,1878,145.1,4490,4900,4470,65000,7934683000,7934683000,1477437975,2071400,3710600,27800,123710000,1
2026-04-09,CMRY,Cisarua Mountain Dairy Tbk.,--MO183CMD6000D221------------,4480.0,4480.0,4480.0,4380.0,4450.0,-30.0,1687900,7500551000,2208,144.5,4460,2400,4440,1600,7934683000,7934683000,1477437975,1574000,482200,0,0,0
2026-04-08,CMRY,Cisarua Mountain Dairy Tbk.,--MO183CMD6000D221------------,4390.0,4530.0,4550.0,4450.0,4480.0,90.0,3351200,15070132000,5345,145.5,4480,3100,4470,8700,7934683000,7934683000,1477437975,3087300,1760500,300,1128000,1
2026-04-07,CMRY,Cisarua Mountain Dairy Tbk.,--MO183CMD6000D221------------,4380.0,4400.0,4440.0,4360.0,4390.0,10.0,476400,2096943000,903,142.5,4400,3000,4390,200,7934683000,7934683000,1477437975,275300,113800,0,0,0
2026-04-06,CMRY,Cisarua Mountain Dairy Tbk.,--MO183CMD6000D221------------,4420.0,4430.0,4430.0,4310.0,4380.0,-40.0,1588300,6913834000,1227,142.2,4380,700,4350,17200,7934683000,7934683000,1477437975,878400,759300,699400,3147300000,1
