Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-27,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-26,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-25,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-17,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-16,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-13,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-12,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-11,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-10,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-09,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-06,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-05,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-04,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-03,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-03-02,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-27,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-26,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-25,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-24,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-23,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-20,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-19,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-18,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-13,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-12,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-11,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-10,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
2026-02-09,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250.0,0.0,0.0,0.0,250.0,0.0,0,0,0,0.0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
