Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-21,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,149.0,154.0,155.0,129.0,129.0,-20.0,5730800,769446900,499,45.5,132,86500,129,2200,1829800000,1829800000,286363700,161800,643700,0,0,0
2026-05-20,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,150.0,150.0,153.0,139.0,149.0,-1.0,4417700,639623800,499,52.6,149,64600,147,24900,1829800000,1829800000,286363700,176900,479300,0,0,0
2026-05-19,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,165.0,165.0,169.0,149.0,150.0,-15.0,3128200,485206200,480,52.9,152,18100,150,85600,1829800000,1829800000,286363700,141300,473000,0,0,0
2026-05-18,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,171.0,174.0,175.0,163.0,165.0,-6.0,3073300,510708100,352,58.2,166,24900,165,1300,1829800000,1829800000,286363700,178200,253000,0,0,0
2026-05-13,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,170.0,171.0,178.0,155.0,171.0,1.0,8441800,1411522900,931,60.4,171,194900,170,30000,1829800000,1829800000,286363700,176300,1214500,0,0,0
2026-05-12,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,181.0,181.0,184.0,167.0,170.0,-11.0,4578000,791078600,533,60.0,170,23800,169,5700,1829800000,1829800000,286363700,658700,100500,0,0,0
2026-05-11,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,185.0,186.0,193.0,177.0,181.0,-4.0,4394000,797782800,559,63.9,182,62900,181,81300,1829800000,1829800000,286363700,113200,21600,0,0,0
2026-05-08,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,189.0,189.0,198.0,184.0,185.0,-4.0,5548100,1057339200,979,65.3,185,100,184,216400,1829800000,1829800000,286363700,384800,189300,0,0,0
2026-05-07,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,179.0,0.0,189.0,177.0,189.0,10.0,4797400,889287100,710,66.7,190,154100,189,21800,1829800000,1829800000,286363700,18800,154300,0,0,0
2026-05-06,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,182.0,183.0,185.0,178.0,179.0,-3.0,2223700,400235100,378,63.2,180,2400,179,138600,1829800000,1829800000,286363700,14600,65700,0,0,0
2026-05-05,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,182.0,186.0,186.0,181.0,182.0,0.0,2247900,410543200,452,64.2,183,35900,182,24700,1829800000,1829800000,286363700,287500,7200,0,0,0
2026-05-04,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,188.0,188.0,190.0,176.0,182.0,-6.0,3996300,730352100,878,64.2,186,7600,181,52400,1829800000,1829800000,286363700,428400,215500,0,0,0
2026-04-30,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,174.0,200.0,216.0,183.0,188.0,14.0,31321600,6111518000,4841,66.4,190,143200,188,126800,1829800000,1829800000,286363700,6039700,100000,0,0,0
2026-04-29,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,176.0,175.0,181.0,172.0,174.0,-2.0,1638700,289401200,303,61.4,177,104700,174,500,1829800000,1829800000,286363700,281100,0,0,0,0
2026-04-28,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,182.0,0.0,185.0,175.0,176.0,-6.0,1591200,282286600,360,62.1,177,33200,176,126000,1829800000,1829800000,286363700,214700,0,40,9600,1
2026-04-27,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,180.0,181.0,185.0,179.0,182.0,2.0,1142400,206689800,336,64.2,182,42100,181,100,1829800000,1829800000,286363700,168300,0,0,0,0
2026-04-24,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,199.0,199.0,199.0,180.0,180.0,-19.0,5155800,955266700,744,63.5,181,40400,180,400600,1829800000,1829800000,286363700,133500,3500,0,0,0
2026-04-23,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,200.0,208.0,210.0,195.0,199.0,-1.0,4574800,911472000,896,70.2,199,235400,197,3000,1829800000,1829800000,286363700,914500,0,0,0,0
2026-04-22,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,187.0,187.0,216.0,187.0,200.0,13.0,14561400,2939393100,2515,70.6,202,31000,200,173600,1829800000,1829800000,286363700,392000,33300,0,0,0
2026-04-21,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,187.0,187.0,193.0,180.0,187.0,0.0,4941500,929928400,815,66.0,188,400,187,69700,1829800000,1829800000,286363700,402700,0,0,0,0
2026-04-20,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,175.0,177.0,197.0,177.0,187.0,12.0,16682700,3155038500,2586,66.0,187,80100,186,31500,1829800000,1829800000,286363700,1803100,0,0,0,0
2026-04-17,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,178.0,179.0,180.0,173.0,175.0,-3.0,1770000,311999300,387,61.8,177,92600,175,61400,1829800000,1829800000,286363700,112800,0,0,0,0
2026-04-16,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,180.0,179.0,182.0,173.0,178.0,-2.0,2209200,393100500,487,62.8,178,27200,177,15400,1829800000,1829800000,286363700,320900,0,0,0,0
2026-04-15,CSIS,Cahayasakti Investindo Sukses Tbk.,--MO2130000000H111------------,183.0,185.0,186.0,175.0,180.0,-3.0,3349300,601269200,732,63.5,180,195000,179,55200,1829800000,1829800000,286363700,310800,0,0,0,0
