Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-14,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,214.0,214.0,220.0,214.0,216.0,2.0,69600,15045400,55,44.8,216,52100,214,54100,6790000000,6790000000,509929000,0,0,0,0,0
2026-04-13,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,212.0,214.0,214.0,210.0,214.0,2.0,66100,14015200,36,44.4,214,61300,212,34400,6790000000,6790000000,509929000,0,700,0,0,0
2026-04-10,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,214.0,216.0,216.0,206.0,212.0,-2.0,128300,26847600,113,44.0,212,18900,210,2700,6790000000,6790000000,509929000,0,0,0,0,0
2026-04-09,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,216.0,218.0,218.0,210.0,214.0,-2.0,9800,2093800,37,44.4,214,145000,212,200,6790000000,6790000000,509929000,100,200,0,0,0
2026-04-08,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,210.0,204.0,220.0,204.0,216.0,6.0,217500,45093000,48,44.8,216,1100,212,200,6790000000,6790000000,509929000,400,400,0,0,0
2026-04-07,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,216.0,220.0,220.0,210.0,210.0,-6.0,7700,1631800,9,43.6,214,71300,210,147300,6790000000,6790000000,509929000,0,0,0,0,0
2026-04-06,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,216.0,214.0,216.0,206.0,216.0,0.0,5500,1155200,17,44.8,216,4200,210,36300,6790000000,6790000000,509929000,100,0,0,0,0
2026-04-02,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,216.0,0.0,216.0,212.0,216.0,0.0,14000,3013400,17,44.8,216,154300,214,600,6790000000,6790000000,509929000,1200,0,0,0,0
2026-04-01,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,216.0,216.0,218.0,214.0,216.0,0.0,10900,2352800,24,44.8,216,157900,214,1700,6790000000,6790000000,509929000,1200,0,0,0,0
2026-03-31,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,216.0,0.0,216.0,212.0,216.0,0.0,5100,1090800,12,44.8,216,58100,212,50400,6790000000,6790000000,509929000,1600,0,0,0,0
2026-03-30,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,214.0,214.0,220.0,208.0,216.0,2.0,211400,44219800,39,44.8,216,4300,212,100,6790000000,6790000000,509929000,0,1100,0,0,0
2026-03-27,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,212.0,0.0,230.0,212.0,214.0,2.0,183500,40074000,59,44.4,218,24600,214,9900,6790000000,6790000000,509929000,42400,0,0,0,0
2026-03-26,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,214.0,0.0,218.0,210.0,212.0,-2.0,96500,20382600,32,44.0,214,19600,212,2000,6790000000,6790000000,509929000,3200,0,0,0,0
2026-03-25,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,220.0,220.0,220.0,210.0,214.0,-6.0,40600,8684400,47,44.4,218,157000,210,4000,6790000000,6790000000,509929000,3400,0,0,0,0
2026-03-17,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,210.0,0.0,220.0,206.0,220.0,10.0,72900,15359400,27,45.6,218,14000,206,80800,6790000000,6790000000,509929000,0,0,0,0,0
2026-03-16,DEPO,Caturkarda Depo Bangunan Tbk.,--UO2135000000E743------------,210.0,0.0,220.0,202.0,210.0,0.0,56100,11681000,32,43.6,210,6000,208,10400,6790000000,6790000000,509929000,5400,0,0,0,0
