Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-10,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,133.0,133.0,134.0,132.0,133.0,0.0,22229800,2958663600,1408,63.3,134,15696700,133,13803500,48198111100,48198111100,8497326987,6378800,12900,37,4884,1
2026-04-09,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,132.0,133.0,133.0,132.0,133.0,1.0,9854300,1303485500,1187,63.3,133,7872700,132,3912500,48198111100,48198111100,8497326987,2323000,482900,0,0,0
2026-04-08,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,132.0,132.0,133.0,131.0,132.0,0.0,21650300,2854748000,1800,62.9,133,5431200,132,1625000,48198111100,48198111100,8497326987,4588500,3570600,0,0,0
2026-04-07,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,132.0,132.0,133.0,131.0,132.0,0.0,14753200,1942920100,1291,62.9,132,827400,131,14067100,48198111100,48198111100,8497326987,3126600,60100,0,0,0
2026-04-06,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,132.0,132.0,133.0,132.0,132.0,0.0,17720200,2342926500,1301,62.9,133,6160900,132,2765000,48198111100,48198111100,8497326987,26900,194600,0,0,0
2026-04-02,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,133.0,132.0,133.0,132.0,132.0,-1.0,17329900,2295158600,1862,62.9,133,4148300,132,1267300,48198111100,48198111100,8497326987,126000,2579500,19000,2755000,1
2026-04-01,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,131.0,132.0,133.0,131.0,133.0,2.0,20018800,2652617500,1521,63.3,133,7243600,132,4943800,48198111100,48198111100,8497326987,1278900,4196400,0,0,0
2026-03-31,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,132.0,132.0,132.0,131.0,131.0,-1.0,15265100,2005427400,1613,62.4,132,3713700,131,4323300,48198111100,48198111100,8497326987,60500,659800,0,0,0
2026-03-30,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,132.0,132.0,132.0,130.0,132.0,0.0,27318300,3577470300,2832,62.9,132,6327100,131,5439200,48198111100,48198111100,8497326987,4139900,199900,0,0,0
2026-03-27,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,131.0,132.0,132.0,131.0,132.0,1.0,10093700,1325401900,1051,62.9,132,4148100,131,11195500,48198111100,48198111100,8497326987,419900,82600,0,0,0
2026-03-26,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,133.0,133.0,133.0,131.0,131.0,-2.0,17831600,2354939000,1636,62.4,132,251700,131,12834200,48198111100,48198111100,8497326987,7564900,1203400,0,0,0
2026-03-25,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,131.0,131.0,133.0,131.0,133.0,2.0,28464900,3754418400,2280,63.3,133,6180200,132,1632000,48198111100,48198111100,8497326987,3661900,1504500,0,0,0
2026-03-17,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,131.0,131.0,132.0,130.0,131.0,0.0,16517400,2163753300,1677,62.4,132,5809300,131,446000,48198111100,48198111100,8497326987,754400,1056100,0,0,0
2026-03-16,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,132.0,132.0,132.0,130.0,131.0,-1.0,21629300,2824076400,2291,62.4,131,1799900,130,11958400,48198111100,48198111100,8497326987,207300,230300,0,0,0
2026-03-13,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,132.0,133.0,133.0,131.0,132.0,0.0,19230900,2525196600,1736,62.9,132,5053300,131,2665200,48198111100,48198111100,8497326987,814300,141000,0,0,0
2026-03-12,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,131.0,132.0,133.0,131.0,132.0,1.0,23989100,3160793200,1730,62.9,132,2240500,131,10690400,48198111100,48198111100,8497326987,2723500,5491400,0,0,0
2026-03-11,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,132.0,132.0,133.0,131.0,131.0,-1.0,16866600,2218099500,1625,62.4,132,3590500,131,1928100,48198111100,48198111100,8497326987,1479400,712000,0,0,0
2026-03-10,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,131.0,131.0,132.0,130.0,132.0,1.0,27094300,3556709800,2045,62.9,132,3908100,131,689000,48198111100,48198111100,8497326987,2015300,484600,0,0,0
2026-03-09,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,133.0,133.0,133.0,130.0,131.0,-2.0,57714900,7544559100,3756,62.4,132,8454400,131,2914000,48198111100,48198111100,8497326987,6345400,1692900,0,0,0
2026-03-06,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,133.0,133.0,134.0,131.0,133.0,0.0,30264300,4019480800,2588,63.3,133,161800,132,3486100,48198111100,48198111100,8497326987,3554900,1520600,0,0,0
2026-03-05,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,130.0,131.0,134.0,130.0,133.0,3.0,31919900,4234588000,2311,63.3,134,1250000,133,3610300,48198111100,48198111100,8497326987,6855500,5336600,0,0,0
2026-03-04,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,133.0,133.0,134.0,130.0,130.0,-3.0,118191900,15548113600,6438,61.9,131,14200,130,28891400,48198111100,48198111100,8497326987,5376500,16043000,0,0,0
2026-03-03,DMAS,Puradelta Lestari Tbk.,--MO1135000000H111------------,134.0,134.0,135.0,133.0,133.0,-1.0,49045600,6566805200,3598,63.3,134,296900,133,12930700,48198111100,48198111100,8497326987,25650500,158600,0,0,0
