Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-29,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9900.0,0.0,10975.0,9525.0,10950.0,1050.0,53800,566660000,67,9618.8,10950,200,10000,600,14184000000,14184000000,1068055200,2600,0,0,0,0
2026-05-26,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9750.0,0.0,9975.0,9350.0,9900.0,150.0,27800,271672500,75,8696.5,9925,400,9475,100,14184000000,14184000000,1068055200,0,0,0,0,0
2026-05-25,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9500.0,0.0,9750.0,9350.0,9750.0,250.0,11600,112112500,21,8564.7,9750,17400,9325,200,14184000000,14184000000,1068055200,0,0,0,0,0
2026-05-22,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9325.0,0.0,9500.0,9250.0,9500.0,175.0,9000,84697500,16,8345.1,9950,100,9250,400,14184000000,14184000000,1068055200,200,0,0,0,0
2026-05-21,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9475.0,9475.0,9475.0,9250.0,9325.0,-150.0,21000,195445000,25,8191.4,9325,100,9250,1000,14184000000,14184000000,1068055200,0,0,0,0,0
2026-05-20,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9475.0,0.0,9475.0,9300.0,9475.0,0.0,5100,48297500,10,8323.2,9500,1800,9300,600,14184000000,14184000000,1068055200,100,0,0,0,0
2026-05-19,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9450.0,0.0,9475.0,9275.0,9475.0,25.0,3500,33065000,16,8323.2,9500,2200,9250,100,14184000000,14184000000,1068055200,100,0,0,0,0
2026-05-18,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9450.0,9450.0,9450.0,9250.0,9450.0,0.0,6200,58210000,15,8301.2,9475,1800,9350,1000,14184000000,14184000000,1068055200,500,0,0,0,0
2026-05-13,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9400.0,0.0,9450.0,9250.0,9450.0,50.0,7000,65907500,11,8301.2,9450,1500,9125,500,14184000000,14184000000,1068055200,0,0,0,0,0
2026-05-12,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9400.0,0.0,9400.0,9275.0,9400.0,0.0,5500,51667500,12,8257.3,9400,400,9150,500,14184000000,14184000000,1068055200,0,0,5450000,49867500000,1
2026-05-11,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9450.0,0.0,9400.0,9225.0,9400.0,-50.0,13800,128487500,16,8257.3,9425,1500,9225,400,14184000000,14184000000,1068055200,0,0,0,0,0
2026-05-08,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9450.0,0.0,9450.0,9450.0,9450.0,0.0,2600,24570000,5,8301.2,9475,1500,9375,400,14184000000,14184000000,1068055200,0,0,5400000,49950000000,1
2026-05-07,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9400.0,0.0,9450.0,9300.0,9450.0,50.0,1100,10365000,6,8301.2,9475,1500,9300,400,14184000000,14184000000,1068055200,0,100,0,0,0
2026-05-06,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9400.0,0.0,9400.0,9200.0,9400.0,0.0,12500,116450000,16,8257.3,9400,300,9225,200,14184000000,14184000000,1068055200,0,2000,0,0,0
2026-05-05,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9450.0,0.0,9400.0,9300.0,9400.0,-50.0,2300,21555000,7,8257.3,9475,2200,9300,300,14184000000,14184000000,1068055200,0,0,0,0,0
2026-05-04,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9475.0,9275.0,9450.0,9250.0,9450.0,-25.0,8500,79387500,18,8301.2,9475,2100,9250,300,14184000000,14184000000,1068055200,0,2000,0,0,0
2026-04-30,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9400.0,9475.0,9475.0,9250.0,9475.0,75.0,21300,200182500,30,8323.2,9500,2700,9150,100,14184000000,14184000000,1068055200,1900,900,0,0,0
2026-04-29,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9400.0,9400.0,9400.0,9225.0,9400.0,0.0,7500,70145000,11,8257.3,9400,3200,9150,100,14184000000,14184000000,1068055200,0,0,0,0,0
2026-04-28,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9400.0,0.0,9400.0,9275.0,9400.0,0.0,2800,26242500,9,8257.3,9450,300,9275,200,14184000000,14184000000,1068055200,0,0,0,0,0
2026-04-27,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9425.0,0.0,9400.0,9275.0,9400.0,-25.0,1800,16907500,4,8257.3,9425,2600,9275,400,14184000000,14184000000,1068055200,0,0,0,0,0
2026-04-24,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9425.0,0.0,9425.0,9250.0,9425.0,0.0,11300,106375000,21,8279.2,9425,400,9250,700,14184000000,14184000000,1068055200,0,0,0,0,0
2026-04-23,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9425.0,0.0,9425.0,9225.0,9425.0,0.0,2900,27045000,17,8279.2,9450,100,9250,400,14184000000,14184000000,1068055200,0,0,12231600,115282830000,11
2026-04-22,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9475.0,9200.0,9425.0,9200.0,9425.0,-50.0,18000,167140000,26,8279.2,9375,200,9225,200,14184000000,14184000000,1068055200,0,0,0,0,0
2026-04-21,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9200.0,0.0,9475.0,9175.0,9475.0,275.0,1900,17722500,8,8323.2,9500,1600,9175,200,14184000000,14184000000,1068055200,0,0,0,0,0
2026-04-20,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9425.0,0.0,9450.0,9200.0,9200.0,-225.0,12400,114367500,21,8081.6,9400,1200,9200,600,14184000000,14184000000,1068055200,0,0,0,0,0
2026-04-17,DNET,Indoritel Makmur Internasional Tbk.,--UO1100000000G512------------,9375.0,0.0,9425.0,9150.0,9425.0,50.0,11700,109260000,22,8279.2,9450,2500,9200,100,14184000000,14184000000,1068055200,0,0,0,0,0
