Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-26,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,133.0,133.0,134.0,128.0,129.0,-4.0,730300,95688800,124,95.6,133,264100,129,1400,1725000000,1725000000,341550000,13700,0,0,0,0
2026-05-22,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,126.0,126.0,131.0,121.0,130.0,4.0,1006800,127082400,149,96.3,130,8600,128,8200,1725000000,1725000000,341550000,6900,0,0,0,0
2026-05-21,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,136.0,136.0,139.0,119.0,126.0,-10.0,3418500,437324300,262,93.3,126,98900,125,12400,1725000000,1725000000,341550000,481900,0,0,0,0
2026-05-20,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,137.0,138.0,143.0,135.0,136.0,-1.0,507300,70163500,148,100.7,136,38000,135,59200,1725000000,1725000000,341550000,107000,0,0,0,0
2026-05-19,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,146.0,146.0,149.0,131.0,137.0,-9.0,2461600,344497000,261,101.5,138,7100,137,34900,1725000000,1725000000,341550000,100,0,0,0,0
2026-05-18,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,149.0,149.0,151.0,140.0,146.0,-3.0,1259900,181499400,185,108.1,146,45000,145,28600,1725000000,1725000000,341550000,239000,0,0,0,0
2026-05-13,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,149.0,148.0,152.0,148.0,149.0,0.0,389200,58308900,103,110.4,150,6500,149,50200,1725000000,1725000000,341550000,0,0,0,0,0
2026-05-12,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,151.0,151.0,152.0,147.0,149.0,-2.0,285000,42403600,72,110.4,150,24000,149,1400,1725000000,1725000000,341550000,49000,0,0,0,0
2026-05-11,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,150.0,151.0,154.0,147.0,151.0,1.0,626700,93887100,165,111.9,151,1600,150,1200,1725000000,1725000000,341550000,0,0,0,0,0
2026-05-08,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,154.0,154.0,155.0,150.0,150.0,-4.0,766800,115946400,161,111.1,151,900,150,129900,1725000000,1725000000,341550000,21100,0,0,0,0
2026-05-07,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,152.0,0.0,155.0,150.0,154.0,2.0,1371500,207234100,232,114.1,154,15000,152,100,1725000000,1725000000,341550000,100,27800,0,0,0
2026-05-06,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,152.0,152.0,154.0,150.0,152.0,0.0,1004600,152271500,155,112.6,153,53900,152,11400,1725000000,1725000000,341550000,0,186000,0,0,0
2026-05-05,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,152.0,153.0,153.0,149.0,152.0,0.0,1441900,216963900,262,112.6,152,31400,150,22000,1725000000,1725000000,341550000,54500,0,0,0,0
2026-05-04,DOSS,Global Sukses Digital Tbk.,--UO2130000000E311------------,153.0,156.0,158.0,151.0,152.0,-1.0,1167800,178713300,311,112.6,153,18000,152,4800,1725000000,1725000000,341550000,78200,0,0,0,0
