Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-07,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-05-06,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-05-05,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-05-04,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-30,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-29,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-28,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-27,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-24,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-23,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-22,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-21,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-20,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-17,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-16,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-15,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-14,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-13,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-10,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-09,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-08,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-07,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-06,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-02,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113---L--------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-04-01,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-31,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-30,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-27,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-26,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-25,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-17,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-16,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-13,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-12,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-11,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-10,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-09,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-06,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-05,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-04,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-03,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-03-02,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-27,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-26,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-25,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-24,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-23,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-20,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-19,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-18,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-13,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-12,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-11,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-10,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-09,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-06,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-05,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-04,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-03,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-02-02,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-30,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-29,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-28,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-27,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-26,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-23,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-22,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-21,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-20,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-19,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-15,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-14,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
2026-01-13,DPNS,Duta Pertiwi Nusantara Tbk.,--UO2100000000B113------------,310.0,0.0,0.0,0.0,310.0,0.0,0,0,0,100.7,0,0,0,0,331129952,331129952,116259726,0,0,0,0,0
