Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-16,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,103.0,104.0,109.0,103.0,104.0,1.0,23681000,2493925100,1649,59.2,104,51900,103,1090000,1857135500,1857135500,564569192,177500,0,0,0,0
2026-04-15,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,97.0,97.0,105.0,97.0,103.0,6.0,45011300,4592856900,3278,58.6,104,800400,103,16400,1857135500,1857135500,564569192,65000,0,0,0,0
2026-04-14,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,96.0,98.0,99.0,95.0,97.0,1.0,6828300,662573700,589,55.2,97,92000,96,722300,1857135500,1857135500,564569192,0,0,0,0,0
2026-04-13,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,93.0,93.0,98.0,91.0,96.0,3.0,8157600,777868300,904,54.6,96,251300,95,137900,1857135500,1857135500,564569192,94000,0,0,0,0
2026-04-10,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,93.0,92.0,95.0,92.0,93.0,0.0,1069600,100225300,223,52.9,94,342900,93,425700,1857135500,1857135500,564569192,0,30100,0,0,0
2026-04-09,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,95.0,95.0,95.0,92.0,93.0,-2.0,1879200,175191600,296,52.9,94,390600,93,71600,1857135500,1857135500,564569192,1100,89800,0,0,0
2026-04-08,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,92.0,93.0,95.0,92.0,95.0,3.0,2502800,234644200,313,54.1,95,315900,94,5100,1857135500,1857135500,564569192,0,1100,0,0,0
2026-04-07,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,92.0,92.0,95.0,91.0,92.0,0.0,1565600,145725200,311,52.4,92,556400,91,90600,1857135500,1857135500,564569192,42300,0,0,0,0
2026-04-06,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,94.0,93.0,94.0,91.0,92.0,-2.0,1950900,180540300,366,52.4,93,43800,92,46300,1857135500,1857135500,564569192,49100,0,0,0,0
2026-04-02,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,94.0,96.0,97.0,92.0,94.0,0.0,2213000,208737800,429,53.5,94,397000,93,169900,1857135500,1857135500,564569192,231300,0,0,0,0
2026-04-01,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,92.0,92.0,99.0,90.0,94.0,2.0,9455700,899455600,854,53.5,95,395500,94,2000,1857135500,1857135500,564569192,237900,1000,0,0,0
2026-03-31,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,87.0,87.0,94.0,86.0,92.0,5.0,9828700,890593100,1012,52.4,92,594900,91,191100,1857135500,1857135500,564569192,813300,24400,0,0,0
2026-03-30,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,89.0,89.0,89.0,84.0,87.0,-2.0,2927500,252714200,396,49.5,87,41100,86,113300,1857135500,1857135500,564569192,53100,63300,0,0,0
2026-03-27,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,90.0,90.0,91.0,87.0,89.0,-1.0,2251300,199584800,295,50.7,90,50000,89,200,1857135500,1857135500,564569192,109100,1600,0,0,0
2026-03-26,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,90.0,92.0,97.0,88.0,90.0,0.0,11769200,1094697500,1525,51.2,90,235300,88,122300,1857135500,1857135500,564569192,1714900,0,0,0,0
2026-03-25,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,86.0,86.0,90.0,82.0,90.0,4.0,1998500,175665600,463,51.2,90,45500,89,22200,1857135500,1857135500,564569192,15400,220300,0,0,0
2026-03-17,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,85.0,85.0,93.0,85.0,86.0,1.0,6481300,582471500,944,48.9,87,5000,86,51300,1857135500,1857135500,564569192,524700,53900,0,0,0
2026-03-16,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,86.0,88.0,88.0,82.0,85.0,-1.0,2390800,204321800,750,48.4,85,4100,84,1100,1857135500,1857135500,564569192,209300,1600,0,0,0
2026-03-13,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,93.0,90.0,92.0,86.0,86.0,-7.0,5087600,448335400,512,48.9,87,3700,86,354000,1857135500,1857135500,564569192,1191800,149600,0,0,0
2026-03-12,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,94.0,94.0,95.0,90.0,93.0,-1.0,2894200,266199300,579,52.9,93,237700,90,124400,1857135500,1857135500,564569192,113700,65200,0,0,0
2026-03-11,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,93.0,93.0,96.0,91.0,94.0,1.0,3294200,308755700,414,53.5,94,315100,93,1000,1857135500,1857135500,564569192,292400,0,0,0,0
2026-03-10,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,89.0,92.0,97.0,88.0,93.0,4.0,7540800,696388600,916,52.9,94,8200,93,21700,1857135500,1857135500,564569192,371600,275900,0,0,0
2026-03-09,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,94.0,93.0,93.0,85.0,89.0,-5.0,7789700,683114800,759,50.7,90,566600,89,700,1857135500,1857135500,564569192,1272100,1836100,0,0,0
2026-03-06,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,97.0,97.0,98.0,93.0,94.0,-3.0,2300000,217249600,357,53.5,95,166400,94,45100,1857135500,1857135500,564569192,68500,1010200,0,0,0
2026-03-05,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,92.0,94.0,100.0,94.0,97.0,5.0,4351300,424927500,652,55.2,97,247900,96,9300,1857135500,1857135500,564569192,480900,756700,0,0,0
2026-03-04,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,100.0,100.0,101.0,90.0,92.0,-8.0,9369300,885048700,1249,52.4,93,4500,92,647200,1857135500,1857135500,564569192,1263300,2167800,0,0,0
2026-03-03,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,99.0,99.0,103.0,98.0,100.0,1.0,12146700,1223100000,732,56.9,101,30200,100,425800,1857135500,1857135500,564569192,904000,4322200,0,0,0
2026-03-02,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,109.0,98.0,104.0,98.0,99.0,-10.0,19848600,1997588800,1429,56.3,100,2600,99,68900,1857135500,1857135500,564569192,1351300,2785400,0,0,0
2026-02-27,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,113.0,112.0,113.0,108.0,109.0,-4.0,13120700,1440881800,918,62.0,110,1129900,109,736300,1857135500,1857135500,564569192,754000,1796300,0,0,0
2026-02-26,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,115.0,116.0,119.0,111.0,113.0,-2.0,30115400,3484064900,2350,64.3,113,75600,112,187900,1857135500,1857135500,564569192,3106800,1658000,0,0,0
2026-02-25,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,120.0,123.0,124.0,114.0,115.0,-5.0,51911600,6167054500,3503,65.4,116,267300,115,667200,1857135500,1857135500,564569192,9119400,3383300,0,0,0
2026-02-24,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,113.0,113.0,128.0,113.0,120.0,7.0,191436900,23143247300,10761,68.3,121,87300,120,6917400,1857135500,1857135500,564569192,17550200,20763600,0,0,0
2026-02-23,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,112.0,112.0,116.0,110.0,113.0,1.0,18914700,2138505000,3709,64.3,113,85000,112,1049900,1857135500,1857135500,564569192,990700,3335000,0,0,0
2026-02-20,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,117.0,118.0,119.0,110.0,112.0,-5.0,30059500,3400399100,2345,63.7,112,1102400,111,233200,1857135500,1857135500,564569192,2656500,350100,0,0,0
2026-02-19,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,110.0,113.0,124.0,110.0,117.0,7.0,195036900,22980159500,13213,66.6,117,157400,116,204400,1857135500,1857135500,564569192,25181400,15285000,0,0,0
2026-02-18,DSFI,Dharma Samudera Fishing Industries Tbk.,--UO2130000000D231------------,106.0,107.0,111.0,104.0,110.0,4.0,10469600,1129098600,1158,62.6,110,845800,109,636100,1857135500,1857135500,564569192,104400,4185300,0,0,0
