Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-22,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-21,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-20,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-19,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-18,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-13,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-12,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-11,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-08,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-07,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-06,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-05,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-05-04,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-30,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-29,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-28,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-27,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-24,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-23,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-22,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-21,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-20,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-17,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-16,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-15,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-14,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-13,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-10,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-09,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-08,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-07,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-06,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-02,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-04-01,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-31,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-30,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-27,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-26,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-25,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-17,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-16,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-13,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-12,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-11,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-10,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-09,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-06,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-05,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-04,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-03,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-03-02,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-02-27,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-02-26,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-02-25,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-02-24,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-02-23,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-02-20,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-02-19,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
2026-02-18,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176.0,0.0,0.0,0.0,176.0,0.0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1116497100,0,0,0,0,0
