Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-29,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1600.0,0.0,1605.0,1585.0,1605.0,5.0,13500,21625500,21,590.8,1605,20700,1600,1000,1120000000,1120000000,86912000,0,0,0,0,0
2026-04-28,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1600.0,1605.0,1605.0,1590.0,1600.0,0.0,9600,15317000,14,588.9,1600,6200,1595,200,1120000000,1120000000,86912000,1500,300,0,0,0
2026-04-27,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1600.0,1605.0,1605.0,1585.0,1600.0,0.0,3400,5438000,13,588.9,1605,6900,1600,400,1120000000,1120000000,86912000,2000,0,0,0,0
2026-04-24,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1605.0,0.0,1610.0,1565.0,1600.0,-5.0,34800,55503000,53,588.9,1600,700,1580,1100,1120000000,1120000000,86912000,7000,0,0,0,0
2026-04-23,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1605.0,1600.0,1605.0,1600.0,1605.0,0.0,20600,33056500,21,590.8,1605,600,1600,18600,1120000000,1120000000,86912000,15500,0,0,0,0
2026-04-22,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1605.0,1605.0,1605.0,1600.0,1605.0,0.0,61500,98702000,19,590.8,1610,7200,1600,4200,1120000000,1120000000,86912000,12300,0,0,0,0
2026-04-21,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1605.0,0.0,1610.0,1600.0,1605.0,0.0,24400,39184500,21,590.8,1610,8100,1600,400,1120000000,1120000000,86912000,16500,0,0,0,0
2026-04-20,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1605.0,1605.0,1605.0,1595.0,1605.0,0.0,22500,35986000,34,590.8,1605,70900,1600,3800,1120000000,1120000000,86912000,10000,0,0,0,0
2026-04-17,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1605.0,0.0,1605.0,1600.0,1605.0,0.0,1300,2082500,8,590.8,1605,8500,1600,7500,1120000000,1120000000,86912000,200,0,0,0,0
2026-04-16,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1605.0,0.0,1605.0,1600.0,1605.0,0.0,1300,2083500,8,590.8,1605,51300,1600,1400,1120000000,1120000000,86912000,600,0,0,0,0
2026-04-15,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1600.0,1600.0,1610.0,1595.0,1605.0,5.0,38600,61686000,36,590.8,1605,5700,1595,8500,1120000000,1120000000,86912000,10200,0,0,0,0
2026-04-14,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1600.0,0.0,1610.0,1600.0,1600.0,0.0,15200,24325500,29,588.9,1605,4300,1600,4900,1120000000,1120000000,86912000,11100,0,0,0,0
2026-04-13,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1600.0,1600.0,1605.0,1595.0,1600.0,0.0,3700,5909000,20,588.9,1605,100,1595,2300,1120000000,1120000000,86912000,0,0,0,0,0
2026-04-10,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1600.0,0.0,1610.0,1595.0,1600.0,0.0,11900,19046000,15,588.9,1605,5400,1600,2800,1120000000,1120000000,86912000,10700,200,0,0,0
2026-04-09,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1595.0,1610.0,1610.0,1590.0,1600.0,5.0,33300,53154500,27,588.9,1605,4800,1590,3500,1120000000,1120000000,86912000,15900,0,0,0,0
2026-04-08,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1605.0,0.0,1605.0,1595.0,1595.0,-10.0,4900,7848500,21,587.1,1610,8500,1600,100,1120000000,1120000000,86912000,2200,0,0,0,0
2026-04-07,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1595.0,0.0,1610.0,1590.0,1605.0,10.0,103500,164956000,32,590.8,1605,3200,1595,2000,1120000000,1120000000,86912000,8100,0,0,0,0
2026-04-06,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1600.0,1600.0,1600.0,1595.0,1595.0,-5.0,12400,19818500,33,587.1,1600,16200,1595,500,1120000000,1120000000,86912000,0,0,0,0,0
2026-04-02,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1610.0,0.0,1610.0,1595.0,1600.0,-10.0,7300,11746000,14,588.9,1610,5100,1600,1400,1120000000,1120000000,86912000,6600,0,0,0,0
2026-04-01,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1605.0,0.0,1610.0,1605.0,1610.0,5.0,27500,44189500,29,592.6,1610,2600,1605,1600,1120000000,1120000000,86912000,27200,0,0,0,0
2026-03-31,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1600.0,0.0,1605.0,1600.0,1605.0,5.0,4000,6404000,15,590.8,1605,5500,1600,5700,1120000000,1120000000,86912000,100,0,0,0,0
2026-03-30,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1605.0,1605.0,1610.0,1600.0,1600.0,-5.0,10200,16356500,24,588.9,1605,7900,1600,38100,1120000000,1120000000,86912000,4500,0,0,0,0
2026-03-27,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1610.0,1600.0,1610.0,1595.0,1605.0,-5.0,11800,18876000,25,590.8,1605,4200,1595,30200,1120000000,1120000000,86912000,800,0,0,0,0
2026-03-26,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1600.0,0.0,1610.0,1605.0,1610.0,10.0,13000,20911000,15,592.6,1610,5900,1600,5100,1120000000,1120000000,86912000,7700,0,0,0,0
2026-03-25,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1610.0,1610.0,1615.0,1600.0,1600.0,-10.0,14000,22463500,51,588.9,1615,6000,1600,100,1120000000,1120000000,86912000,0,0,0,0,0
2026-03-17,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1610.0,1610.0,1620.0,1600.0,1610.0,0.0,10600,17024000,29,592.6,1610,4500,1605,200,1120000000,1120000000,86912000,1400,0,0,0,0
2026-03-16,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1610.0,1600.0,1620.0,1595.0,1610.0,0.0,6700,10740500,21,592.6,1610,5300,1600,8700,1120000000,1120000000,86912000,300,0,0,0,0
2026-03-13,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1610.0,1610.0,1610.0,1595.0,1610.0,0.0,9200,14785500,23,592.6,1610,3800,1600,1600,1120000000,1120000000,86912000,0,0,0,0,0
2026-03-12,DVLA,Darya-Varia Laboratoria Tbk.,--UO2135000000F211------------,1590.0,0.0,1640.0,1605.0,1610.0,20.0,2800,4538000,16,592.6,1610,200,1605,100,1120000000,1120000000,86912000,0,0,0,0,0
