Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-20,DWGL,Dwi Guna Laksana Tbk.,--UO2135000000A122------------,264.0,264.0,294.0,250.0,292.0,28.0,3095600,849656400,281,194.7,292,92000,290,15500,9252820991,9252820991,2750863681,86800,0,0,0,0
2026-05-18,DWGL,Dwi Guna Laksana Tbk.,--UO2135000000A122------------,278.0,270.0,278.0,256.0,270.0,-8.0,513400,135059200,125,180.0,268,10000,266,15000,9252820991,9252820991,2750863681,54400,0,0,0,0
2026-05-13,DWGL,Dwi Guna Laksana Tbk.,--UO2135000000A122------------,288.0,288.0,288.0,268.0,278.0,-10.0,930500,251566600,194,185.3,278,384100,270,5100,9252820991,9252820991,2750863681,0,0,0,0,0
2026-05-12,DWGL,Dwi Guna Laksana Tbk.,--UO2135000000A122------------,278.0,276.0,292.0,262.0,288.0,10.0,1165800,323217400,291,192.0,288,234300,286,5000,9252820991,9252820991,2750863681,0,0,0,0,0
2026-05-11,DWGL,Dwi Guna Laksana Tbk.,--UO2135000000A122------------,280.0,0.0,280.0,268.0,278.0,-2.0,672600,185907200,137,185.3,278,14700,270,16200,9252820991,9252820991,2750863681,42500,37100,412653746,112241818912,1
2026-05-08,DWGL,Dwi Guna Laksana Tbk.,--UO2135000000A122------------,280.0,280.0,284.0,270.0,280.0,0.0,244600,67602800,100,186.7,278,128400,274,4700,9252820991,9252820991,2750863681,0,36800,0,0,0
2026-05-07,DWGL,Dwi Guna Laksana Tbk.,--UO2135000000A122------------,282.0,284.0,284.0,274.0,280.0,-2.0,1709500,481284600,151,186.7,280,2000,278,14900,9252820991,9252820991,2750863681,0,37100,0,0,0
2026-05-06,DWGL,Dwi Guna Laksana Tbk.,--UO2135000000A122------------,280.0,280.0,282.0,250.0,282.0,2.0,924700,256183400,153,188.0,282,176800,274,100,9252820991,9252820991,2750863681,289400,0,0,0,0
2026-05-05,DWGL,Dwi Guna Laksana Tbk.,--UO2135000000A122------------,272.0,0.0,282.0,264.0,280.0,8.0,489400,134526400,146,186.7,280,1037200,276,13600,9252820991,9252820991,2750863681,0,4900,0,0,0
2026-05-04,DWGL,Dwi Guna Laksana Tbk.,--UO2135000000A122------------,276.0,0.0,278.0,270.0,272.0,-4.0,188100,51423000,68,181.3,276,119800,272,1400,9252820991,9252820991,2750863681,0,0,0,0,0
