Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,745.0,745.0,750.0,715.0,725.0,-20.0,16446400,11943373500,2924,1006.9,725,281100,720,9500,61426451483,61426451483,16493002223,8252700,2887600,35088,32613800,2
2026-03-11,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,730.0,740.0,760.0,735.0,745.0,15.0,30664000,22890884000,5789,1034.7,745,43000,740,251600,61426451483,61426451483,16493002223,11697400,9726700,0,0,0
2026-03-10,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,705.0,720.0,745.0,710.0,730.0,25.0,23222100,16888219500,3752,1013.9,735,94100,730,146000,61426451483,61426451483,16493002223,7624800,7560800,40064,35246720,2
2026-03-09,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,735.0,675.0,735.0,660.0,705.0,-30.0,55740000,38795315500,6716,979.2,710,100900,705,328100,61426451483,61426451483,16493002223,13498000,35899000,68,47940,1
2026-03-06,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,770.0,765.0,770.0,725.0,735.0,-35.0,35679800,26444407000,4304,1020.8,740,55700,735,254000,61426451483,61426451483,16493002223,13017200,14788100,75019,72014630,2
2026-03-05,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,780.0,785.0,805.0,765.0,770.0,-10.0,35804400,28063868000,4845,1069.4,775,150700,770,1022500,61426451483,61426451483,16493002223,7842100,9761200,128,96840,2
2026-03-04,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,820.0,805.0,810.0,760.0,780.0,-40.0,52355100,40793296500,6929,1083.3,780,2082300,775,82300,61426451483,61426451483,16493002223,11536000,13584700,87,67860,2
2026-03-03,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,830.0,835.0,850.0,805.0,820.0,-10.0,40628200,33490622500,6480,1138.9,820,149300,815,273200,61426451483,61426451483,16493002223,12567600,5684300,7700,6468000,1
2026-03-02,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,890.0,865.0,875.0,830.0,830.0,-60.0,53260200,45120827500,9417,1152.8,830,163700,825,1266800,61426451483,61426451483,16493002223,10099400,10653700,75019,83265770,2
2026-02-27,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,900.0,885.0,905.0,875.0,890.0,-10.0,34062000,30312249500,4780,1236.1,890,301300,885,569400,61426451483,61426451483,16493002223,11985000,9130900,200056,323049840,2
2026-02-26,EMTK,Elang Mahkota Teknologi Tbk.,--MO1HB05HH200I111------------,920.0,920.0,940.0,885.0,900.0,-20.0,38961600,35293967500,7436,1250.0,900,453600,895,398600,61426451483,61426451483,16493002223,9234300,5119300,19,17100,1
