Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-01,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-31,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-27,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-26,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-25,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-17,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-16,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-13,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-12,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-11,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-10,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-09,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-06,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-05,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-04,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-03,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-03-02,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-27,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-26,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-25,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-24,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-23,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-20,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-19,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-18,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-13,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-12,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-11,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-10,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-09,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-06,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-05,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-04,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-03,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
2026-02-02,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E---------X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1551240000,0,0,0,0,0
