Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-02,ERTX,Eratex Djaja Tbk.,--MO2100000000E411------------,208.0,202.0,208.0,200.0,200.0,-8.0,1029600,208506800,195,84.9,200,15500,199,2600,1286539792,1286539792,96490484,33200,437000,0,0,0
2026-04-01,ERTX,Eratex Djaja Tbk.,--MO2100000000E411------------,208.0,0.0,214.0,204.0,208.0,0.0,706300,146781800,176,88.3,208,237800,206,12400,1286539792,1286539792,96490484,11500,178900,0,0,0
2026-03-31,ERTX,Eratex Djaja Tbk.,--MO2100000000E411------------,210.0,210.0,214.0,206.0,208.0,-2.0,772400,161684400,214,88.3,208,51200,206,28400,1286539792,1286539792,96490484,49000,165300,0,0,0
2026-03-30,ERTX,Eratex Djaja Tbk.,--MO2100000000E411------------,212.0,212.0,212.0,195.0,210.0,-2.0,2859300,580441400,279,89.1,210,69000,208,24500,1286539792,1286539792,96490484,17300,351300,0,0,0
2026-03-27,ERTX,Eratex Djaja Tbk.,--MO2100000000E411------------,218.0,216.0,234.0,210.0,212.0,-6.0,2442200,537519800,647,90.0,212,24700,210,82500,1286539792,1286539792,96490484,219700,423700,0,0,0
2026-03-26,ERTX,Eratex Djaja Tbk.,--MO2100000000E411------------,222.0,222.0,244.0,210.0,218.0,-4.0,5207900,1191311600,1027,92.5,220,29000,218,17500,1286539792,1286539792,96490484,1262800,704000,0,0,0
2026-03-25,ERTX,Eratex Djaja Tbk.,--MO2100000000E411------------,197.0,195.0,226.0,191.0,222.0,25.0,2827400,599841600,665,94.2,222,78600,218,66300,1286539792,1286539792,96490484,309700,696700,0,0,0
2026-03-17,ERTX,Eratex Djaja Tbk.,--MO2100000000E411------------,199.0,0.0,206.0,196.0,197.0,-2.0,2607700,524360300,187,83.6,198,2800,196,27800,1286539792,1286539792,96490484,68600,41000,0,0,0
2026-03-16,ERTX,Eratex Djaja Tbk.,--MO2100000000E411------------,212.0,206.0,208.0,193.0,199.0,-13.0,1746500,345864100,339,84.5,199,2400,195,2300,1286539792,1286539792,96490484,102100,689300,0,0,0
2026-03-13,ERTX,Eratex Djaja Tbk.,--MO2100000000E411------------,218.0,210.0,220.0,206.0,212.0,-6.0,1161300,245434000,292,90.0,212,54600,208,31500,1286539792,1286539792,96490484,79600,338300,0,0,0
