Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-12,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515---L--------,288.0,290.0,290.0,278.0,282.0,-6.0,818600,231480000,282,887.0,282,101600,280,79200,4523610492,4523610492,944982232,217000,0,0,0,0
2026-05-11,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515---L--------,284.0,286.0,292.0,278.0,288.0,4.0,5095000,1450400000,421,905.9,290,87700,288,11600,4523610492,4523610492,944982232,186600,1538100,0,0,0
2026-05-08,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515---L--------,290.0,290.0,294.0,284.0,284.0,-6.0,1393400,398531200,404,893.3,286,700,284,160900,4523610492,4523610492,944982232,170600,1900,0,0,0
2026-05-07,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515---L--------,292.0,290.0,300.0,288.0,290.0,-2.0,2120200,621642600,436,912.2,290,8700,288,1449000,4523610492,4523610492,944982232,332300,52500,0,0,0
2026-05-06,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515---L--------,290.0,294.0,294.0,288.0,292.0,2.0,790000,229279200,261,918.4,292,231600,288,158500,4523610492,4523610492,944982232,97100,23900,0,0,0
2026-05-05,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515---L--------,290.0,290.0,292.0,284.0,290.0,0.0,715500,206464400,342,912.2,290,9700,288,35400,4523610492,4523610492,944982232,121200,49600,0,0,0
2026-05-04,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515------------,294.0,284.0,306.0,276.0,290.0,-4.0,2676700,774386400,714,912.2,290,2600,288,12200,4523610492,4523610492,944982232,688200,38500,0,0,0
2026-04-30,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515------------,298.0,300.0,300.0,284.0,294.0,-4.0,1457600,424398800,478,924.7,294,127300,290,24000,4523610492,4523610492,944982232,415700,0,0,0,0
2026-04-29,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515------------,302.0,302.0,332.0,292.0,298.0,-4.0,2844600,888102600,980,937.3,304,1000,298,600,4523610492,4523610492,944982232,1107100,700,0,0,0
2026-04-28,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515------------,298.0,298.0,308.0,290.0,302.0,4.0,1133000,336053600,353,949.9,304,9800,302,17400,4523610492,4523610492,944982232,171300,8000,0,0,0
2026-04-27,FAST,Fast Food Indonesia Tbk.,--UO2135000000E515------------,302.0,302.0,304.0,292.0,298.0,-4.0,940200,280055200,346,937.3,298,17400,296,50200,4523610492,4523610492,944982232,282400,19200,0,0,0
